move_id,move_name_en,source_text,target_text_th,description_status,line_1_width_px,line_2_width_px,max_width_px,width_margin_px,mixed_latin,abbreviations,risk_score,risk_reasons,visual_qa_recommended
MOVE_MEGA_KICK,MEGA KICK,"An extremely powerful kick
with intense force.","เตะด้วยพลังรุนแรง
อย่างมหาศาล",proof_passed,82,55,82,46,no,,0,,no
MOVE_JUMP_KICK,JUMP KICK,"A strong jumping kick. May
miss and hurt the kicker.","กระโดดเตะอย่างรุนแรง
พลาดแล้วผู้ใช้ท่าบาดเจ็บ",proof_passed,100,108,108,20,no,,0,,no
MOVE_ROLLING_KICK,ROLLING KICK,"A fast kick delivered from
a rapid spin.","หมุนตัวอย่างรวดเร็ว
แล้วปล่อยลูกเตะ",proof_passed,89,72,89,39,no,,0,,no
MOVE_SAND_ATTACK,SAND-ATTACK,"Reduces the foe's accuracy
by hurling sand in its face.","สาดทรายใส่หน้าคู่ต่อสู้
เพื่อลดความแม่นยำ",proof_passed,96,86,96,32,no,,0,,no
MOVE_HEADBUTT,HEADBUTT,"A ramming attack that may
cause flinching.","พุ่งกระแทกด้วยศีรษะ
อาจทำให้คู่ต่อสู้ชะงัก",proof_passed,92,88,92,36,no,,1,status_or_ko_text,no
MOVE_HORN_ATTACK,HORN ATTACK,"Jabs the foe with sharp
horns.","แทงคู่ต่อสู้ด้วย
เขาแหลมคม",proof_passed,63,55,63,65,no,,0,,no
MOVE_FURY_ATTACK,FURY ATTACK,"Jabs the foe 2 to 5 times
with sharp horns, etc.","แทงด้วยเขาแหลมคม
2 ถึง 5 ครั้ง",proof_passed,92,47,92,36,yes,,3,mixed_latin_or_number;numeric,no
MOVE_HORN_DRILL,HORN DRILL,"A one-hit KO attack that
uses a horn like a drill.","ใช้เขาหมุนคล้ายสว่าน
ทำให้หมดสภาพในครั้งเดียว",proof_passed,95,125,125,3,no,,7,near_128px;status_or_ko_text,yes
MOVE_TACKLE,TACKLE,"Charges the foe with a full-
body tackle.","พุ่งชนคู่ต่อสู้ด้วย
ร่างกายทั้งหมด",proof_passed,71,62,71,57,no,,0,,no
MOVE_BODY_SLAM,BODY SLAM,"A full-body slam that may
cause paralysis.","พุ่งทับด้วยทั้งร่าง
อาจทำให้คู่ต่อสู้อัมพาต",proof_passed,70,98,98,30,no,,1,status_or_ko_text,no
MOVE_WRAP,WRAP,"Wraps and squeezes the foe
2 to 5 times with vines, etc.","ใช้เถาวัลย์รัดและบีบ
คู่ต่อสู้ 2 ถึง 5 ครั้ง",proof_passed,88,76,88,40,yes,,3,mixed_latin_or_number;numeric,no
MOVE_TAKE_DOWN,TAKE DOWN,"A reckless charge attack
that also hurts the user.","พุ่งชนอย่างไม่ยั้ง
ผู้ใช้ท่าก็บาดเจ็บด้วย",proof_passed,70,89,89,39,no,,0,,no
MOVE_THRASH,THRASH,"A rampage of 2 to 3 turns
that confuses the user.","อาละวาด 2 ถึง 3 เทิร์น
แล้วผู้ใช้ท่าสับสน",proof_passed,94,75,94,34,yes,,4,mixed_latin_or_number;numeric;status_or_ko_text,yes
MOVE_DOUBLE_EDGE,DOUBLE-EDGE,"A life-risking tackle that
also hurts the user.","พุ่งชนแบบเสี่ยงชีวิต
ผู้ใช้ท่าก็บาดเจ็บด้วย",proof_passed,86,89,89,39,no,,0,,no
MOVE_TAIL_WHIP,TAIL WHIP,"Wags the tail to lower the
foe's DEFENSE.","สะบัดหางเพื่อลด
พลังป้องกันคู่ต่อสู้",proof_passed,73,75,75,53,no,,0,,no
MOVE_POISON_STING,POISON STING,"A toxic attack with barbs,
etc., that may poison.","โจมตีด้วยเหล็กในพิษ
อาจทำให้คู่ต่อสู้ติดพิษ",proof_passed,97,96,97,31,no,,1,status_or_ko_text,no
MOVE_TWINEEDLE,TWINEEDLE,"Stingers on the forelegs
jab the foe twice.","แทงคู่ต่อสู้สองครั้ง
ด้วยเหล็กในที่ขาหน้า",proof_passed,78,92,92,36,no,,0,,no
MOVE_PIN_MISSILE,PIN MISSILE,"Sharp pins are fired to
strike 2 to 5 times.","ยิงเข็มแหลมต่อเนื่อง
2 ถึง 5 ครั้ง",proof_passed,89,47,89,39,yes,,3,mixed_latin_or_number;numeric,no
MOVE_LEER,LEER,"Frightens the foe with a
leer to lower DEFENSE.","ข่มขู่ด้วยสายตา
เพื่อลดพลังป้องกัน",proof_passed,65,80,80,48,no,,0,,no
MOVE_BITE,BITE,"Bites with vicious fangs.
May cause flinching.","กัดด้วยเขี้ยวอันดุร้าย
อาจทำให้คู่ต่อสู้ชะงัก",proof_passed,92,88,92,36,no,,1,status_or_ko_text,no
MOVE_GROWL,GROWL,"Growls cutely to reduce the
foe's ATTACK.","ส่งเสียงร้องน่ารัก
เพื่อลดพลังโจมตี",proof_passed,68,74,74,54,no,,0,,no
MOVE_ROAR,ROAR,"Makes the foe flee to end
the battle.","คำรามไล่คู่ต่อสู้
ให้ออกจากการต่อสู้",proof_passed,65,81,81,47,no,,0,,no
MOVE_SING,SING,"A soothing song lulls the
foe into a deep slumber.","บทเพลงแสนผ่อนคลาย
ทำให้คู่ต่อสู้หลับ",proof_passed,100,70,100,28,no,,0,,no
MOVE_SUPERSONIC,SUPERSONIC,"Emits bizarre sound waves
that may confuse the foe.","ปล่อยคลื่นเสียงประหลาด
อาจทำให้คู่ต่อสู้สับสน",proof_passed,107,93,107,21,no,,1,status_or_ko_text,no
MOVE_SONIC_BOOM,SONICBOOM,"Launches shock waves that
always inflict 20 HP damage.","ปล่อยคลื่นกระแทก
สร้างความเสียหาย 20 HP",proof_passed,82,102,102,26,yes,HP,3,mixed_latin_or_number;numeric,no
MOVE_DISABLE,DISABLE,"Psychically disables one of
the foe's moves.","ใช้พลังจิตผนึก
ท่าหนึ่งของคู่ต่อสู้",proof_passed,63,72,72,56,no,,0,,no
MOVE_ACID,ACID,"Sprays a hide-melting acid.
May lower DEFENSE.","พ่นกรดกัดกร่อน
อาจลดพลังป้องกัน",proof_passed,72,78,78,50,no,,0,,no
MOVE_EMBER,EMBER,"A weak fire attack that may
inflict a burn.","โจมตีด้วยเปลวไฟอ่อน
อาจทำให้คู่ต่อสู้ไหม้",proof_passed,101,86,101,27,no,,1,status_or_ko_text,no
MOVE_FLAMETHROWER,FLAMETHROWER,"A powerful fire attack that
may inflict a burn.","พ่นเปลวไฟทรงพลัง
อาจทำให้คู่ต่อสู้ไหม้",proof_passed,87,86,87,41,no,,1,status_or_ko_text,no
MOVE_MIST,MIST,"Creates a mist that stops
reduction of abilities.","สร้างหมอกเพื่อป้องกัน
การลดค่าสถานะ",proof_passed,94,68,94,34,no,,0,,no
MOVE_WATER_GUN,WATER GUN,"Squirts water to attack
the foe.","ฉีดน้ำโจมตี
คู่ต่อสู้",proof_passed,51,26,51,77,no,,0,,no
MOVE_HYDRO_PUMP,HYDRO PUMP,"Blasts water at high power
to strike the foe.","พ่นน้ำแรงดันสูง
เข้าใส่คู่ต่อสู้",proof_passed,68,52,68,60,no,,0,,no
MOVE_SURF,SURF,"Creates a huge wave, then
crashes it down on the foe.","สร้างคลื่นยักษ์
ซัดถล่มคู่ต่อสู้",proof_passed,60,59,60,68,no,,0,,no
MOVE_ICE_BEAM,ICE BEAM,"Blasts the foe with an icy
beam that may freeze it.","ยิงลำแสงน้ำแข็ง
อาจแช่แข็งคู่ต่อสู้",proof_passed,65,72,72,56,no,,1,status_or_ko_text,no
MOVE_BLIZZARD,BLIZZARD,"Hits the foe with an icy
storm that may freeze it.","โจมตีด้วยพายุน้ำแข็ง
อาจแช่แข็งคู่ต่อสู้",proof_passed,90,72,90,38,no,,1,status_or_ko_text,no
MOVE_PSYBEAM,PSYBEAM,"Fires a peculiar ray that
may confuse the foe.","ยิงลำแสงประหลาด
อาจทำให้คู่ต่อสู้สับสน",proof_passed,78,93,93,35,no,,1,status_or_ko_text,no
MOVE_BUBBLE_BEAM,BUBBLEBEAM,"Forcefully sprays bubbles
that may lower SPEED.","พ่นฟองน้ำอย่างรุนแรง
อาจลดความเร็ว",proof_passed,94,69,94,34,no,,0,,no
MOVE_AURORA_BEAM,AURORA BEAM,"Fires a rainbow-colored
beam that may lower ATTACK.","ยิงลำแสงสีรุ้ง
อาจลดพลังโจมตี",proof_passed,53,72,72,56,no,,0,,no
MOVE_HYPER_BEAM,HYPER BEAM,"Powerful, but leaves the
user immobile the next turn.","พลังรุนแรงแต่ผู้ใช้ท่า
ขยับไม่ได้ในเทิร์นถัดไป",proof_passed,90,109,109,19,no,,0,,no
MOVE_PECK,PECK,"Attacks the foe with a
jabbing beak, etc.","จิกคู่ต่อสู้ด้วย
จะงอยปาก",proof_passed,57,44,57,71,no,,0,,no
MOVE_DRILL_PECK,DRILL PECK,"A corkscrewing attack with
the beak acting as a drill.","หมุนจะงอยปากคล้ายสว่าน
พุ่งโจมตีคู่ต่อสู้",proof_passed,113,63,113,15,no,,0,,no
MOVE_SUBMISSION,SUBMISSION,"A reckless body slam that
also hurts the user.","พุ่งทับอย่างไม่ยั้ง
ผู้ใช้ท่าก็บาดเจ็บด้วย",proof_passed,70,89,89,39,no,,0,,no
MOVE_LOW_KICK,LOW KICK,"A kick that inflicts more
damage on heavier foes.","คู่ต่อสู้ยิ่งหนัก
ยิ่งสร้างความเสียหายมาก",proof_passed,58,103,103,25,no,,0,,no
MOVE_COUNTER,COUNTER,"Retaliates any physical hit
with double the power.","โต้กลับการโจมตีกายภาพ
ด้วยพลังสองเท่า",proof_passed,106,68,106,22,no,,0,,no
MOVE_SEISMIC_TOSS,SEISMIC TOSS,"Inflicts damage identical
to the user's level.","สร้างความเสียหายเท่ากับ
เลเวลของผู้ใช้ท่า",proof_passed,104,71,104,24,no,,0,,no
MOVE_STRENGTH,STRENGTH,"Builds enormous power,
then slams the foe.","รวบรวมพลังมหาศาล
แล้วกระแทกคู่ต่อสู้",proof_passed,89,81,89,39,no,,0,,no
MOVE_ABSORB,ABSORB,"An attack that absorbs
half the damage inflicted.","ดูด HP เท่ากับครึ่งหนึ่ง
ของความเสียหายที่ทำได้",proof_passed,95,104,104,24,yes,HP,2,mixed_latin_or_number,no
MOVE_MEGA_DRAIN,MEGA DRAIN,"An attack that absorbs
half the damage inflicted.","ดูด HP เท่ากับครึ่งหนึ่ง
ของความเสียหายที่ทำได้",proof_passed,95,104,104,24,yes,HP,2,mixed_latin_or_number,no
MOVE_LEECH_SEED,LEECH SEED,"Plants a seed on the foe to
steal HP on every turn.","ฝังเมล็ดเพื่อดูด HP
จากคู่ต่อสู้ทุกเทิร์น",proof_passed,79,79,79,49,yes,HP,2,mixed_latin_or_number,no
MOVE_GROWTH,GROWTH,"Forces the body to grow
and heightens SP. ATK.","เร่งการเติบโตของร่างกาย
เพื่อเพิ่มพลังโจมตีพิเศษ",proof_passed,103,107,107,21,no,,0,,no
MOVE_RAZOR_LEAF,RAZOR LEAF,"Cuts the enemy with leaves.
High critical-hit ratio.","ฟันคู่ต่อสู้ด้วยใบไม้
โอกาสโจมตีคริติคอลสูง",proof_passed,87,101,101,27,no,,0,,no
MOVE_SOLAR_BEAM,SOLARBEAM,"Absorbs light in one turn,
then attacks next turn.","ดูดซับแสงในเทิร์นแรก
โจมตีในเทิร์นถัดไป",proof_passed,101,89,101,27,no,,0,,no
MOVE_POISON_POWDER,POISONPOWDER,"Scatters a toxic powder
that may poison the foe.","โปรยผงพิษ
อาจทำให้คู่ต่อสู้ติดพิษ",proof_passed,49,96,96,32,no,,1,status_or_ko_text,no
MOVE_STUN_SPORE,STUN SPORE,"Scatters a powder that may
paralyze the foe.","โปรยผงที่อาจทำให้
คู่ต่อสู้อัมพาต",proof_passed,80,58,80,48,no,,1,status_or_ko_text,no
MOVE_SLEEP_POWDER,SLEEP POWDER,"Scatters a powder that may
cause the foe to sleep.","โปรยผงที่อาจทำให้
คู่ต่อสู้หลับ",proof_passed,80,46,80,48,no,,0,,no
MOVE_PETAL_DANCE,PETAL DANCE,"A rampage of 2 to 3 turns
that confuses the user.","อาละวาด 2 ถึง 3 เทิร์น
แล้วผู้ใช้ท่าสับสน",proof_passed,94,75,94,34,yes,,4,mixed_latin_or_number;numeric;status_or_ko_text,yes
MOVE_STRING_SHOT,STRING SHOT,"Binds the foe with string
to reduce its SPEED.","พันคู่ต่อสู้ด้วยเส้นใย
เพื่อลดความเร็ว",proof_passed,91,71,91,37,no,,0,,no
MOVE_DRAGON_RAGE,DRAGON RAGE,"Launches shock waves that
always inflict 40 HP damage.","ปล่อยคลื่นกระแทก
สร้างความเสียหาย 40 HP",proof_passed,82,102,102,26,yes,HP,3,mixed_latin_or_number;numeric,no
MOVE_FIRE_SPIN,FIRE SPIN,"Traps the foe in a ring of
fire for 2 to 5 turns.","ขังคู่ต่อสู้ในวงแหวนไฟ
นาน 2 ถึง 5 เทิร์น",proof_passed,102,76,102,26,yes,,3,mixed_latin_or_number;numeric,no
MOVE_THUNDER_SHOCK,THUNDERSHOCK,"An electrical attack that
may paralyze the foe.","โจมตีด้วยกระแสไฟฟ้า
อาจทำให้คู่ต่อสู้อัมพาต",proof_passed,99,98,99,29,no,,1,status_or_ko_text,no
MOVE_THUNDERBOLT,THUNDERBOLT,"A strong electrical attack
that may paralyze the foe.","โจมตีด้วยไฟฟ้ารุนแรง
อาจทำให้คู่ต่อสู้อัมพาต",proof_passed,99,98,99,29,no,,1,status_or_ko_text,no
MOVE_THUNDER_WAVE,THUNDER WAVE,"A weak jolt of electricity
that paralyzes the foe.","ปล่อยกระแสไฟอ่อน
ทำให้คู่ต่อสู้อัมพาต",proof_passed,88,82,88,40,no,,1,status_or_ko_text,no
MOVE_THUNDER,THUNDER,"A lightning attack that may
cause paralysis.","โจมตีด้วยสายฟ้า
อาจทำให้คู่ต่อสู้อัมพาต",proof_passed,72,98,98,30,no,,1,status_or_ko_text,no
MOVE_ROCK_THROW,ROCK THROW,"Throws small rocks to
strike the foe.","ขว้างก้อนหินขนาดเล็ก
ใส่คู่ต่อสู้",proof_passed,96,38,96,32,no,,0,,no
MOVE_EARTHQUAKE,EARTHQUAKE,"A powerful quake, but has
no effect on flying foes.","สร้างแผ่นดินไหวรุนแรง
ไม่โดนคู่ต่อสู้ที่บินอยู่",proof_passed,103,93,103,25,no,,0,,no
MOVE_FISSURE,FISSURE,"A one-hit KO move that
drops the foe in a fissure.","ทำให้ตกลงในรอยแยก
หมดสภาพในครั้งเดียว",proof_passed,97,101,101,27,no,,1,status_or_ko_text,no
MOVE_DIG,DIG,"Digs underground the first
turn and strikes next turn.","ขุดใต้ดินในเทิร์นแรก
โจมตีในเทิร์นถัดไป",proof_passed,97,89,97,31,no,,0,,no
MOVE_TOXIC,TOXIC,"Poisons the foe with an
intensifying toxin.","ทำให้คู่ต่อสู้ติดพิษ
ที่รุนแรงขึ้นเรื่อยๆ",proof_passed,80,80,80,48,no,,1,status_or_ko_text,no
MOVE_CONFUSION,CONFUSION,"A psychic attack that may
cause confusion.","โจมตีด้วยพลังจิต
อาจทำให้คู่ต่อสู้สับสน",proof_passed,75,93,93,35,no,,1,status_or_ko_text,no
MOVE_PSYCHIC,PSYCHIC,"A powerful psychic attack
that may lower SP. DEF.","โจมตีด้วยพลังจิตรุนแรง
อาจลดพลังป้องกันพิเศษ",proof_passed,104,105,105,23,no,,0,,no
MOVE_HYPNOSIS,HYPNOSIS,"A hypnotizing move that
may induce sleep.","สะกดจิตคู่ต่อสู้
อาจทำให้หลับ",proof_passed,63,60,63,65,no,,0,,no
MOVE_MEDITATE,MEDITATE,"Meditates in a peaceful
fashion to raise ATTACK.","ทำสมาธิอย่างสงบ
เพื่อเพิ่มพลังโจมตี",proof_passed,71,80,80,48,no,,0,,no
MOVE_AGILITY,AGILITY,"Relaxes the body to sharply
boost SPEED.","ผ่อนคลายร่างกาย
เพื่อเพิ่มความเร็วอย่างมาก",proof_passed,72,114,114,14,no,,1,sharp_stat_change,no
MOVE_QUICK_ATTACK,QUICK ATTACK,"An extremely fast attack
that always strikes first.","โจมตีด้วยความเร็วสูง
และลงมือก่อนเสมอ",proof_passed,94,84,94,34,no,,0,,no
MOVE_RAGE,RAGE,"Raises the user's ATTACK
every time it is hit.","เพิ่มพลังโจมตีทุกครั้ง
ที่ผู้ใช้ท่าถูกโจมตี",proof_passed,93,73,93,35,no,,0,,no
MOVE_TELEPORT,TELEPORT,"A psychic move for fleeing
from battle instantly.","ใช้พลังจิตหลบหนี
จากการต่อสู้ทันที",proof_passed,78,72,78,50,no,,0,,no
MOVE_NIGHT_SHADE,NIGHT SHADE,"Inflicts damage identical
to the user's level.","สร้างความเสียหายเท่ากับ
เลเวลของผู้ใช้ท่า",proof_passed,104,71,104,24,no,,0,,no
MOVE_MIMIC,MIMIC,"Copies a move used by the
foe during one battle.","คัดลอกท่าที่คู่ต่อสู้ใช้
ระหว่างการต่อสู้",proof_passed,88,65,88,40,no,,0,,no
MOVE_SCREECH,SCREECH,"Emits a screech to sharply
reduce the foe's DEFENSE.","ส่งเสียงแหลมรุนแรง
ลดพลังป้องกันอย่างมาก",proof_passed,86,99,99,29,no,,1,sharp_stat_change,no
MOVE_DOUBLE_TEAM,DOUBLE TEAM,"Creates illusory copies to
raise evasiveness.","สร้างภาพลวงตาซ้ำซ้อน
เพื่อเพิ่มการหลบหลีก",proof_passed,97,91,97,31,no,,0,,no
MOVE_RECOVER,RECOVER,"Recovers up to half the
user's maximum HP.","ฟื้นฟู HP ได้ถึง
ครึ่งหนึ่งของ HP สูงสุด",proof_passed,63,92,92,36,yes,HP,2,mixed_latin_or_number,no
MOVE_HARDEN,HARDEN,"Stiffens the body's
muscles to raise DEFENSE.","ทำให้กล้ามเนื้อแข็งขึ้น
เพื่อเพิ่มพลังป้องกัน",proof_passed,98,86,98,30,no,,0,,no
MOVE_MINIMIZE,MINIMIZE,"Minimizes the user's size
to raise evasiveness.","ย่อขนาดร่างกาย
เพื่อเพิ่มการหลบหลีก",proof_passed,66,91,91,37,no,,0,,no
MOVE_SMOKESCREEN,SMOKESCREEN,"Lowers the foe's accuracy
using smoke, ink, etc.","ใช้ควันหรือหมึก
ลดความแม่นยำคู่ต่อสู้",proof_passed,72,94,94,34,no,,0,,no
MOVE_CONFUSE_RAY,CONFUSE RAY,"A sinister ray that
confuses the foe.","ปล่อยลำแสงชั่วร้าย
ทำให้คู่ต่อสู้สับสน",proof_passed,79,77,79,49,no,,1,status_or_ko_text,no
MOVE_WITHDRAW,WITHDRAW,"Withdraws the body into its
hard shell to raise DEFENSE.","หดตัวเข้าในเปลือกแข็ง
เพื่อเพิ่มพลังป้องกัน",proof_passed,101,86,101,27,no,,0,,no
MOVE_DEFENSE_CURL,DEFENSE CURL,"Curls up to conceal weak
spots and raise DEFENSE.","ม้วนตัวปิดจุดอ่อน
เพื่อเพิ่มพลังป้องกัน",proof_passed,81,86,86,42,no,,0,,no
MOVE_BARRIER,BARRIER,"Creates a barrier that
sharply raises DEFENSE.","สร้างกำแพงพลัง
เพิ่มพลังป้องกันอย่างมาก",proof_passed,66,105,105,23,no,,1,sharp_stat_change,no
MOVE_LIGHT_SCREEN,LIGHT SCREEN,"Creates a wall of light that
lowers SP. ATK damage.","ลดความเสียหายจาก
พลังโจมตีพิเศษ",proof_passed,86,70,86,42,no,,0,,no
MOVE_HAZE,HAZE,"Creates a black haze that
eliminates all stat changes.","สร้างหมอกดำ
ล้างการเปลี่ยนค่าสถานะ",proof_passed,56,100,100,28,no,,0,,no
MOVE_REFLECT,REFLECT,"Creates a wall of light that
weakens physical attacks.","ลดความเสียหายจาก
การโจมตีกายภาพ",proof_passed,86,75,86,42,no,,0,,no
MOVE_FOCUS_ENERGY,FOCUS ENERGY,"Focuses power to raise the
critical-hit ratio.","รวบรวมพลังเพื่อเพิ่ม
โอกาสโจมตีคริติคอล",proof_passed,91,91,91,37,no,,0,,no
MOVE_BIDE,BIDE,"Endures attack for 2
turns to retaliate double.","อดทนรับการโจมตี 2 เทิร์น
แล้วโต้กลับด้วยพลังสองเท่า",proof_passed,115,118,118,10,yes,,6,wide_line;mixed_latin_or_number;numeric,yes
MOVE_METRONOME,METRONOME,"Waggles a finger to use any
POKéMON move at random.","กระดิกนิ้วสุ่มใช้
ท่าของโปเกมอนหนึ่งท่า",proof_passed,68,100,100,28,no,,0,,no
MOVE_MIRROR_MOVE,MIRROR MOVE,"Counters the foe's attack
with the same move.","ใช้ท่าเดียวกับ
ที่คู่ต่อสู้เพิ่งใช้",proof_passed,59,61,61,67,no,,0,,no
MOVE_SELF_DESTRUCT,SELFDESTRUCT,"Inflicts severe damage but
makes the user faint.","สร้างความเสียหายรุนแรง
แต่ผู้ใช้ท่าหมดสภาพ",proof_passed,105,89,105,23,no,,1,status_or_ko_text,no
MOVE_EGG_BOMB,EGG BOMB,"An egg is forcibly hurled at
the foe.","ขว้างไข่อย่างรุนแรง
ใส่คู่ต่อสู้",proof_passed,81,38,81,47,no,,0,,no
MOVE_LICK,LICK,"Licks with a long tongue to
injure. May also paralyze.","เลียด้วยลิ้นยาว
อาจทำให้คู่ต่อสู้อัมพาต",proof_passed,66,98,98,30,no,,1,status_or_ko_text,no
MOVE_SMOG,SMOG,"An exhaust-gas attack
that may also poison.","โจมตีด้วยก๊าซเสีย
อาจทำให้คู่ต่อสู้ติดพิษ",proof_passed,77,96,96,32,no,,1,status_or_ko_text,no
MOVE_SLUDGE,SLUDGE,"Sludge is hurled to inflict
damage. May also poison.","ขว้างโคลนพิษโจมตี
อาจทำให้คู่ต่อสู้ติดพิษ",proof_passed,87,96,96,32,no,,1,status_or_ko_text,no
MOVE_BONE_CLUB,BONE CLUB,"Clubs the foe with a bone.
May cause flinching.","ฟาดคู่ต่อสู้ด้วยกระดูก
อาจทำให้ชะงัก",proof_passed,93,62,93,35,no,,1,status_or_ko_text,no
MOVE_FIRE_BLAST,FIRE BLAST,"Incinerates everything it
strikes. May cause a burn.","เผาทุกสิ่งที่ถูกโจมตี
อาจทำให้คู่ต่อสู้ไหม้",proof_passed,81,86,86,42,no,,1,status_or_ko_text,no
MOVE_WATERFALL,WATERFALL,"Charges the foe with speed
to climb waterfalls.","พุ่งชนคู่ต่อสู้ด้วย
ความเร็วที่ไต่ขึ้นน้ำตกได้",proof_passed,71,113,113,15,no,,0,,no
MOVE_CLAMP,CLAMP,"Traps and squeezes the
foe for 2 to 5 turns.","หนีบและบีบคู่ต่อสู้
นาน 2 ถึง 5 เทิร์น",proof_passed,80,76,80,48,yes,,3,mixed_latin_or_number;numeric,no
