id,global_order,chapter_id,event_id,map_name,map_period,speaker,source_label,english_visible_length,thai_visible_length,longest_english_line,longest_thai_line,page_count,placeholder_count,control_code_sequence,result,notes
dlg_7cc549bb2e89937d,13,littleroot,rival_intro,LittlerootTown_BrendansHouse_1F,rival_intro,May,RivalsHouse_1F_Text_MayWhoAreYou,452,401,37,30,12,10,\n | \p | \n | \p | {PLAYER} | {KUN} | \n | \p | \n | \p | \n | \l | \p | {PLAYER} | {KUN} | \n | \p | \n | {PLAYER} | {KUN} | \p | \n | {PLAYER} | {KUN} | \p | \p | \p | \n | \p | {PLAYER} | {KUN},review_long_line,Thai line likely exceeds the GBA dialogue width; retain meaning and review layout.
dlg_a3524918d5d08235,14,littleroot,birch_rescue,Route101,birch_rescue,,Route101_Text_HelpMe,10,12,10,12,1,0,,ok,
dlg_45ae69cb30f2cd90,15,littleroot,birch_rescue,Route101,birch_rescue,,Route101_Text_PleaseHelp,65,69,22,23,2,0,\n | \p | \n,ok,
dlg_df2e8d10a02d0a58,16,littleroot,birch_rescue,Route101,birch_rescue,,Route101_Text_YouSavedMe,190,173,38,35,6,2,\p | \n | \p | \n | \p | \p | {PLAYER} | {KUN} | \p | \n,ok,
dlg_e1f579546c78b2f9,17,littleroot,starter,LittlerootTown_ProfessorBirchsLab,starter,Professor Birch,LittlerootTown_ProfessorBirchsLab_Text_LikeYouToHavePokemon,335,254,36,30,7,4,{PLAYER} | {KUN} | \p | \n | \p | \n | \p | \n | \p | \n | \p | \n | \l | \p | {PLAYER} | {STR_VAR_1},review_long_line,Thai line likely exceeds the GBA dialogue width; retain meaning and review layout.
dlg_a85b0bd843afd737,18,littleroot,starter,LittlerootTown_ProfessorBirchsLab,starter,Professor Birch,LittlerootTown_ProfessorBirchsLab_Text_WhyNotGiveNicknameToMon,65,56,40,39,1,1,\n | {STR_VAR_1},ok,
dlg_2f2b9342597fd41c,19,littleroot,starter,LittlerootTown_ProfessorBirchsLab,starter,Professor Birch,LittlerootTown_ProfessorBirchsLab_Text_MightBeGoodIdeaToGoSeeRival,208,161,40,34,3,4,\n | \l | \p | {RIVAL} | \n | \p | {PLAYER} | {KUN} | \n | {RIVAL},ok,
dlg_302bf4be4220a361,20,pokedex,rival_1,Route103,rival_battle,May,Route103_Text_MayRoute103Pokemon,54,49,33,29,1,0,\n,ok,
dlg_31e833de1ea33667,21,pokedex,rival_1,Route103,rival_battle,May,Route103_Text_MayLetsBattle,152,146,36,29,4,2,{PLAYER} | {KUN} | \p | \n | \p | \n | \p | \n,ok,
dlg_1d2c85c3dd45b39f,22,pokedex,rival_1,Route103,rival_battle,Brendan,Route103_Text_BrendanRoute103Pokemon,67,54,35,33,1,0,\n,ok,
dlg_a2a36d33d4e71a0c,23,pokedex,rival_1,Route103,rival_battle,Brendan,Route103_Text_BrendanLetsBattle,131,132,37,37,4,1,{PLAYER} | \p | \p | \n | \p | \n,ok,
dlg_1ba2a80d63962ccb,24,pokedex,rival_1,Route103,rival_battle,May,Route103_Text_MayTimeToHeadBack,211,183,34,31,4,0,\n | \p | \n | \p | \n | \p | \n,ok,
dlg_5ba654e578399a89,25,pokedex,rival_1,Route103,rival_battle,Brendan,Route103_Text_BrendanTimeToHeadBack,240,174,37,31,4,1,\n | \l | \p | \n | \p | {PLAYER} | \n | \p,ok,
dlg_68038fa36d7bdaf1,26,pokedex,pokedex,LittlerootTown_ProfessorBirchsLab,pokedex,Professor Birch,LittlerootTown_ProfessorBirchsLab_Text_BirchRivalGoneHome,166,126,37,27,3,1,{RIVAL} | \n | \p | \n | \p | \n,ok,
dlg_4a63ffe7b2d7349e,27,pokedex,pokedex,LittlerootTown_ProfessorBirchsLab,pokedex,Professor Birch,LittlerootTown_ProfessorBirchsLab_Text_HeardYouBeatRivalTakePokedex,248,210,37,32,5,7,{PLAYER} | {KUN} | \p | {RIVAL} | \n | \p | {RIVAL} | \n | \p | {RIVAL} | \n | \p | {PLAYER} | {KUN} | \n | \l,review_long_line,Thai line likely exceeds the GBA dialogue width; retain meaning and review layout.
dlg_dacb535b10f34d0d,28,pokedex,pokedex,LittlerootTown_ProfessorBirchsLab,pokedex,Professor Birch,LittlerootTown_ProfessorBirchsLab_Text_ExplainPokedex,279,222,39,33,3,2,\n | \l | \p | {RIVAL} | \n | \p | \n | \l | {RIVAL} | \l,review_long_line,Thai line likely exceeds the GBA dialogue width; retain meaning and review layout.
dlg_a1f8f8a1ea390b2a,29,pokedex,pokedex,LittlerootTown_ProfessorBirchsLab,pokedex,Professor Birch,LittlerootTown_ProfessorBirchsLab_Text_ReceivedPokedex,22,18,22,18,1,1,{PLAYER},ok,
dlg_44f775b1fbf29ce7,30,pokedex,pokeballs,LittlerootTown,pokeballs,,LittlerootTown_Text_OurNewHomeLetsGoInside,279,222,40,32,6,2,{PLAYER} | \p | \n | \p | \p | \n | \p | \n | \p | {PLAYER} | \n,ok,
dlg_f4cbe5e2e14292ec,31,pokedex,pokeballs,LittlerootTown,pokeballs,,LittlerootTown_Text_WearTheseRunningShoes,296,219,38,32,5,2,{PLAYER} | {PLAYER} | \n | \p | \n | \p | \n | \p | \n | \p,ok,
dlg_51478fab2a0bb5f5,32,pokedex,pokeballs,LittlerootTown,pokeballs,,LittlerootTown_Text_SwitchShoesWithRunningShoes,38,27,24,15,1,1,{PLAYER} | \n,ok,
dlg_4066e0935321b02a,33,pokedex,pokeballs,LittlerootTown,pokeballs,,LittlerootTown_Text_ExplainRunningShoes,172,144,39,31,3,1,{PLAYER} | \n | \p | \n | \p | \n,ok,
dlg_c1b0de35fc067f84,34,pokedex,pokeballs,LittlerootTown,pokeballs,,LittlerootTown_Text_ComeHomeIfAnythingHappens,196,186,39,36,4,0,\n | \p | \n | \l | \p | \n | \p,ok,
dlg_f7f989a1a6ff5a66,35,petalburg,petalburg_norman,PetalburgCity_Gym,norman,,PetalburgCity_Gym_Text_DadYoureHereWithYourPokemon,256,209,33,31,6,2,\p | {PLAYER} | \n | \p | \n | \p | \n | \p | \n | {PLAYER} | \p | \n,ok,
dlg_2833d41c93d5f47b,36,petalburg,petalburg_norman,PetalburgCity_Gym,norman,Norman,PetalburgCity_Gym_Text_NormanGoToRustboro,238,207,34,33,4,2,\n | \p | \n | \p | {PLAYER} | \n | \p | {PLAYER} | \n,ok,
dlg_52b66c5569e850e3,37,petalburg,petalburg_norman,PetalburgCity_Gym,norman,Norman,PetalburgCity_Gym_Text_NormanGoToDewford,208,171,35,35,4,1,\n | \p | \n | {PLAYER} | \p | \n | \p,ok,
dlg_341cabcfb47a1d38,38,petalburg,petalburg_norman,PetalburgCity_Gym,norman,,PetalburgCity_Gym_Text_YouHaveGottenStronger,88,68,34,21,2,1,{PLAYER} | \n | \p | \n,ok,
dlg_a4dd4d5adc4061ee,39,petalburg,petalburg_norman,PetalburgCity_Gym,norman,,PetalburgCity_Gym_Text_DadGoingToKeepTraining,162,137,35,28,3,2,{PLAYER} | \n | \p | \n | \p | \n | {PLAYER},ok,
dlg_b1dbf403a97f2f0c,40,petalburg,petalburg_norman,PetalburgCity_Gym,norman,Norman,PetalburgCity_Gym_Text_NormanIntro,274,249,35,32,7,2,\n | \p | \n | \p | {PLAYER} | \p | \n | \p | \p | \n | \p | {PLAYER} | \n,review_long_line,Thai line likely exceeds the GBA dialogue width; retain meaning and review layout.
dlg_02937a0c67770c8c,41,petalburg,petalburg_norman,PetalburgCity_Gym,norman,,PetalburgCity_Gym_Text_ReceivedBalanceBadge,36,26,27,19,1,1,{PLAYER} | \n,ok,
dlg_1349dbfc0225bf7b,42,petalburg,petalburg_norman,PetalburgCity_Gym,norman,,PetalburgCity_Gym_Text_ExplainBalanceBadgeTakeThis,194,154,34,33,3,1,\n | \p | \n | \p | {PLAYER} | \n,ok,
dlg_189afa7d715ce58f,43,petalburg,petalburg_norman,PetalburgCity_Gym,norman,,PetalburgCity_Gym_Text_DadHappyAndSad,120,108,33,38,2,0,\n | \p | \n,ok,
dlg_ca804248caf18a66,44,petalburg,petalburg_norman,PetalburgCity_Gym,norman,,PetalburgCity_Gym_Text_PleaseComeWithMe,76,52,36,18,2,2,{PLAYER} | {KUN} | \p | \n,ok,
dlg_258c92ca2f19d536,45,petalburg,petalburg_norman,PetalburgCity_Gym,norman,,PetalburgCity_Gym_Text_LetMeBorrowPlayer,70,50,31,22,2,2,\p | {PLAYER} | {KUN} | \n,ok,
dlg_5ffaf85215a0f479,46,petalburg,petalburg_norman,PetalburgCity_Gym,norman,,PetalburgCity_Gym_Text_ExplainFacade,161,149,35,28,3,0,\p | \n | \l | \p | \n,ok,
dlg_33f6361195064148,47,petalburg,wally_tutorial,PetalburgCity_Gym,wally,,PetalburgCity_Gym_Text_DadSoDidItWorkOut,25,25,25,25,1,0,,ok,
dlg_5a8bd4e5faf57436,48,petalburg,wally_tutorial,PetalburgCity_Gym,wally,Wally,PetalburgCity_Gym_Text_WallyThankYouBye,229,198,35,30,6,2,\n | \p | {PLAYER} | \n | \p | \n | \p | \n | \p | \n | \p | {PLAYER},ok,
dlg_01331361d491fc05,49,petalburg,wally_tutorial,PetalburgCity_Gym,wally,,PetalburgCity_Gym_Text_DadGoCollectBadges,353,312,34,34,8,2,\p | {PLAYER} | \n | \p | \n | \p | \n | \p | \n | \p | \n | \p | \n | {PLAYER} | \p | \n,review_long_line,Thai line likely exceeds the GBA dialogue width; retain meaning and review layout.
dlg_494a02b492be76e5,50,petalburg,wally_tutorial,PetalburgCity_Gym,wally,Wally,PetalburgCity_Gym_Text_WallyIdLikeAPokemon,40,36,34,27,1,0,\n,ok,
dlg_20ec25c2eaea2190,51,petalburg,wally_tutorial,PetalburgCity_Gym,wally,Wally,PetalburgCity_Gym_Text_DadOhYoureWallyRight,51,50,31,31,1,0,\n,ok,
dlg_f98cda4ae5188207,52,petalburg,wally_tutorial,PetalburgCity_Gym,wally,Wally,PetalburgCity_Gym_Text_WallyIveNeverCaughtAPokemon,194,154,39,28,3,0,\n | \p | \n | \p | \n,ok,
dlg_28c0bea6f705559a,53,petalburg,wally_tutorial,PetalburgCity_Gym,wally,,PetalburgCity_Gym_Text_DadHmISee,15,19,15,19,1,0,,ok,
dlg_c91c18103becdb2f,54,petalburg,wally_tutorial,PetalburgCity_Gym,wally,Wally,PetalburgCity_Gym_Text_DadPlayerGoWithWally,88,78,35,30,2,1,{PLAYER} | \n | \p | \n,ok,
dlg_eead62b58595e8b5,55,petalburg,wally_tutorial,PetalburgCity_Gym,wally,,PetalburgCity_Gym_Text_IllLoanYouMyZigzagoon,65,59,38,35,2,0,\p,ok,
dlg_16e7448d926be3cf,56,petalburg,wally_tutorial,PetalburgCity_Gym,wally,Wally,PetalburgCity_Gym_Text_WallyThankYouAndDadGivesPokeBall,102,86,40,34,3,0,\n | \p | \n | \p,ok,
dlg_31f4283f58f635f0,57,petalburg,wally_tutorial,PetalburgCity_Gym,wally,Wally,PetalburgCity_Gym_Text_WallyOhWowThankYou,25,28,15,14,1,0,\n,ok,
dlg_e60a3d620dc03986,58,petalburg,wally_tutorial,PetalburgCity_Gym,wally,,PetalburgCity_Gym_Text_WouldYouReallyComeWithMe,31,27,23,16,1,1,{PLAYER} | \n,ok,
dlg_ad5ae8da99fd5f43,59,petalburg,rustboro,RustboroCity_Gym,rustboro,Roxanne,RustboroCity_Gym_Text_RoxannePostBattle,118,122,37,33,2,0,\n | \p | \n,ok,
dlg_bde9acfada6ecdb8,60,petalburg,rustboro,RustboroCity_Gym,rustboro,,RustboroCity_Gym_Text_ReceivedStoneBadge,38,25,25,16,1,1,{PLAYER} | \n,ok,
dlg_48d242ce72b871a1,61,petalburg,rustboro,RustboroCity_Gym,rustboro,,RustboroCity_Gym_Text_StoneBadgeInfoTakeThis,150,108,39,28,3,0,\n | \p | \n | \p,ok,
dlg_e739b5163d24a801,62,petalburg,rustboro,RustboroCity_Gym,rustboro,,RustboroCity_Gym_Text_ExplainRockTomb,238,200,39,37,4,0,\n | \p | \n | \p | \n | \p | \n,review_long_line,Thai line likely exceeds the GBA dialogue width; retain meaning and review layout.
dlg_55e2e299eaa32230,63,devon,devon_theft,Route116,devon_theft,,RustboroCity_Text_OutOfTheWay,23,18,15,12,1,0,\n,ok,
dlg_fc09693422d97c87,64,devon,devon_theft,Route116,devon_theft,,RustboroCity_Text_WaitDontTakeMyGoods,37,45,20,23,2,0,\p,ok,
dlg_3af0169168c5908b,65,devon,devon_theft,Route116,devon_theft,,RustboroCity_Text_HelpMeIWasRobbed,191,164,35,31,4,0,\p | \n | \p | \n | \p | \n,ok,
dlg_785cd46b2fc2f8ec,66,devon,devon_theft,Route116,devon_theft,,RustboroCity_Text_YouGotItThankYou,145,145,35,35,4,0,\n | \p | \n | \p | \p | \n,ok,
dlg_f237e0965b02f5c4,67,devon,devon_theft,Route116,devon_theft,,RustboroCity_Text_PleaseComeWithMe,38,29,20,17,1,0,\n,ok,
dlg_08674d7717f93db0,68,devon,rusturf,RusturfTunnel,rusturf,,RusturfTunnel_Text_ComeAndGetSome,45,35,24,19,1,0,\n,ok,
dlg_fac0960bd1369f1f,69,devon,rusturf,RusturfTunnel,rusturf,,RusturfTunnel_Text_GruntIntro,159,148,34,28,4,0,\p | \n | \p | \n | \p | \n,ok,
dlg_d362788277a67aac,70,devon,rusturf,RusturfTunnel,rusturf,,RusturfTunnel_Text_GruntTakePackage,173,127,38,26,4,0,\p | \n | \p | \n | \p | \n,ok,
dlg_2a1b92399c937260,71,devon,rusturf,RusturfTunnel,rusturf,,RusturfTunnel_Text_PeekoGladToSeeYouSafe,35,29,29,23,1,0,\n,ok,
dlg_6917422c3af8974f,72,devon,rusturf,RusturfTunnel,rusturf,,RusturfTunnel_Text_ThankYouLetsGoHomePeeko,324,221,38,25,8,2,\p | \n | \p | \n | \p | {PLAYER} | {KUN} | \n | \p | \n | \p | \n | \p | \n | \p,ok,
dlg_a33aefbe6eb63e63,73,devon,devon_corp,RustboroCity_DevonCorp_1F,devon_corp,,RustboroCity_DevonCorp_1F_Text_SoundsLikeStolenGoodsRecovered,59,46,32,24,1,0,\n,ok,
dlg_d4bd710202b46c0c,74,devon,devon_corp,RustboroCity_DevonCorp_1F,devon_corp,,RustboroCity_DevonCorp_3F_Text_ThisIs3rdFloorWaitHere,417,269,37,25,8,0,\n | \p | \n | \p | \n | \p | \n | \p | \n | \p | \n | \p | \n | \p | \n,review_long_page,Thai page likely exceeds the GBA dialogue capacity; retain meaning and review layout.
dlg_ef91cab884e7930d,75,devon,devon_corp,RustboroCity_DevonCorp_1F,devon_corp,,RustboroCity_DevonCorp_3F_Text_WordWithPresidentComeWithMe,68,43,32,15,2,0,\n | \p,ok,
dlg_6c5f3fd5f4fa792e,76,devon,devon_corp,RustboroCity_DevonCorp_1F,devon_corp,,RustboroCity_DevonCorp_3F_Text_PleaseGoAhead,17,20,17,20,1,0,,ok,
dlg_52b589c9fb152fe9,77,devon,devon_corp,RustboroCity_DevonCorp_1F,devon_corp,,RustboroCity_DevonCorp_3F_Text_MrStoneIHaveFavor,358,249,39,26,7,0,\n | \p | \p | \n | \p | \n | \p | \n | \p | \n | \p | \n,review_long_page,Thai page likely exceeds the GBA dialogue capacity; retain meaning and review layout.
dlg_d944c62595a62903,78,devon,devon_corp,RustboroCity_DevonCorp_1F,devon_corp,,RustboroCity_DevonCorp_3F_Text_MrStoneWantYouToHaveThis,159,139,36,34,3,0,\n | \p | \n | \p,ok,
dlg_8cdabd7f75be9916,79,devon,devon_corp,RustboroCity_DevonCorp_1F,devon_corp,,RustboroCity_DevonCorp_3F_Text_ReceivedPokenav,20,15,20,15,1,1,{PLAYER},ok,
dlg_6e4ba929b10c625c,80,devon,devon_corp,RustboroCity_DevonCorp_1F,devon_corp,,RustboroCity_DevonCorp_3F_Text_MrStoneExplainPokenavRestUp,398,330,38,32,7,0,\p | \n | \p | \n | \p | \p | \n | \p | \n | \l | \p | \n,review_long_page,Thai page likely exceeds the GBA dialogue capacity; retain meaning and review layout.
dlg_80a46ed9b55cf555,81,devon,devon_corp,RustboroCity_DevonCorp_1F,devon_corp,,RustboroCity_DevonCorp_3F_Text_MrStoneGoWithCautionAndCare,49,54,25,29,1,2,{PLAYER} | {KUN} | \n,ok,
dlg_59680c8db999e859,82,devon,briney,DewfordTown,briney,,Route104_MrBrineysHouse_Text_WaitUpPeeko,41,40,26,27,1,0,\n,ok,
dlg_8b8f8c1d77b9c2c7,83,devon,briney,DewfordTown,briney,,Route104_MrBrineysHouse_Text_ItsYouLetsSailToDewford,317,256,37,31,7,2,{PLAYER} | {KUN} | \n | \l | \p | \n | \p | \p | \n | \p | \p | \n | \p | \n,review_long_page,Thai page likely exceeds the GBA dialogue capacity; retain meaning and review layout.
dlg_5a21047689f2dce8,84,devon,briney,DewfordTown,briney,,Route104_MrBrineysHouse_Text_NeedToMakeDeliveriesSailToDewford,219,169,37,33,4,0,\n | \p | \n | \p | \n | \p,ok,
dlg_4fedb8a481fa3e6c,85,devon,briney,DewfordTown,briney,,Route104_MrBrineysHouse_Text_NeedToDeliverPackageSailToDewford,210,169,36,33,4,0,\n | \p | \n | \p | \n | \p,ok,
dlg_7eaad53685c1854a,86,devon,briney,DewfordTown,briney,,Route104_MrBrineysHouse_Text_SetSailForDewford,85,56,38,25,2,0,\p | \n,ok,
dlg_dbb46905c78db3fa,87,devon,dewford,DewfordTown_Gym,dewford,Brawly,DewfordTown_Gym_Text_BrawlyPostBattle,98,81,38,30,1,0,\n | \l,review_long_line,Thai line likely exceeds the GBA dialogue width; retain meaning and review layout.
dlg_b5f1597d44c6a945,88,devon,dewford,DewfordTown_Gym,dewford,,DewfordTown_Gym_Text_ReceivedKnuckleBadge,39,26,27,19,1,1,{PLAYER} | \n,ok,
dlg_c511203430171749,89,devon,dewford,DewfordTown_Gym,dewford,,DewfordTown_Gym_Text_KnuckleBadgeInfoTakeThis,210,159,38,29,3,0,\n | \l | \p | \n | \p | \n,review_long_line,Thai line likely exceeds the GBA dialogue width; retain meaning and review layout.
dlg_0e086d2f7643bdb7,90,devon,dewford,DewfordTown_Gym,dewford,,DewfordTown_Gym_Text_ExplainBulkUp,91,74,35,28,3,0,\p | \n | \p,ok,
dlg_f3193871c666b294,91,slateport,museum,SlateportCity_OceanicMuseum_2F,museum,,SlateportCity_OceanicMuseum_2F_Text_ThankYouForTheParts,173,155,38,34,3,0,\n | \p | \n | \p | \n,ok,
dlg_bccdea658542d0e8,92,slateport,museum,SlateportCity_OceanicMuseum_2F,museum,,SlateportCity_OceanicMuseum_2F_Text_WellTakeThoseParts,39,40,23,23,1,0,\n,ok,
dlg_6c9bfdabbe559c34,93,slateport,museum,SlateportCity_OceanicMuseum_2F,museum,,SlateportCity_OceanicMuseum_2F_Text_SternWhoAreYou,40,38,21,25,1,0,\n,ok,
dlg_9758a7ae075cd9a8,94,slateport,museum,SlateportCity_OceanicMuseum_2F,museum,,SlateportCity_OceanicMuseum_2F_Text_WereTeamAqua,76,71,33,29,2,0,\p | \n,ok,
dlg_636ae9a849ca1131,95,slateport,museum,SlateportCity_OceanicMuseum_2F,museum,,SlateportCity_OceanicMuseum_2F_Text_BossGoingToBeFurious,57,40,32,22,1,0,\n,ok,
dlg_e8971e4703accf6a,96,slateport,museum,SlateportCity_OceanicMuseum_2F,museum,,SlateportCity_OceanicMuseum_2F_Text_LetMeTakeCareOfThis,47,35,25,19,1,0,\n,ok,
dlg_aa04df9ea54fa8e8,97,slateport,museum,SlateportCity_OceanicMuseum_2F,museum,,SlateportCity_OceanicMuseum_2F_Text_MeddlingKid,116,89,38,32,2,0,\n | \p | \n,ok,
dlg_f04999e65407c9f5,98,slateport,museum,SlateportCity_OceanicMuseum_2F,museum,,SlateportCity_OceanicMuseum_2F_Text_CameToSeeWhatsTakingSoLong,100,87,34,33,1,0,\n | \l,ok,
dlg_6e3b14603f596d92,99,slateport,museum,SlateportCity_OceanicMuseum_2F,museum,Archie,SlateportCity_OceanicMuseum_2F_Text_ArchieWarning,588,466,36,29,13,0,\n | \p | \n | \p | \p | \n | \p | \n | \p | \n | \p | \n | \p | \n | \p | \n | \p | \n | \l | \p | \n | \p | \n | \p,review_long_page,Thai page likely exceeds the GBA dialogue capacity; retain meaning and review layout.
dlg_9d72999ead10d4fe,100,slateport,museum,SlateportCity_OceanicMuseum_2F,museum,,SlateportCity_OceanicMuseum_2F_Text_SternThankYouForSavingUs,164,150,35,30,3,2,\n | {PLAYER} | {KUN} | \p | \n | \p | \n,ok,
dlg_d19a36b6538ce9c5,101,slateport,museum,SlateportCity_OceanicMuseum_2F,museum,,SlateportCity_OceanicMuseum_2F_Text_SternIveGotToGo,203,149,37,26,4,0,\n | \p | \n | \p | \n | \p | \n,ok,
dlg_28a099c0293fe293,102,slateport,route110_rival,Route110,route110,May,Route110_Text_MayLetsBattle,122,123,34,43,3,2,{PLAYER} | {KUN} | \p | \n | \p | \n,review_long_line,Thai line likely exceeds the GBA dialogue width; retain meaning and review layout.
dlg_1d20082a3ecc7ddc,103,slateport,route110_rival,Route110,route110,May,Route110_Text_MayTakeThis,95,65,29,22,2,2,{PLAYER} | {KUN} | \n | \p | \n,ok,
dlg_871ba96348530430,104,slateport,route110_rival,Route110,route110,May,Route110_Text_MayExplainItemfinder,220,176,38,32,4,2,\p | \n | \p | {PLAYER} | {KUN} | \p | \n | \l,review_long_line,Thai line likely exceeds the GBA dialogue width; retain meaning and review layout.
dlg_fd31a8d537ec357f,105,slateport,route110_rival,Route110,route110,Brendan,Route110_Text_BrendanLetsBattle,110,89,35,32,2,1,{PLAYER} | \n | \l | \p | \n,ok,
dlg_d3ccced86c75df3a,106,slateport,route110_rival,Route110,route110,Brendan,Route110_Text_BrendanTakeThis,73,68,25,25,2,1,{PLAYER} | \n | \p | \n,ok,
dlg_d281b79c13882f2a,107,slateport,route110_rival,Route110,route110,Brendan,Route110_Text_BrendanExplainItemfinder,160,132,36,30,4,0,\p | \n | \p | \n | \p | \n,ok,
dlg_be3cc677576abfad,108,slateport,mauville_wally,MauvilleCity,mauville,,MauvilleCity_Text_UncleHesTooPeppy,102,83,35,35,1,0,\n | \l,ok,
dlg_f4f5fe77c8bb1be0,109,slateport,mauville_wally,MauvilleCity,mauville,Wally,MauvilleCity_Text_UncleCanYouBattleWally,148,110,37,27,2,2,{PLAYER} | {KUN} | \n | \l | \p | \n,ok,
dlg_48288662c4edf402,110,slateport,mauville_wally,MauvilleCity,mauville,Wally,MauvilleCity_Text_WallyWantToChallengeGym,112,107,36,34,3,0,\p | \n | \p,ok,
dlg_776b6560c3cc25d0,111,slateport,mauville_wally,MauvilleCity,mauville,,MauvilleCity_Text_UncleYourePushingIt,165,130,38,30,3,0,\p | \n | \p | \n,ok,
dlg_ea21b86b9428270d,112,slateport,mauville_wally,MauvilleCity,mauville,Wally,MauvilleCity_Text_WallyWeCanBeatAnyone,76,76,31,30,2,0,\p | \n,ok,
dlg_9c9adfc531c27500,113,slateport,mauville_wally,MauvilleCity,mauville,Wally,MauvilleCity_Text_WallyWillYouBattleMe,139,134,32,23,4,3,{PLAYER} | \p | \n | \p | {PLAYER} | \n | \p | {PLAYER} | \n,ok,
dlg_cb17948871baa56c,114,slateport,mauville_wally,MauvilleCity,mauville,,MauvilleCity_Text_UncleVisitUsSometime,188,133,37,28,2,2,{PLAYER} | {KUN} | \n | \l | \l | \p | \n | \l,review_long_line,Thai line likely exceeds the GBA dialogue width; retain meaning and review layout.
