english_normalized,english_raw,thai,usage_count,source_ids,context_variants,status,notes
"archie: fufufu...\nso it was you, after all.$","ARCHIE: Fufufu…\nSo it was you, after all.$",อาโอกิริ: หึ ๆ ๆ…\nเป็นแกจริง ๆ สินะ$,1,dlg_e21be4ce24181c9d,,draft,
"archie: fufufu...\pi commend you. i must recognize that\nyou are truly gifted.\pbut!\ni have this in my possession!\pwith this red orb, i can make kyogre...$","ARCHIE: Fufufu…\pI commend you. I must recognize that\nyou are truly gifted.\pBut!\nI have this in my possession!\pWith this RED ORB, I can make KYOGRE…$",อาโอกิริ: หึ ๆ ๆ…\pต้องยอมรับเลยว่าแกมีฝีมือ\nไม่ธรรมดาจริง ๆ\pแต่ว่า!\nฉันมีสิ่งนี้อยู่ในมือ!\pด้วยลูกแก้วสีแดงนี้ ฉันจะทำให้ไคโอกา…$,1,dlg_5b8c8d67abbc38ae,,draft,
"archie: grr, {player}!\ni should've guessed you'd show up!\psee for yourself what the fanatics\nof team magma are up to!\pthey're trying to inject the stolen\nmeteorite's power into the volcano!\pdoing something like that will cause\nthe volcano's eruption!$","ARCHIE: Grr, {PLAYER}!\nI should've guessed you'd show up!\pSee for yourself what the fanatics\nof TEAM MAGMA are up to!\pThey're trying to inject the stolen\nMETEORITE's power into the volcano!\pDoing something like that will cause\nthe volcano's eruption!$",อาโอกิริ: ฮึ่ม {PLAYER}!\nนึกแล้วว่าแกต้องโผล่มา!\pดูเอาเองว่าพวกคลั่งลัทธิ\nทีมแมกมากำลังทำอะไร!\pพวกมันกำลังส่งพลังของ\nอุกกาบาตที่ขโมยมาเข้าสู่ภูเขาไฟ!\pทำแบบนั้นภูเขาไฟ\nจะปะทุขึ้นมา!$,1,dlg_3a084ac6783a9ce7,,draft,
"archie: grrr...\pi want to stop that maxie,\nbut i can't!\pnot when i have my hands full battling\nthree opponents at once!$","ARCHIE: Grrr…\pI want to stop that MAXIE,\nbut I can't!\pNot when I have my hands full battling\nthree opponents at once!$",อาโอกิริ: ฮึ่ม…\pฉันอยากหยุดมัตสึบูสะ\nแต่ทำไม่ได้!\pในเมื่อฉันต้องรับมือศัตรู\nสามคนพร้อมกันแบบนี้!$,1,dlg_3e2b11896ebb1637,,draft,
archie: hm? it's a message from our\nmembers outside...$,ARCHIE: Hm? It's a message from our\nmembers outside…$,อาโอกิริ: หืม? ข้อความจาก\nพวกที่อยู่ข้างนอก…$,1,dlg_42f4426fdf01c018,,draft,
archie: hold it right there.$,ARCHIE: Hold it right there.$,อาโอกิริ: หยุดอยู่ตรงนั้น$,1,dlg_56c225a224c38318,,draft,
"archie: it surprises me, how you've\nmanaged to chase me here.\pbut that's all over now.\pfor the realization of my dream,\nyou must disappear now!$","ARCHIE: It surprises me, how you've\nmanaged to chase me here.\pBut that's all over now.\pFor the realization of my dream,\nyou must disappear now!$",อาโอกิริ: น่าประหลาดใจจริง ๆ ที่แก\nตามฉันมาถึงที่นี่ได้\pแต่ทุกอย่างจบลงแล้ว\pเพื่อให้ความฝันของฉันเป็นจริง\nแกต้องหายไปเดี๋ยวนี้!$,1,dlg_904db249c77a5fb4,,draft,
"archie: kyogre and groudon both\nflew off to who knows where.\pthe weather in hoenn has returned\nto its normal state...\phaha...\nhahaha...\pmaybe what we were trying to do was\nsomething small, even meaningless,\lto pokémon...$","ARCHIE: KYOGRE and GROUDON both\nflew off to who knows where.\pThe weather in HOENN has returned\nto its normal state…\pHaha…\nHahaha…\pMaybe what we were trying to do was\nsomething small, even meaningless,\lto POKéMON…$",อาโอกิริ: ทั้งไคโอกาและกราดอน\nบินไปไหนแล้วก็ไม่รู้\pสภาพอากาศในโฮเอ็นกลับคืน\nเป็นปกติแล้ว…\pฮ่า ๆ…\nฮ่า ๆ ๆ…\pบางทีสิ่งที่เราพยายามทำอาจเล็กน้อย\nหรือไร้ความหมายเสียด้วยซ้ำ\lสำหรับโปเกมอน…$,1,dlg_6e265d07775a618e,,draft,
"archie: team magma's maxie got ahead\nof us, but we also got what we wanted.\pthe red orb preserved at mt. pyre...\ni, archie, now have it in my possession!\pfufufu... now we can bring our ultimate\nobjective to fruition!\pokay, team!\nwe're pulling out!$","ARCHIE: TEAM MAGMA's MAXIE got ahead\nof us, but we also got what we wanted.\pThe RED ORB preserved at MT. PYRE…\nI, ARCHIE, now have it in my possession!\pFufufu… Now we can bring our ultimate\nobjective to fruition!\pOkay, TEAM!\nWe're pulling out!$",อาโอกิริ: มัตสึบูสะจากทีมแมกมา\nชิงลงมือก่อนเรา แต่เราก็ได้สิ่งที่ต้องการ\pลูกแก้วสีแดงซึ่งเก็บรักษาไว้ที่ภูเขาโอคุริบิ…\nตอนนี้อยู่ในมือของฉัน อาโอกิริแล้ว!\pหึ ๆ ๆ… ทีนี้เราก็ทำให้เป้าหมาย\nสูงสุดของเราเป็นจริงได้!\pเอาล่ะ ทุกคน!\nถอนกำลัง!$,1,dlg_d918d79168cfccf1,,draft,
archie: there's something wrong...\pthe red orb is supposed to awaken\nand control kyogre...\pbut... why?\nwhy did kyogre disappear?\pwhy?!$,ARCHIE: There's something wrong…\pThe RED ORB is supposed to awaken\nand control KYOGRE…\pBut… Why?\nWhy did KYOGRE disappear?\pWhy?!$,อาโอกิริ: มีอะไรผิดปกติ…\pลูกแก้วสีแดงควรจะปลุก\nและควบคุมไคโอกาได้…\pแต่… ทำไม?\nทำไมไคโอกาถึงหายไป?\pทำไมกัน?!$,1,dlg_57e3edbafd739069,,draft,
"archie: w-what?!\ndon't get all high and mighty with me!\pwasn't it you, team magma, that\ninfuriated groudon?\pso long as i have this red orb,\ni should be able to control kyogre...\pi should be able to control it...$","ARCHIE: W-what?!\nDon't get all high and mighty with me!\pWasn't it you, TEAM MAGMA, that\ninfuriated GROUDON?\pSo long as I have this RED ORB,\nI should be able to control KYOGRE…\pI should be able to control it…$",อาโอกิริ: อะ… อะไรนะ?!\nอย่ามาทำเป็นวางท่าเหนือฉัน!\pทีมแมกมาของแกไม่ใช่หรือ\nที่ทำให้กราดอนโกรธเกรี้ยว?\pตราบใดที่ฉันมีลูกแก้วสีแดง\nฉันก็ควรควบคุมไคโอกาได้…\pฉันควรควบคุมมันได้สิ…$,1,dlg_b9b9dc0d0d6b7eb0,,draft,
archie: what?!\pi didn't do anything.\nwhy did the red orb...\pwhere did kyogre go?$,ARCHIE: What?!\pI didn't do anything.\nWhy did the RED ORB…\pWhere did KYOGRE go?$,อาโอกิริ: อะไรนะ?!\pฉันยังไม่ได้ทำอะไรเลย\nทำไมลูกแก้วสีแดงถึง…\pไคโอกาหายไปไหนแล้ว?$,1,dlg_5e4dc15ea2604bc6,,draft,
"archie: yes, what is it?\phm...\nit's raining heavily?\pgood... that should have happened.\nthat is why we awakened kyogre,\lto realize team aqua's vision of\lexpanding the sea.\pwhat?!\pit's raining far harder than we\nenvisioned? you're in danger?\pthat can't be...\nthat's just not possible...\phold your position and monitor\nthe situation!$","ARCHIE: Yes, what is it?\pHm…\nIt's raining heavily?\pGood… That should have happened.\nThat is why we awakened KYOGRE,\lto realize TEAM AQUA's vision of\lexpanding the sea.\pWhat?!\pIt's raining far harder than we\nenvisioned? You're in danger?\pThat can't be…\nThat's just not possible…\pHold your position and monitor\nthe situation!$",อาโอกิริ: ว่าไง มีอะไร?\pหืม…\nฝนตกหนักงั้นหรือ?\pดี… ต้องเป็นแบบนั้นอยู่แล้ว\nเราเลยปลุกไคโอกาขึ้นมา\lเพื่อทำให้อุดมการณ์ในการขยายผืนทะเล\lของทีมอควาเป็นจริง\pว่าไงนะ?!\pฝนตกหนักกว่าที่เราคาดไว้มาก?\nพวกแกกำลังตกอยู่ในอันตราย?\pเป็นไปไม่ได้…\nไม่มีทางเป็นแบบนั้น…\pอยู่ประจำตำแหน่งและเฝ้าดู\nสถานการณ์ต่อไป!$,1,dlg_50cdd92ec4d3dc51,,draft,
"archie: yes, yes, we must!\nwe've got to hurry.\pthere's no telling what team magma\nwill do at mt. chimney!$","ARCHIE: Yes, yes, we must!\nWe've got to hurry.\pThere's no telling what TEAM MAGMA\nwill do at MT. CHIMNEY!$",อาโอกิริ: ใช่ ต้องตามไป!\nเราต้องรีบแล้ว\pไม่รู้ว่าทีมแมกมาจะทำอะไร\nที่ภูเขาเอ็นโทสึ!$,1,dlg_de424b65d2ac84b8,,draft,
"archie: {player}!\nthank you!\pwith your help, we thwarted team\nmagma's destructive plan!\pbut... you...\nwhose side are you on?\pah, it doesn't matter.\pwe will remain vigilant and keep up\nour pursuit of team magma.\p{player}, we shall meet again!$","ARCHIE: {PLAYER}!\nThank you!\pWith your help, we thwarted TEAM\nMAGMA's destructive plan!\pBut… You…\nWhose side are you on?\pAh, it doesn't matter.\pWe will remain vigilant and keep up\nour pursuit of TEAM MAGMA.\p{PLAYER}, we shall meet again!$",อาโอกิริ: {PLAYER}!\nขอบใจมาก!\pด้วยความช่วยเหลือของแก เราจึงหยุด\nแผนทำลายล้างของทีมแมกมาได้!\pแต่… แก…\nอยู่ฝ่ายไหนกันแน่?\pช่างเถอะ ไม่สำคัญหรอก\pเราจะเฝ้าระวังและตามล่า\nทีมแมกมาต่อไป\p{PLAYER} แล้วพบกันใหม่!$,1,dlg_31d1999313c6eb44,,draft,
"archie: {player}, you should keep\nan eye out for team magma, too.\pfarewell!$","ARCHIE: {PLAYER}, you should keep\nan eye out for TEAM MAGMA, too.\pFarewell!$",อาโอกิริ: {PLAYER} ระวัง\nทีมแมกมาด้วยล่ะ\pลาก่อน!$,1,dlg_620b24cda6ef26e8,,draft,
"boss, we should give chase to\nteam magma...$","BOSS, we should give chase to\nTEAM MAGMA…$",บอส เราควรรีบตาม\nทีมแมกมาไป…$,1,dlg_ea4952bca9a7ff22,,draft,
"brendan: hey, {player}.\nso this is where you were.\lhow's it going?\phave you been raising your pokémon?\ni'll check for you.$","BRENDAN: Hey, {PLAYER}.\nSo this is where you were.\lHow's it going?\pHave you been raising your POKéMON?\nI'll check for you.$",ยูคิ: เฮ้ {PLAYER}\nอยู่นี่เองเหรอ\lเป็นยังไงบ้าง?\pเลี้ยงโปเกมอนให้เก่งขึ้นหรือยัง?\nเดี๋ยวฉันตรวจให้เอง$,1,dlg_fd31a8d537ec357f,,draft,
"brendan: i think i get it.\ni think i know why my dad has his eye\lout for you now.\plook, your pokémon already likes you,\neven though you just got it.\p{player}, i get the feeling that you\ncould befriend any pokémon with ease.\pwe should head back to the lab.$","BRENDAN: I think I get it.\nI think I know why my dad has his eye\lout for you now.\pLook, your POKéMON already likes you,\neven though you just got it.\p{PLAYER}, I get the feeling that you\ncould befriend any POKéMON with ease.\pWe should head back to the LAB.$",ยูคิ: ฉันพอเข้าใจแล้ว\nตอนนี้รู้แล้วว่าทำไมพ่อ\lถึงสนใจเธอ\pดูสิ โปเกมอนของเธอชอบเธอแล้ว\nทั้งที่เพิ่งได้มาแท้ ๆ\p{PLAYER} ฉันรู้สึกว่าเธอ\nผูกมิตรกับโปเกมอนตัวไหนก็ได้แน่\pเรากลับไปที่แล็บกันเถอะ$,1,dlg_5ba654e578399a89,,draft,
"brendan: i'd say you're good enough\nto search for pokémon anywhere.\phere, i'll give you this.\ntry it out.$","BRENDAN: I'd say you're good enough\nto search for POKéMON anywhere.\pHere, I'll give you this.\nTry it out.$",ยูคิ: ฝีมือระดับเธอคงไป\nตามหาโปเกมอนที่ไหนก็ได้แล้ว\pนี่ ฉันให้ของชิ้นนี้\nลองใช้ดูสิ$,1,dlg_558729c3a49c4cf8,,draft,
"brendan: okay, so it's this one and\nthat one that live on route 103...$","BRENDAN: Okay, so it's this one and\nthat one that live on ROUTE 103…$",ยูคิ: เอาละ ตัวนี้กับ\nตัวนั้นอาศัยอยู่บนถนนหมายเลข 103…$,1,dlg_1d2c85c3dd45b39f,,draft,
"brendan: that's an itemfinder.\puse it to root around for items that\naren't visible.\pif it senses something, it emits\na sound.\panyway, i'm off to look for new\npokémon.$","BRENDAN: That's an ITEMFINDER.\pUse it to root around for items that\naren't visible.\pIf it senses something, it emits\na sound.\pAnyway, I'm off to look for new\nPOKéMON.$",ยูคิ: นั่นคือเครื่องค้นหาไอเทม\pใช้ค้นหาไอเทมที่\nมองไม่เห็นได้\pถ้ามันตรวจเจออะไร\nก็จะส่งเสียงออกมา\pเอาละ ฉันจะไปตามหา\nโปเกมอนตัวใหม่ต่อแล้ว$,1,dlg_d281b79c13882f2a,,draft,
"brendan: use fly, and your pokémon\ninstantly carries you to any town\lyou've already visited.\pbut you need the fortree gym badge \nto do that.\panyway, i have to move along.$","BRENDAN: Use FLY, and your POKéMON\ninstantly carries you to any town\lyou've already visited.\pBut you need the FORTREE GYM BADGE \nto do that.\pAnyway, I have to move along.$",ยูคิ: ถ้าใช้โซระโอะโทบุ โปเกมอน\nจะพาไปยังเมืองที่เคยไปมาแล้ว\lได้ในพริบตา\pแต่ต้องมีฮิวะมากิยิมแบดจ์ \nถึงจะใช้ได้\pเอาล่ะ ฉันต้องไปต่อแล้ว$,1,dlg_76bf541ad1e06184,,draft,
"brendan: whaaaat?! ... ... ... ... ...\n... ... ... ... ... ... ... ...\pit can't be helped if that's the rule.\p{player}, way to go!\ncongratulations!$","BRENDAN: Whaaaat?! … … … … …\n… … … … … … … …\pIt can't be helped if that's the rule.\p{PLAYER}, way to go!\nCongratulations!$",ยูคิ: อะไรนะ?! … … … … …\n… … … … … … … …\pถ้าเป็นกฎก็คงช่วยไม่ได้\p{PLAYER} ทำได้เยี่ยมมาก!\nยินดีด้วย!$,1,dlg_d3aa53241d06684c,,draft,
"brendan: {player}! so this is where\nyou've been looking for pokémon?\plet me see how good you got.\ni'll test you!\pnow!\nit's a battle, so battle!$","BRENDAN: {PLAYER}! So this is where\nyou've been looking for POKéMON?\pLet me see how good you got.\nI'll test you!\pNow!\nIt's a battle, so battle!$",ยูคิ: {PLAYER}! ที่นี่เองเหรอ\nที่เธอมาตามหาโปเกมอน?\pขอดูหน่อยว่าเก่งขึ้นแค่ไหน\nฉันจะทดสอบเธอเอง!\pเอาล่ะ!\nต่อสู้กันให้เต็มที่!$,1,dlg_83a72594b4c34bcc,,draft,
brendan: {player}!\phow would you like some advice before\nyou challenge the champion?...$,BRENDAN: {PLAYER}!\pHow would you like some advice before\nyou challenge the CHAMPION?…$,ยูคิ: {PLAYER}!\pอยากได้คำแนะนำก่อน\nท้าทายแชมเปี้ยนไหม?…$,1,dlg_002edf666920d96c,,draft,
"brendan: {player}, you've trained\nwithout me noticing...\pgood enough!\nhere, take this.$","BRENDAN: {PLAYER}, you've trained\nwithout me noticing…\pGood enough!\nHere, take this.$",ยูคิ: {PLAYER} ฝึกจนเก่งขึ้น\nโดยที่ฉันไม่ทันสังเกตเลย…\pใช้ได้เลย!\nเอ้า รับนี่ไป$,1,dlg_d3ccced86c75df3a,,draft,
brendan: {player}...\pare you trying to tell me...\nyou've beaten the champion?$,BRENDAN: {PLAYER}…\pAre you trying to tell me…\nYou've beaten the CHAMPION?$,ยูคิ: {PLAYER}…\pหรือว่าเธอ…\nเอาชนะแชมเปี้ยนแล้ว?$,1,dlg_2354d73bb4e62974,,draft,
capt. stern says they discovered\nsomething at the bottom of the sea.\pi wonder what it is?\nwhat could it be?$,CAPT. STERN says they discovered\nsomething at the bottom of the sea.\pI wonder what it is?\nWhat could it be?$,กัปตันคุสโนกิบอกว่าพวกเขาค้นพบ\nบางอย่างที่ก้นทะเล\pสงสัยจังว่าคืออะไร?\nจะเป็นอะไรกันนะ?$,1,dlg_7f0709929860c17b,,draft,
capt. stern: those thugs...\pthey're the same lot who tried to rob\nthe devon goods at the museum.$,CAPT. STERN: Those thugs…\pThey're the same lot who tried to rob\nthe DEVON GOODS at the MUSEUM.$,กัปตันคุสโนกิ: พวกอันธพาลนั่น…\pเป็นพวกเดียวกับที่พยายามปล้น\nสินค้าเดวอนในพิพิธภัณฑ์$,1,dlg_40ef2cebfda60ee7,,draft,
capt. stern: wh-what?\nwho are you people?$,CAPT. STERN: Wh-what?\nWho are you people?$,กัปตันคุสโนกิ: อะ-อะไรนะ?\nพวกแกเป็นใคร?$,1,dlg_6c9bfdabbe559c34,,draft,
capt. stern: what was that all about?\pit sounded like someone using\na megaphone...\pwhere did it come from?$,CAPT. STERN: What was that all about?\pIt sounded like someone using\na megaphone…\pWhere did it come from?$,กัปตันคุสโนกิ: เมื่อกี้มันอะไรกัน?\pฟังเหมือนเสียงใครบางคน\nพูดผ่านโทรโข่ง…\pดังมาจากไหนกัน?$,1,dlg_0b38356a9d2a5891,,draft,
capt. stern: whew...\pthat was my first time to be filmed for\ntv. that was nerve-wracking.$,CAPT. STERN: Whew…\pThat was my first time to be filmed for\nTV. That was nerve-wracking.$,กัปตันคุสโนกิ: เฮ้อ…\pนี่เป็นครั้งแรกที่ผมถูกถ่ายทำ\nออกทีวี ตื่นเต้นจนเกร็งเลยครับ$,1,dlg_a24a9e2b5d3b180d,,draft,
"capt. stern: whoops!\nthere's no time to lose!\pwe have to set out on our ocean-floor\nexpedition really soon.\pthanks again, but now i've got\nto go!\pfeel free to wander around and check\nout our facilities, though.$","CAPT. STERN: Whoops!\nThere's no time to lose!\pWe have to set out on our ocean-floor\nexpedition really soon.\pThanks again, but now I've got\nto go!\pFeel free to wander around and check\nout our facilities, though.$",กัปตันคุสโนกิ: อ๊ะ!\nไม่มีเวลาแล้ว!\pเราต้องรีบออกเดินทาง\nไปสำรวจก้นทะเล\pขอบคุณอีกครั้งนะ แต่ตอนนี้\nผมต้องไปแล้ว!\pเชิญเดินชมอุปกรณ์ต่าง ๆ\nของเราได้ตามสบายครับ$,1,dlg_d19a36b6538ce9c5,,draft,
"capt. stern: why...\pwhy would team aqua steal my\nsubmarine explorer 1?\pthey can't be after the slumbering\npokémon at the bottom of the sea...\pbut even if i were to chase them,\ni don't stand a chance against them...$","CAPT. STERN: Why…\pWhy would TEAM AQUA steal my\nSUBMARINE EXPLORER 1?\pThey can't be after the slumbering\nPOKéMON at the bottom of the sea…\pBut even if I were to chase them,\nI don't stand a chance against them…$",กัปตันคุสโนกิ: ทำไม…\pทำไมทีมอควาต้องขโมย\nเรือดำน้ำเอ็กซ์พลอเรอร์ 1 ของผม?\pคงไม่ได้เล็งโปเกมอนที่หลับใหล\nอยู่ก้นทะเลหรอกนะ…\pแต่ถึงผมจะตามไป\nก็ไม่มีทางสู้พวกมันได้…$,1,dlg_85246ab6bfa6b21d,,draft,
"capt. stern: yes, indeed. we intend to\nmove ahead with our exploration.$","CAPT. STERN: Yes, indeed. We intend to\nmove ahead with our exploration.$",กัปตันคุสโนกิ: ใช่ครับ เราตั้งใจจะ\nเดินหน้าสำรวจต่อไป$,1,dlg_29e6bfe52cbe76dc,,draft,
"capt. stern: you're...\nah, okay, you're {player}{kun}...\panyway, that was a tense situation!\nthank you for saving us!\poh, yes, i almost forgot that you\neven brought the parts from devon!$","CAPT. STERN: You're…\nAh, okay, you're {PLAYER}{KUN}…\pAnyway, that was a tense situation!\nThank you for saving us!\pOh, yes, I almost forgot that you\neven brought the parts from DEVON!$",กัปตันคุสโนกิ: คุณคือ…\nอ๋อ เข้าใจแล้ว {PLAYER}{KUN} สินะ…\pเมื่อกี้สถานการณ์คับขันจริง ๆ!\nขอบคุณที่ช่วยพวกเราไว้!\pอ้อ ใช่ ผมเกือบลืมไปเลยว่า\nคุณนำชิ้นส่วนจากเดวอนมาด้วย!$,1,dlg_9d72999ead10d4fe,,draft,
"dad: as the gym leader, i can't\nexpress how upset i am...\pbut as a father, it makes me both\nhappy and a little sad. it's odd...$","DAD: As the GYM LEADER, I can't\nexpress how upset I am…\pBut as a father, it makes me both\nhappy and a little sad. It's odd…$",พ่อ: ในฐานะยิมลีดเดอร์\nพ่อเสียใจจนบรรยายไม่ถูก…\pแต่ในฐานะพ่อ พ่อทั้งดีใจ\nและเศร้านิด ๆ เป็นความรู้สึกที่แปลกดี…$,1,dlg_189afa7d715ce58f,,draft,
dad: hm. i see.$,DAD: Hm. I see.$,พ่อ: อืม เข้าใจแล้ว$,1,dlg_28c0bea6f705559a,,draft,
"dad: hm... {player}, you have gotten\nstronger.\pi can tell by the number of badges\nthat you've earned.$","DAD: Hm… {PLAYER}, you have gotten\nstronger.\pI can tell by the number of BADGES\nthat you've earned.$",พ่อ: อืม… {PLAYER} ลูก\nแข็งแกร่งขึ้นแล้วนะ\pพ่อดูออกจากจำนวนแบดจ์\nที่ลูกได้รับมา$,1,dlg_341cabcfb47a1d38,,draft,
"dad: hm...\nso, you did get four gym badges.\pfine, as i promised, we will have\na pokémon battle.\p{player}...\pi'm so happy that i can have\na real battle with my own child.\pbut, a battle is a battle!\pi will do everything in my power as\na gym leader to win.\p{player}, you'd better give it your\nbest shot, too!$","DAD: Hm…\nSo, you did get four GYM BADGES.\pFine, as I promised, we will have\na POKéMON battle.\p{PLAYER}…\pI'm so happy that I can have\na real battle with my own child.\pBut, a battle is a battle!\pI will do everything in my power as\na GYM LEADER to win.\p{PLAYER}, you'd better give it your\nbest shot, too!$",พ่อ: อืม…\nในที่สุดลูกก็ได้ยิมแบดจ์มา 4 อัน\pเอาละ ตามที่สัญญาไว้\nเราจะมาดวลโปเกมอนกัน\p{PLAYER}…\pพ่อดีใจเหลือเกินที่ได้ต่อสู้\nอย่างจริงจังกับลูกของตัวเอง\pแต่การต่อสู้ก็คือการต่อสู้!\pพ่อจะใช้พลังทั้งหมดที่มี\nในฐานะยิมลีดเดอร์เพื่อคว้าชัย\p{PLAYER} ลูกเองก็\nสู้ให้เต็มที่เหมือนกัน!$,1,dlg_b1dbf403a97f2f0c,,draft,
