speaker,role,tone,formality,self_pronoun,listener_pronoun,preferred_particles,avoid,example_english,example_thai,notes
Captain Stern,captain and ocean researcher,"professional, earnest, grateful",polite,ผม,คุณ,ครับ,villainous or military bluster,CAPT. STERN: Wh-what?\nWho are you people?$,กัปตันคุสโนกิ: อะ-อะไรนะ?\nพวกแกเป็นใคร?$,Use the compact captain title consistently; exact institutional rank beyond the source is not inferred.
Archie,Team Aqua leader,"forceful, passionate, ideological, dramatic",direct,ฉัน,แก,สิ; ล่ะ,generic villain voice that erases Team Aqua ideology,"We are TEAM AQUA,\nand we love the sea!\pAnd I am TEAM AQUA's leader,\nARCHIE!\pWhat makes you interfere with us?\p…No! You can't be!\nYou're not one of TEAM MAGMA?\pWait, that can't be right.\nYou're not dressed for the part.\p… … … … … …\n… … … … … …\pPOKéMON, people… All life depends on\nthe sea.\pSo, TEAM AQUA is dedicated to\nthe expansion of the sea.\pDon't you agree? What we are doing\nis a magnificent undertaking.\pAh, fine…\nYou're still too young to understand\lour noble objective.\pBut, I warn you, don't even consider\ninterfering with our plans again.\pThe consequences will cost you\ndearly!\pAnd don't you forget it!$",พวกเราคือทีมอควา\nผู้รักท้องทะเล!\pและฉันคือหัวหน้าทีมอควา\nอาโอกิริ!\pทำไมแกถึงมาขวางพวกเรา?\p…ไม่! หรือว่าแก!\nแกไม่ใช่พวกทีมแมกมาหรือ?\pเดี๋ยวสิ ไม่น่าใช่\nแต่งตัวไม่เหมือนพวกมันเลย\p… … … … … …\n… … … … … …\pโปเกมอน มนุษย์… ทุกชีวิตล้วน\nต้องพึ่งพาท้องทะเล\pทีมอควาจึงมุ่งมั่นที่จะ\nขยายผืนทะเล\pไม่เห็นด้วยหรือ? สิ่งที่เราทำ\nคือภารกิจอันยิ่งใหญ่\pเอาเถอะ…\nแกยังเด็กเกินกว่าจะเข้าใจ\lเป้าหมายอันสูงส่งของเรา\pแต่ขอเตือนไว้ อย่าคิด\nขัดขวางแผนของเราอีก\pไม่อย่างนั้นแกจะต้อง\nชดใช้อย่างสาสม!\pจำใส่หัวไว้ด้วย!$,Pronouns may soften outside confrontation; preserve ocean-expansion ideology.
Wattson,Mauville Gym Leader,"boisterous, jovial, confident",casual,ฉัน,เธอ,ฮ่า ๆ; สิ,somber stiffness,"I swell with optimism, seeing a promising\nyoung TRAINER like you!$",พอเห็นเทรนเนอร์รุ่นใหม่อนาคตไกล\nอย่างเธอแล้ว ฉันก็ชื่นใจจริง ๆ!$,Only one explicit speaker-field row; laughter and upbeat cadence are characteristic.
Maxie,Team Magma leader,"controlled, grandiose, ideological, dramatic",formal-direct,ข้า,เจ้า,—,comic slang; wording that erases Team Magma ideology,"MAXIE: Hm?\nWho are you?\p… … … … … …\n… … … … … …\pI'd heard ARCHIE bemoaning a child\nwho's been meddling in TEAM AQUA's\laffairs.\pIt must be you he meant.\pHumph! So you're thinking of\ninterfering with us, TEAM MAGMA?\pNow you listen.\nLong ago, living things used the\lland to live and grow.\pThat is why land is all important!\nIt is the cradle of all!\pThat is why TEAM MAGMA is dedicated\nto the expansion of the land mass.\pIt is for further advancement of\nhumankind and POKéMON!\pAnd for that, we need the power of\nwhat sleeps within this mountain…\pOh! There was no need for you to\nlearn that much.\pBut, no matter!\nI'll teach you the consequences of\lmeddling in our grand design!$",มัตสึบูสะ: หืม?\nแกเป็นใคร?\p… … … … … …\n… … … … … …\pได้ยินอาโอกิริบ่นถึงเด็กคนหนึ่ง\nที่คอยยุ่งเรื่องของทีมอควา\lอยู่บ่อย ๆ\pคงหมายถึงแกสินะ\pฮึ! คิดจะมาขัดขวาง\nพวกเราทีมแมกมางั้นรึ?\pฟังให้ดี\nนานมาแล้ว เหล่าสิ่งมีชีวิตอาศัย\lผืนดินเพื่อดำรงชีวิตและเติบโต\pเพราะอย่างนั้นผืนดินจึงสำคัญที่สุด!\nมันคือแหล่งกำเนิดของทุกชีวิต!\pนั่นคือเหตุผลที่ทีมแมกมาทุ่มเท\nเพื่อขยายผืนแผ่นดิน\pทั้งหมดก็เพื่อความก้าวหน้า\nของมนุษย์และโปเกมอน!\pและเพื่อการนั้น เราต้องใช้พลัง\nของสิ่งที่หลับใหลอยู่ในภูเขานี้…\pโอ้! แกไม่จำเป็นต้อง\nรู้มากถึงเพียงนั้นนี่นา\pแต่ช่างเถอะ!\nฉันจะสอนให้รู้ถึงผลของการ\lขัดขวางแผนการอันยิ่งใหญ่ของเรา!$,Use elevated dramatic diction and preserve land-expansion ideology.
Flannery,Lavaridge Gym Leader,"intense, earnest, slightly self-conscious",polite conversational,ฉัน,เธอ,นะ; สิ,overly mature authority; crude slang,"Your power reminds me of someone…\pOh! I know! You battle like NORMAN,\nthe GYM LEADER of PETALBURG.$",พลังของเธอทำให้ฉันนึกถึงใครบางคน…\pอ๋อ! รู้แล้ว! เธอต่อสู้เหมือนเซ็นริ\nยิมลีดเดอร์แห่งโทวกะเลย$,Only one explicit speaker-field row; preserve earnest intensity.
Winona,Fortree Gym Leader,"serene, confident, dignified",polite-elevated,ฉัน,เธอ,ค่ะ,slang; loud bravado,"Though I fell to you, I will remain\ndevoted to BIRD POKéMON.$",แม้ฉันจะแพ้เธอ แต่ฉันจะยังคง\nทุ่มเทให้โปเกมอนนกต่อไป$,Only one explicit speaker-field row; retain graceful aerial imagery.
Steven,experienced Trainer and Devon heir,"composed, perceptive, supportive",polite conversational,ผม,คุณ,ครับ; นะ,boastfulness; slang,"STEVEN: {PLAYER}{KUN}, show me your true\npower as a TRAINER!$",ไดโกะ: {PLAYER}{KUN} แสดงพลังที่แท้จริง\nในฐานะเทรนเนอร์ให้ฉันดูหน่อย!$,Keep calm authority and curiosity without sounding distant.
Tate,Mossdeep Gym Leader twin,"synchronized, youthful, confident",casual,,,—,invented gendered pronouns; separating paired speech without evidence,"TATE: Looks like the bond between you\nand your POKéMON is far stronger than\lthe bond that we share as twins.\pLIZA: You will become even stronger!\nWe've battled you, so we know.$",ฟู: สายสัมพันธ์ระหว่างเธอกับโปเกมอน\nแข็งแกร่งกว่าสายสัมพันธ์ของ\lพวกเราฝาแฝดเสียอีก\pรัน: เธอจะแข็งแกร่งขึ้นอีกแน่นอน!\nเพราะได้สู้กัน เราจึงรู้$,Paired dialogue with Liza is embedded in the source; unsupported personal fields remain blank.
Wallace,Champion and former Sootopolis Gym Leader,"elegant, assured, encouraging",polite-elevated,ฉัน,เธอ,เถอะ; นะ,coarse particles; flat bureaucratic language,"STEVEN: Okay, here we are!\pInside here you'll find someone named\nWALLACE.\pI think you have what's needed to\nhelp him…$",ไดโกะ: เอาละ ถึงแล้ว!\pข้างในนี้มีคนชื่อ\nมิคุริอยู่\pฉันคิดว่าเธอมีสิ่งที่\nจำเป็นต้องใช้ช่วยเขา…$,Favor graceful battle imagery and composed authority.
Juan,Sootopolis Gym Leader,"courtly, theatrical, confident",elevated,ข้า,เจ้า,—,modern slang; blunt casual phrasing,"The TRAINERS who have gathered all\nthe GYM BADGES of HOENN should make\lway to the ultimate destination.\pThe POKéMON LEAGUE.\pTravel to the easternmost reaches\nof HOENN, to the island EVER GRANDE.\pThere, you shall find the POKéMON\nLEAGUE.$",เหล่าเทรนเนอร์ผู้รวบรวม\nยิมแบดจ์แห่งโฮเอ็นครบแล้ว จง\lมุ่งหน้าสู่จุดหมายสูงสุด\pโปเกมอนลีก\pเดินทางไปยังปลายสุดทางตะวันออก\nของโฮเอ็น สู่เกาะไซยู\pที่นั่น เจ้าจะพบกับโปเกมอน\nลีก$,Only one explicit speaker-field row; retain ceremonious diction.
