move_id,move_name_en,name_status,description_symbol,source_text,target_text_th,description_status,move_name_source_file,move_name_source_line,description_source_file,description_source_line,mapping_source_line
MOVE_DOUBLE_EDGE,DOUBLE-EDGE,keep_english,sDoubleEdgeDescription,"A life-risking tackle that
also hurts the user.","พุ่งชนแบบเสี่ยงชีวิต
ผู้ใช้ท่าก็บาดเจ็บด้วย",proof_passed,src/data/text/move_names.h,41,src/data/text/move_descriptions.h,152,1460
MOVE_TAIL_WHIP,TAIL WHIP,keep_english,sTailWhipDescription,"Wags the tail to lower the
foe's DEFENSE.","สะบัดหางเพื่อลด
พลังป้องกันคู่ต่อสู้",proof_passed,src/data/text/move_names.h,42,src/data/text/move_descriptions.h,156,1461
MOVE_POISON_STING,POISON STING,keep_english,sPoisonStingDescription,"A toxic attack with barbs,
etc., that may poison.","โจมตีด้วยเหล็กในพิษ
อาจทำให้คู่ต่อสู้ติดพิษ",proof_passed,src/data/text/move_names.h,43,src/data/text/move_descriptions.h,160,1462
MOVE_TWINEEDLE,TWINEEDLE,keep_english,sTwineedleDescription,"Stingers on the forelegs
jab the foe twice.","แทงคู่ต่อสู้สองครั้ง
ด้วยเหล็กในที่ขาหน้า",proof_passed,src/data/text/move_names.h,44,src/data/text/move_descriptions.h,164,1463
MOVE_PIN_MISSILE,PIN MISSILE,keep_english,sPinMissileDescription,"Sharp pins are fired to
strike 2 to 5 times.","ยิงเข็มแหลมต่อเนื่อง
2 ถึง 5 ครั้ง",proof_passed,src/data/text/move_names.h,45,src/data/text/move_descriptions.h,168,1464
MOVE_LEER,LEER,keep_english,sLeerDescription,"Frightens the foe with a
leer to lower DEFENSE.","ข่มขู่ด้วยสายตา
เพื่อลดพลังป้องกัน",proof_passed,src/data/text/move_names.h,46,src/data/text/move_descriptions.h,172,1465
MOVE_BITE,BITE,keep_english,sBiteDescription,"Bites with vicious fangs.
May cause flinching.","กัดด้วยเขี้ยวอันดุร้าย
อาจทำให้คู่ต่อสู้ชะงัก",proof_passed,src/data/text/move_names.h,47,src/data/text/move_descriptions.h,176,1466
MOVE_GROWL,GROWL,keep_english,sGrowlDescription,"Growls cutely to reduce the
foe's ATTACK.","ส่งเสียงร้องน่ารัก
เพื่อลดพลังโจมตี",proof_passed,src/data/text/move_names.h,48,src/data/text/move_descriptions.h,180,1467
MOVE_ROAR,ROAR,keep_english,sRoarDescription,"Makes the foe flee to end
the battle.","คำรามไล่คู่ต่อสู้
ให้ออกจากการต่อสู้",proof_passed,src/data/text/move_names.h,49,src/data/text/move_descriptions.h,184,1468
MOVE_SING,SING,keep_english,sSingDescription,"A soothing song lulls the
foe into a deep slumber.","บทเพลงแสนผ่อนคลาย
ทำให้คู่ต่อสู้หลับ",proof_passed,src/data/text/move_names.h,50,src/data/text/move_descriptions.h,188,1469
MOVE_SUPERSONIC,SUPERSONIC,keep_english,sSupersonicDescription,"Emits bizarre sound waves
that may confuse the foe.","ปล่อยคลื่นเสียงประหลาด
อาจทำให้คู่ต่อสู้สับสน",proof_passed,src/data/text/move_names.h,51,src/data/text/move_descriptions.h,192,1470
MOVE_SONIC_BOOM,SONICBOOM,keep_english,sSonicBoomDescription,"Launches shock waves that
always inflict 20 HP damage.","ปล่อยคลื่นกระแทก
สร้างความเสียหาย 20 HP",proof_passed,src/data/text/move_names.h,52,src/data/text/move_descriptions.h,196,1471
MOVE_DISABLE,DISABLE,keep_english,sDisableDescription,"Psychically disables one of
the foe's moves.","ใช้พลังจิตผนึก
ท่าหนึ่งของคู่ต่อสู้",proof_passed,src/data/text/move_names.h,53,src/data/text/move_descriptions.h,200,1472
MOVE_ACID,ACID,keep_english,sAcidDescription,"Sprays a hide-melting acid.
May lower DEFENSE.","พ่นกรดกัดกร่อน
อาจลดพลังป้องกัน",proof_passed,src/data/text/move_names.h,54,src/data/text/move_descriptions.h,204,1473
MOVE_EMBER,EMBER,keep_english,sEmberDescription,"A weak fire attack that may
inflict a burn.","โจมตีด้วยเปลวไฟอ่อน
อาจทำให้คู่ต่อสู้ไหม้",proof_passed,src/data/text/move_names.h,55,src/data/text/move_descriptions.h,208,1474
MOVE_FLAMETHROWER,FLAMETHROWER,keep_english,sFlamethrowerDescription,"A powerful fire attack that
may inflict a burn.","พ่นเปลวไฟทรงพลัง
อาจทำให้คู่ต่อสู้ไหม้",proof_passed,src/data/text/move_names.h,56,src/data/text/move_descriptions.h,212,1475
MOVE_MIST,MIST,keep_english,sMistDescription,"Creates a mist that stops
reduction of abilities.","สร้างหมอกเพื่อป้องกัน
การลดค่าสถานะ",proof_passed,src/data/text/move_names.h,57,src/data/text/move_descriptions.h,216,1476
MOVE_WATER_GUN,WATER GUN,keep_english,sWaterGunDescription,"Squirts water to attack
the foe.","ฉีดน้ำโจมตี
คู่ต่อสู้",proof_passed,src/data/text/move_names.h,58,src/data/text/move_descriptions.h,220,1477
MOVE_HYDRO_PUMP,HYDRO PUMP,keep_english,sHydroPumpDescription,"Blasts water at high power
to strike the foe.","พ่นน้ำแรงดันสูง
เข้าใส่คู่ต่อสู้",proof_passed,src/data/text/move_names.h,59,src/data/text/move_descriptions.h,224,1478
MOVE_SURF,SURF,keep_english,sSurfDescription,"Creates a huge wave, then
crashes it down on the foe.","สร้างคลื่นยักษ์
ซัดถล่มคู่ต่อสู้",proof_passed,src/data/text/move_names.h,60,src/data/text/move_descriptions.h,228,1479
MOVE_ICE_BEAM,ICE BEAM,keep_english,sIceBeamDescription,"Blasts the foe with an icy
beam that may freeze it.","ยิงลำแสงน้ำแข็ง
อาจแช่แข็งคู่ต่อสู้",proof_passed,src/data/text/move_names.h,61,src/data/text/move_descriptions.h,232,1480
MOVE_BLIZZARD,BLIZZARD,keep_english,sBlizzardDescription,"Hits the foe with an icy
storm that may freeze it.","โจมตีด้วยพายุน้ำแข็ง
อาจแช่แข็งคู่ต่อสู้",proof_passed,src/data/text/move_names.h,62,src/data/text/move_descriptions.h,236,1481
MOVE_PSYBEAM,PSYBEAM,keep_english,sPsybeamDescription,"Fires a peculiar ray that
may confuse the foe.","ยิงลำแสงประหลาด
อาจทำให้คู่ต่อสู้สับสน",proof_passed,src/data/text/move_names.h,63,src/data/text/move_descriptions.h,240,1482
MOVE_BUBBLE_BEAM,BUBBLEBEAM,keep_english,sBubbleBeamDescription,"Forcefully sprays bubbles
that may lower SPEED.","พ่นฟองน้ำอย่างรุนแรง
อาจลดความเร็ว",proof_passed,src/data/text/move_names.h,64,src/data/text/move_descriptions.h,244,1483
MOVE_AURORA_BEAM,AURORA BEAM,keep_english,sAuroraBeamDescription,"Fires a rainbow-colored
beam that may lower ATTACK.","ยิงลำแสงสีรุ้ง
อาจลดพลังโจมตี",proof_passed,src/data/text/move_names.h,65,src/data/text/move_descriptions.h,248,1484
MOVE_HYPER_BEAM,HYPER BEAM,keep_english,sHyperBeamDescription,"Powerful, but leaves the
user immobile the next turn.","พลังรุนแรงแต่ผู้ใช้ท่า
ขยับไม่ได้ในเทิร์นถัดไป",proof_passed,src/data/text/move_names.h,66,src/data/text/move_descriptions.h,252,1485
MOVE_PECK,PECK,keep_english,sPeckDescription,"Attacks the foe with a
jabbing beak, etc.","จิกคู่ต่อสู้ด้วย
จะงอยปาก",proof_passed,src/data/text/move_names.h,67,src/data/text/move_descriptions.h,256,1486
MOVE_DRILL_PECK,DRILL PECK,keep_english,sDrillPeckDescription,"A corkscrewing attack with
the beak acting as a drill.","หมุนจะงอยปากคล้ายสว่าน
พุ่งโจมตีคู่ต่อสู้",proof_passed,src/data/text/move_names.h,68,src/data/text/move_descriptions.h,260,1487
MOVE_SUBMISSION,SUBMISSION,keep_english,sSubmissionDescription,"A reckless body slam that
also hurts the user.","พุ่งทับอย่างไม่ยั้ง
ผู้ใช้ท่าก็บาดเจ็บด้วย",proof_passed,src/data/text/move_names.h,69,src/data/text/move_descriptions.h,264,1488
MOVE_LOW_KICK,LOW KICK,keep_english,sLowKickDescription,"A kick that inflicts more
damage on heavier foes.","คู่ต่อสู้ยิ่งหนัก
ยิ่งสร้างความเสียหายมาก",proof_passed,src/data/text/move_names.h,70,src/data/text/move_descriptions.h,268,1489
MOVE_COUNTER,COUNTER,keep_english,sCounterDescription,"Retaliates any physical hit
with double the power.","โต้กลับการโจมตีกายภาพ
ด้วยพลังสองเท่า",proof_passed,src/data/text/move_names.h,71,src/data/text/move_descriptions.h,272,1490
MOVE_SEISMIC_TOSS,SEISMIC TOSS,keep_english,sSeismicTossDescription,"Inflicts damage identical
to the user's level.","สร้างความเสียหายเท่ากับ
เลเวลของผู้ใช้ท่า",proof_passed,src/data/text/move_names.h,72,src/data/text/move_descriptions.h,276,1491
MOVE_STRENGTH,STRENGTH,keep_english,sStrengthDescription,"Builds enormous power,
then slams the foe.","รวบรวมพลังมหาศาล
แล้วกระแทกคู่ต่อสู้",proof_passed,src/data/text/move_names.h,73,src/data/text/move_descriptions.h,280,1492
MOVE_ABSORB,ABSORB,keep_english,sAbsorbDescription,"An attack that absorbs
half the damage inflicted.","ดูด HP เท่ากับครึ่งหนึ่ง
ของความเสียหายที่ทำได้",proof_passed,src/data/text/move_names.h,74,src/data/text/move_descriptions.h,284,1493
MOVE_MEGA_DRAIN,MEGA DRAIN,keep_english,sMegaDrainDescription,"An attack that absorbs
half the damage inflicted.","ดูด HP เท่ากับครึ่งหนึ่ง
ของความเสียหายที่ทำได้",proof_passed,src/data/text/move_names.h,75,src/data/text/move_descriptions.h,288,1494
MOVE_LEECH_SEED,LEECH SEED,keep_english,sLeechSeedDescription,"Plants a seed on the foe to
steal HP on every turn.","ฝังเมล็ดเพื่อดูด HP
จากคู่ต่อสู้ทุกเทิร์น",proof_passed,src/data/text/move_names.h,76,src/data/text/move_descriptions.h,292,1495
MOVE_GROWTH,GROWTH,keep_english,sGrowthDescription,"Forces the body to grow
and heightens SP. ATK.","เร่งการเติบโตของร่างกาย
เพื่อเพิ่มพลังโจมตีพิเศษ",proof_passed,src/data/text/move_names.h,77,src/data/text/move_descriptions.h,296,1496
MOVE_RAZOR_LEAF,RAZOR LEAF,keep_english,sRazorLeafDescription,"Cuts the enemy with leaves.
High critical-hit ratio.","ฟันคู่ต่อสู้ด้วยใบไม้
โอกาสโจมตีคริติคอลสูง",proof_passed,src/data/text/move_names.h,78,src/data/text/move_descriptions.h,300,1497
MOVE_SOLAR_BEAM,SOLARBEAM,keep_english,sSolarBeamDescription,"Absorbs light in one turn,
then attacks next turn.","ดูดซับแสงในเทิร์นแรก
โจมตีในเทิร์นถัดไป",proof_passed,src/data/text/move_names.h,79,src/data/text/move_descriptions.h,304,1498
MOVE_POISON_POWDER,POISONPOWDER,keep_english,sPoisonPowderDescription,"Scatters a toxic powder
that may poison the foe.","โปรยผงพิษ
อาจทำให้คู่ต่อสู้ติดพิษ",proof_passed,src/data/text/move_names.h,80,src/data/text/move_descriptions.h,308,1499
MOVE_STUN_SPORE,STUN SPORE,keep_english,sStunSporeDescription,"Scatters a powder that may
paralyze the foe.","โปรยผงที่อาจทำให้
คู่ต่อสู้อัมพาต",proof_passed,src/data/text/move_names.h,81,src/data/text/move_descriptions.h,312,1500
MOVE_SLEEP_POWDER,SLEEP POWDER,keep_english,sSleepPowderDescription,"Scatters a powder that may
cause the foe to sleep.","โปรยผงที่อาจทำให้
คู่ต่อสู้หลับ",proof_passed,src/data/text/move_names.h,82,src/data/text/move_descriptions.h,316,1501
MOVE_PETAL_DANCE,PETAL DANCE,keep_english,sPetalDanceDescription,"A rampage of 2 to 3 turns
that confuses the user.","อาละวาด 2 ถึง 3 เทิร์น
แล้วผู้ใช้ท่าสับสน",proof_passed,src/data/text/move_names.h,83,src/data/text/move_descriptions.h,320,1502
MOVE_STRING_SHOT,STRING SHOT,keep_english,sStringShotDescription,"Binds the foe with string
to reduce its SPEED.","พันคู่ต่อสู้ด้วยเส้นใย
เพื่อลดความเร็ว",proof_passed,src/data/text/move_names.h,84,src/data/text/move_descriptions.h,324,1503
MOVE_DRAGON_RAGE,DRAGON RAGE,keep_english,sDragonRageDescription,"Launches shock waves that
always inflict 40 HP damage.","ปล่อยคลื่นกระแทก
สร้างความเสียหาย 40 HP",proof_passed,src/data/text/move_names.h,85,src/data/text/move_descriptions.h,328,1504
MOVE_FIRE_SPIN,FIRE SPIN,keep_english,sFireSpinDescription,"Traps the foe in a ring of
fire for 2 to 5 turns.","ขังคู่ต่อสู้ในวงแหวนไฟ
นาน 2 ถึง 5 เทิร์น",proof_passed,src/data/text/move_names.h,86,src/data/text/move_descriptions.h,332,1505
MOVE_THUNDER_SHOCK,THUNDERSHOCK,keep_english,sThunderShockDescription,"An electrical attack that
may paralyze the foe.","โจมตีด้วยกระแสไฟฟ้า
อาจทำให้คู่ต่อสู้อัมพาต",proof_passed,src/data/text/move_names.h,87,src/data/text/move_descriptions.h,336,1506
MOVE_THUNDERBOLT,THUNDERBOLT,keep_english,sThunderboltDescription,"A strong electrical attack
that may paralyze the foe.","โจมตีด้วยไฟฟ้ารุนแรง
อาจทำให้คู่ต่อสู้อัมพาต",proof_passed,src/data/text/move_names.h,88,src/data/text/move_descriptions.h,340,1507
MOVE_THUNDER_WAVE,THUNDER WAVE,keep_english,sThunderWaveDescription,"A weak jolt of electricity
that paralyzes the foe.","ปล่อยกระแสไฟอ่อน
ทำให้คู่ต่อสู้อัมพาต",proof_passed,src/data/text/move_names.h,89,src/data/text/move_descriptions.h,344,1508
MOVE_THUNDER,THUNDER,keep_english,sThunderDescription,"A lightning attack that may
cause paralysis.","โจมตีด้วยสายฟ้า
อาจทำให้คู่ต่อสู้อัมพาต",proof_passed,src/data/text/move_names.h,90,src/data/text/move_descriptions.h,348,1509
MOVE_ROCK_THROW,ROCK THROW,keep_english,sRockThrowDescription,"Throws small rocks to
strike the foe.","ขว้างก้อนหินขนาดเล็ก
ใส่คู่ต่อสู้",proof_passed,src/data/text/move_names.h,91,src/data/text/move_descriptions.h,352,1510
MOVE_EARTHQUAKE,EARTHQUAKE,keep_english,sEarthquakeDescription,"A powerful quake, but has
no effect on flying foes.","สร้างแผ่นดินไหวรุนแรง
ไม่โดนคู่ต่อสู้ที่บินอยู่",proof_passed,src/data/text/move_names.h,92,src/data/text/move_descriptions.h,356,1511
MOVE_FISSURE,FISSURE,keep_english,sFissureDescription,"A one-hit KO move that
drops the foe in a fissure.","ทำให้ตกลงในรอยแยก
หมดสภาพในครั้งเดียว",proof_passed,src/data/text/move_names.h,93,src/data/text/move_descriptions.h,360,1512
MOVE_DIG,DIG,keep_english,sDigDescription,"Digs underground the first
turn and strikes next turn.","ขุดใต้ดินในเทิร์นแรก
โจมตีในเทิร์นถัดไป",proof_passed,src/data/text/move_names.h,94,src/data/text/move_descriptions.h,364,1513
MOVE_TOXIC,TOXIC,keep_english,sToxicDescription,"Poisons the foe with an
intensifying toxin.","ทำให้คู่ต่อสู้ติดพิษ
ที่รุนแรงขึ้นเรื่อยๆ",proof_passed,src/data/text/move_names.h,95,src/data/text/move_descriptions.h,368,1514
MOVE_CONFUSION,CONFUSION,keep_english,sConfusionDescription,"A psychic attack that may
cause confusion.","โจมตีด้วยพลังจิต
อาจทำให้คู่ต่อสู้สับสน",proof_passed,src/data/text/move_names.h,96,src/data/text/move_descriptions.h,372,1515
MOVE_PSYCHIC,PSYCHIC,keep_english,sPsychicDescription,"A powerful psychic attack
that may lower SP. DEF.","โจมตีด้วยพลังจิตรุนแรง
อาจลดพลังป้องกันพิเศษ",proof_passed,src/data/text/move_names.h,97,src/data/text/move_descriptions.h,376,1516
MOVE_HYPNOSIS,HYPNOSIS,keep_english,sHypnosisDescription,"A hypnotizing move that
may induce sleep.","สะกดจิตคู่ต่อสู้
อาจทำให้หลับ",proof_passed,src/data/text/move_names.h,98,src/data/text/move_descriptions.h,380,1517
MOVE_MEDITATE,MEDITATE,keep_english,sMeditateDescription,"Meditates in a peaceful
fashion to raise ATTACK.","ทำสมาธิอย่างสงบ
เพื่อเพิ่มพลังโจมตี",proof_passed,src/data/text/move_names.h,99,src/data/text/move_descriptions.h,384,1518
MOVE_AGILITY,AGILITY,keep_english,sAgilityDescription,"Relaxes the body to sharply
boost SPEED.","ผ่อนคลายร่างกาย
เพื่อเพิ่มความเร็วอย่างมาก",proof_passed,src/data/text/move_names.h,100,src/data/text/move_descriptions.h,388,1519
MOVE_QUICK_ATTACK,QUICK ATTACK,keep_english,sQuickAttackDescription,"An extremely fast attack
that always strikes first.","โจมตีด้วยความเร็วสูง
และลงมือก่อนเสมอ",proof_passed,src/data/text/move_names.h,101,src/data/text/move_descriptions.h,392,1520
MOVE_RAGE,RAGE,keep_english,sRageDescription,"Raises the user's ATTACK
every time it is hit.","เพิ่มพลังโจมตีทุกครั้ง
ที่ผู้ใช้ท่าถูกโจมตี",proof_passed,src/data/text/move_names.h,102,src/data/text/move_descriptions.h,396,1521
MOVE_TELEPORT,TELEPORT,keep_english,sTeleportDescription,"A psychic move for fleeing
from battle instantly.","ใช้พลังจิตหลบหนี
จากการต่อสู้ทันที",proof_passed,src/data/text/move_names.h,103,src/data/text/move_descriptions.h,400,1522
MOVE_NIGHT_SHADE,NIGHT SHADE,keep_english,sNightShadeDescription,"Inflicts damage identical
to the user's level.","สร้างความเสียหายเท่ากับ
เลเวลของผู้ใช้ท่า",proof_passed,src/data/text/move_names.h,104,src/data/text/move_descriptions.h,404,1523
MOVE_MIMIC,MIMIC,keep_english,sMimicDescription,"Copies a move used by the
foe during one battle.","คัดลอกท่าที่คู่ต่อสู้ใช้
ระหว่างการต่อสู้",proof_passed,src/data/text/move_names.h,105,src/data/text/move_descriptions.h,408,1524
