id,category,subcategory,story_order,map_name,location_name,speaker,source_file,source_line,source_label,english_raw,english_preview,thai,translation_status,control_codes,placeholders,duplicate_group,notes,scope_group,scope_subgroup,policy,scope_status,canonical_tracker,reason,scope_decision,dedup_decision,dedup_evidence
dlg_37f7b2c83529a6df,trainer,trainer_dialogue,,,,,src/data/easy_chat/easy_chat_group_trainer.h,10,gEasyChatWord_Link,LINK,LINK,เชื่อมต่อ,applied,,,,phaseF-trainer-batch02 Easy Chat contextual draft; Technical gates PASS; runtime QA deferred OPTIONAL,Trainer,Spoken Trainer Dialogue,HOLD_FOR_SCOPE_DECISION,HOLD,Phase F Trainer Waves,Not spoken Trainer dialogue; removed from locked Trainer scope.,TRANSLATE,NEEDS_TRANSLATION,
dlg_89b6ce7cb6db1551,trainer,trainer_dialogue,,,,,src/data/easy_chat/easy_chat_group_trainer.h,11,gEasyChatWord_SpAbility,SP. ABILITY,SP. ABILITY,ความสามารถ,applied,,,,phaseF-trainer-batch02 Easy Chat contextual draft; Technical gates PASS; runtime QA deferred OPTIONAL,Trainer,Spoken Trainer Dialogue,HOLD_FOR_SCOPE_DECISION,HOLD,Phase F Trainer Waves,Not spoken Trainer dialogue; removed from locked Trainer scope.,TRANSLATE,NEEDS_TRANSLATION,
dlg_a31a7ae085040fea,trainer,trainer_dialogue,,,,,src/data/easy_chat/easy_chat_group_trainer.h,12,gEasyChatWord_Trainer,TRAINER,TRAINER,เทรนเนอร์,applied,,,dup_00784,phaseF-trainer-batch02 Easy Chat contextual draft; Technical gates PASS; runtime QA deferred OPTIONAL,Trainer,Spoken Trainer Dialogue,HOLD_FOR_SCOPE_DECISION,HOLD,Phase F Trainer Waves,Not spoken Trainer dialogue; removed from locked Trainer scope.,TRANSLATE,NEEDS_TRANSLATION,
dlg_398ef2d3e3395650,trainer,trainer_dialogue,,,,,src/data/easy_chat/easy_chat_group_trainer.h,13,gEasyChatWord_Version,VERSION,VERSION,เวอร์ชัน,applied,,,,phaseF-trainer-batch02 Easy Chat contextual draft; Technical gates PASS; runtime QA deferred OPTIONAL,Trainer,Spoken Trainer Dialogue,HOLD_FOR_SCOPE_DECISION,HOLD,Phase F Trainer Waves,Not spoken Trainer dialogue; removed from locked Trainer scope.,TRANSLATE,NEEDS_TRANSLATION,
dlg_8a81fdbb4be91cc4,trainer,trainer_dialogue,,,,,src/data/easy_chat/easy_chat_group_trainer.h,16,gEasyChatWord_Get,GET,GET,ได้มา,applied,,,,phaseF-trainer-batch02 Easy Chat contextual draft; Technical gates PASS; runtime QA deferred OPTIONAL,Trainer,Spoken Trainer Dialogue,HOLD_FOR_SCOPE_DECISION,HOLD,Phase F Trainer Waves,Not spoken Trainer dialogue; removed from locked Trainer scope.,TRANSLATE,NEEDS_TRANSLATION,
dlg_10759846bfe90084,trainer,trainer_dialogue,,,,,src/data/easy_chat/easy_chat_group_trainer.h,18,gEasyChatWord_Ruby,RUBY,RUBY,รูบี้,applied,,,dup_00650,phaseF-trainer-batch02 Easy Chat contextual draft; Technical gates PASS; runtime QA deferred OPTIONAL,Trainer,Spoken Trainer Dialogue,HOLD_FOR_SCOPE_DECISION,HOLD,Phase F Trainer Waves,Not spoken Trainer dialogue; removed from locked Trainer scope.,TRANSLATE,NEEDS_TRANSLATION,
dlg_3391db00d55e46cd,trainer,trainer_dialogue,,,,,src/data/easy_chat/easy_chat_group_trainer.h,19,gEasyChatWord_Level,LEVEL,LEVEL,เลเวล,applied,,,,phaseF-trainer-batch02 Easy Chat contextual draft; Technical gates PASS; runtime QA deferred OPTIONAL,Trainer,Spoken Trainer Dialogue,HOLD_FOR_SCOPE_DECISION,HOLD,Phase F Trainer Waves,Not spoken Trainer dialogue; removed from locked Trainer scope.,TRANSLATE,NEEDS_TRANSLATION,
dlg_93ab774d0a3ab1fe,trainer,trainer_dialogue,,,,,src/data/easy_chat/easy_chat_group_trainer.h,20,gEasyChatWord_Red,RED,RED,เรด,applied,,,dup_00623,phaseF-trainer-batch02 Easy Chat contextual draft; Technical gates PASS; runtime QA deferred OPTIONAL,Trainer,Spoken Trainer Dialogue,HOLD_FOR_SCOPE_DECISION,HOLD,Phase F Trainer Waves,Not spoken Trainer dialogue; removed from locked Trainer scope.,TRANSLATE,NEEDS_TRANSLATION,
dlg_2a4c3db38c12b8c6,trainer,trainer_dialogue,,,,,src/data/easy_chat/easy_chat_group_trainer.h,21,gEasyChatWord_Green,GREEN,GREEN,กรีน,applied,,,,phaseF-trainer-batch02 Easy Chat contextual draft; Technical gates PASS; runtime QA deferred OPTIONAL,Trainer,Spoken Trainer Dialogue,HOLD_FOR_SCOPE_DECISION,HOLD,Phase F Trainer Waves,Not spoken Trainer dialogue; removed from locked Trainer scope.,TRANSLATE,NEEDS_TRANSLATION,
dlg_7a999b0437e8c92e,trainer,trainer_dialogue,,,,,src/data/easy_chat/easy_chat_group_trainer.h,23,gEasyChatWord_Flame,FLAME,FLAME,เฟลม,applied,,,dup_00249,phaseF-trainer-batch02 Easy Chat contextual draft; Technical gates PASS; runtime QA deferred OPTIONAL,Trainer,Spoken Trainer Dialogue,HOLD_FOR_SCOPE_DECISION,HOLD,Phase F Trainer Waves,Not spoken Trainer dialogue; removed from locked Trainer scope.,TRANSLATE,NEEDS_TRANSLATION,
dlg_c677223df2e02625,trainer,trainer_dialogue,,,,,src/data/easy_chat/easy_chat_group_trainer.h,24,gEasyChatWord_Gold,GOLD,GOLD,โกลด์,applied,,,dup_00277,phaseF-trainer-batch02 Easy Chat contextual draft; Technical gates PASS; runtime QA deferred OPTIONAL,Trainer,Spoken Trainer Dialogue,HOLD_FOR_SCOPE_DECISION,HOLD,Phase F Trainer Waves,Not spoken Trainer dialogue; removed from locked Trainer scope.,TRANSLATE,NEEDS_TRANSLATION,
dlg_1472ea855f335134,trainer,trainer_dialogue,,,,,src/data/easy_chat/easy_chat_group_trainer.h,25,gEasyChatWord_Leaf,LEAF,LEAF,ลีฟ,applied,,,dup_00421,phaseF-trainer-batch02 Easy Chat contextual draft; Technical gates PASS; runtime QA deferred OPTIONAL,Trainer,Spoken Trainer Dialogue,HOLD_FOR_SCOPE_DECISION,HOLD,Phase F Trainer Waves,Not spoken Trainer dialogue; removed from locked Trainer scope.,TRANSLATE,NEEDS_TRANSLATION,
dlg_caef755a62e2fe7c,trainer,trainer_dialogue,,,,,src/data/easy_chat/easy_chat_group_trainer.h,26,gEasyChatWord_Silver,SILVER,SILVER,ซิลเวอร์,applied,,,dup_00686,phaseF-trainer-batch02 Easy Chat contextual draft; Technical gates PASS; runtime QA deferred OPTIONAL,Trainer,Spoken Trainer Dialogue,HOLD_FOR_SCOPE_DECISION,HOLD,Phase F Trainer Waves,Not spoken Trainer dialogue; removed from locked Trainer scope.,TRANSLATE,NEEDS_TRANSLATION,
dlg_d01c486007685353,trainer,trainer_dialogue,,,,,src/data/easy_chat/easy_chat_group_trainer.h,27,gEasyChatWord_Emerald,EMERALD,EMERALD,เอเมอรัลด์,applied,,,dup_00220,phaseF-trainer-batch02 Easy Chat contextual draft; Technical gates PASS; runtime QA deferred OPTIONAL,Trainer,Spoken Trainer Dialogue,HOLD_FOR_SCOPE_DECISION,HOLD,Phase F Trainer Waves,Not spoken Trainer dialogue; removed from locked Trainer scope.,TRANSLATE,NEEDS_TRANSLATION,
