qa_order,ui_areas,symbol,source_text,target_text_th,constraint_profile,qa_route,rendering_result,translation_result,visual_status,evidence_note
17,START_SAVE,gText_Floor1,Floor 1,ชั้น 1,PYRAMID_FLOOR,Inspect floors 1-7 and Peak.,,,pending,
18,START_SAVE,gText_Floor2,Floor 2,ชั้น 2,PYRAMID_FLOOR,Inspect floors 1-7 and Peak.,,,pending,
19,START_SAVE,gText_Floor3,Floor 3,ชั้น 3,PYRAMID_FLOOR,Inspect floors 1-7 and Peak.,,,pending,
20,START_SAVE,gText_Floor4,Floor 4,ชั้น 4,PYRAMID_FLOOR,Inspect floors 1-7 and Peak.,,,pending,
21,START_SAVE,gText_Floor5,Floor 5,ชั้น 5,PYRAMID_FLOOR,Inspect floors 1-7 and Peak.,,,pending,
22,START_SAVE,gText_Floor6,Floor 6,ชั้น 6,PYRAMID_FLOOR,Inspect floors 1-7 and Peak.,,,pending,
23,START_SAVE,gText_Floor7,Floor 7,ชั้น 7,PYRAMID_FLOOR,Inspect floors 1-7 and Peak.,,,pending,
24,OPTION_MENU,gText_Frame,FRAME,กรอบ,OPTION_ROW_LABEL,Inspect every Option Menu row with all values.,pass,pass,proof_passed,"User-confirmed runtime evidence: Option Menu screenshot. Text rendered completely and readably, with no clipping, overflow, overlapping Thai marks, or broken glyphs; wording was accepted."
25,OPTION_MENU,gText_FrameType,{COLOR GREEN}{SHADOW LIGHT_GREEN}TYPE,{COLOR GREEN}{SHADOW LIGHT_GREEN}แบบ,OPTION_FRAME_TYPE,Cycle frame types 1 through 20.,pass,pass,proof_passed,"User-confirmed runtime evidence: Option Menu screenshot. Text rendered completely and readably, with no clipping, overflow, overlapping Thai marks, or broken glyphs; wording was accepted."
26,MAIN_MENU,gText_MainMenuContinue,CONTINUE,เล่นต่อ,MAIN_MENU_ENTRY,Boot each Main Menu variant and inspect every selectable entry.,,,pending,
27,MAIN_MENU,gText_MainMenuMysteryEvents,MYSTERY EVENTS,อีเวนต์ลึกลับ,MAIN_MENU_ENTRY,Boot each Main Menu variant and inspect every selectable entry.,,,pending,
28,MAIN_MENU,gText_MainMenuMysteryGift,MYSTERY GIFT,ของขวัญลึกลับ,MAIN_MENU_ENTRY,Boot each Main Menu variant and inspect every selectable entry.,,,pending,
29,MAIN_MENU,gText_MainMenuMysteryGift2,MYSTERY GIFT,ของขวัญลึกลับ,MAIN_MENU_ENTRY,Boot each Main Menu variant and inspect every selectable entry.,,,pending,
30,MAIN_MENU,gText_MainMenuNewGame,เริ่มเกมส์,เริ่มเกม,MAIN_MENU_ENTRY,Boot each Main Menu variant and inspect every selectable entry.,,,pending,
31,MAIN_MENU,gText_MainMenuOption,OPTION,ตั้งค่า,MAIN_MENU_ENTRY,Boot each Main Menu variant and inspect every selectable entry.,,,pending,
32,START_SAVE,gText_MenuBag,BAG,กระเป๋า,START_MENU_ITEM,"Inspect normal, Safari, link, Pike, Pyramid, and partner Start Menus.",pass,pass,proof_passed,"User-confirmed runtime evidence: Normal Start Menu screenshot. Text rendered completely and readably, with no clipping, overflow, overlapping Thai marks, or broken glyphs; wording was accepted."
33,START_SAVE,gText_MenuExit,EXIT,ออก,START_MENU_ITEM,"Inspect normal, Safari, link, Pike, Pyramid, and partner Start Menus.",pass,pass,proof_passed,"User-confirmed runtime evidence: Normal Start Menu screenshot. Text rendered completely and readably, with no clipping, overflow, overlapping Thai marks, or broken glyphs; wording was accepted."
34,START_SAVE,gText_MenuOption,OPTION,ตั้งค่า,START_MENU_ITEM,"Inspect normal, Safari, link, Pike, Pyramid, and partner Start Menus.",pass,pass,proof_passed,"User-confirmed runtime evidence: Normal Start Menu screenshot. Text rendered completely and readably, with no clipping, overflow, overlapping Thai marks, or broken glyphs; wording was accepted."
35,START_SAVE,gText_MenuPokedex,POKéDEX,โปเกเด็กซ์,START_MENU_ITEM,"Inspect normal, Safari, link, Pike, Pyramid, and partner Start Menus.",,,pending,
36,START_SAVE,gText_MenuPokemon,POKéMON,โปเกมอน,START_MENU_ITEM,"Inspect normal, Safari, link, Pike, Pyramid, and partner Start Menus.",,,pending,
37,START_SAVE,gText_MenuPokenav,POKéNAV,โปเกนาวี,START_MENU_ITEM,"Inspect normal, Safari, link, Pike, Pyramid, and partner Start Menus.",,,pending,
38,START_SAVE,gText_MenuRest,REST,พัก,START_MENU_ITEM,"Inspect normal, Safari, link, Pike, Pyramid, and partner Start Menus.",,,pending,
39,START_SAVE,gText_MenuRetire,RETIRE,ถอนตัว,START_MENU_ITEM,"Inspect normal, Safari, link, Pike, Pyramid, and partner Start Menus.",,,pending,
40,START_SAVE,gText_MenuSave,SAVE,บันทึก,START_MENU_ITEM,"Inspect normal, Safari, link, Pike, Pyramid, and partner Start Menus.",pass,pass,proof_passed,"User-confirmed runtime evidence: Normal Start Menu screenshot. Text rendered completely and readably, with no clipping, overflow, overlapping Thai marks, or broken glyphs; wording was accepted."
41,MAIN_MENU,gText_MoveOkBack,{DPAD_NONE}MOVE  {A_BUTTON}OK  {B_BUTTON}BACK,{DPAD_NONE}เลื่อน  {A_BUTTON}ตกลง  {B_BUTTON}กลับ,NAMING_BANNER,Open naming screen and inspect MOVE / OK / BACK banner.,,,pending,
42,OPTION_MENU,gText_Option,OPTION,ตั้งค่า,OPTION_HEADER,Open Option Menu and inspect header.,pass,pass,proof_passed,"User-confirmed runtime evidence: Option Menu header screenshot. Text rendered completely and readably, with no clipping, overflow, overlapping Thai marks, or broken glyphs; wording was accepted."
43,OPTION_MENU,gText_OptionMenuCancel,CANCEL,ยกเลิก,OPTION_CANCEL,Inspect final Option Menu row.,pass,pass,proof_passed,"User-confirmed runtime evidence: Option Menu screenshot. Text rendered completely and readably, with no clipping, overflow, overlapping Thai marks, or broken glyphs; wording was accepted."
44,START_SAVE,gText_Peak,Peak,ยอด,PYRAMID_FLOOR,Inspect floors 1-7 and Peak.,,,pending,
45,START_SAVE,gText_SavingBadges,BADGES,เข็มกลัด,SAVE_INFO_LABEL,"Test maximum-length name, 8 badges, 3-digit Pokédex count, and 3-digit hours.",pass,pass,proof_passed,"User-confirmed runtime evidence: Save information panel screenshot. Text rendered completely and readably, with no clipping, overflow, overlapping Thai marks, or broken glyphs; wording was accepted."
46,START_SAVE,gText_SavingPlayer,PLAYER,ผู้เล่น,SAVE_INFO_LABEL,"Test maximum-length name, 8 badges, 3-digit Pokédex count, and 3-digit hours.",pass,pass,proof_passed,"User-confirmed runtime evidence: Save information panel screenshot. Text rendered completely and readably, with no clipping, overflow, overlapping Thai marks, or broken glyphs; wording was accepted."
47,START_SAVE,gText_SavingPokedex,POKéDEX,โปเกเด็กซ์,SAVE_INFO_LABEL,"Test maximum-length name, 8 badges, 3-digit Pokédex count, and 3-digit hours.",,,pending,
48,START_SAVE,gText_SavingTime,TIME,เวลา,SAVE_INFO_LABEL,"Test maximum-length name, 8 badges, 3-digit Pokédex count, and 3-digit hours.",pass,pass,proof_passed,"User-confirmed runtime evidence: Save information panel screenshot. Text rendered completely and readably, with no clipping, overflow, overlapping Thai marks, or broken glyphs; wording was accepted."
49,OPTION_MENU,gText_Sound,SOUND,เสียง,OPTION_ROW_LABEL,Inspect every Option Menu row with all values.,pass,pass,proof_passed,"User-confirmed runtime evidence: Option Menu screenshot. Text rendered completely and readably, with no clipping, overflow, overlapping Thai marks, or broken glyphs; wording was accepted."
50,OPTION_MENU,gText_SoundMono,{COLOR GREEN}{SHADOW LIGHT_GREEN}MONO,{COLOR GREEN}{SHADOW LIGHT_GREEN}โมโน,OPTION_PAIR_CHOICE,Cycle both values and inspect selection color changes.,pass,pass,proof_passed,"User-confirmed runtime evidence: Option Menu screenshot. Text rendered completely and readably, with no clipping, overflow, overlapping Thai marks, or broken glyphs; wording was accepted."
51,OPTION_MENU,gText_SoundStereo,{COLOR GREEN}{SHADOW LIGHT_GREEN}STEREO,{COLOR GREEN}{SHADOW LIGHT_GREEN}สเตอริโอ,OPTION_PAIR_CHOICE,Cycle both values and inspect selection color changes.,pass,pass,proof_passed,"User-confirmed runtime evidence: Option Menu screenshot. Text rendered completely and readably, with no clipping, overflow, overlapping Thai marks, or broken glyphs; wording was accepted."
52,OPTION_MENU,gText_TextSpeed,TEXT SPEED,ความเร็วข้อความ,OPTION_ROW_LABEL,Inspect every Option Menu row with all values.,pass,pass,proof_passed,"User-confirmed runtime evidence: Option Menu screenshot. Text rendered completely and readably, with no clipping, overflow, overlapping Thai marks, or broken glyphs; wording was accepted."
53,OPTION_MENU,gText_TextSpeedFast,{COLOR GREEN}{SHADOW LIGHT_GREEN}FAST,{COLOR GREEN}{SHADOW LIGHT_GREEN}เร็ว,OPTION_TRIPLE_CHOICE,Cycle all three values and inspect all selection states.,pass,pass,proof_passed,"User-confirmed runtime evidence: Option Menu screenshot. Text rendered completely and readably, with no clipping, overflow, overlapping Thai marks, or broken glyphs; wording was accepted."
54,OPTION_MENU,gText_TextSpeedMid,{COLOR GREEN}{SHADOW LIGHT_GREEN}MID,{COLOR GREEN}{SHADOW LIGHT_GREEN}กลาง,OPTION_TRIPLE_CHOICE,Cycle all three values and inspect all selection states.,pass,pass,proof_passed,"User-confirmed runtime evidence: Option Menu screenshot. Text rendered completely and readably, with no clipping, overflow, overlapping Thai marks, or broken glyphs; wording was accepted."
55,OPTION_MENU,gText_TextSpeedSlow,{COLOR GREEN}{SHADOW LIGHT_GREEN}SLOW,{COLOR GREEN}{SHADOW LIGHT_GREEN}ช้า,OPTION_TRIPLE_CHOICE,Cycle all three values and inspect all selection states.,pass,pass,proof_passed,"User-confirmed runtime evidence: Option Menu screenshot. Text rendered completely and readably, with no clipping, overflow, overlapping Thai marks, or broken glyphs; wording was accepted."
