ui_id,ui_key,symbol,current_text,target_text_th,translation_status,scope_class,current_language,ui_areas,usage_count,definition_kind,source_file,source_line,line_count,control_codes,has_placeholders,width_constraint_status,visual_qa_status,translator_note,batch_status
UI0099,global:gText_DefaultNameHalie,gText_DefaultNameHalie,HALIE,,pending,core_ui_label,english,MAIN_MENU,1,c_u8,src/strings.c,105,1,,no,pending_usage_to_window_mapping,pending,,ready_for_constraint_mapping
UI0100,global:gText_DefaultNameHazel,gText_DefaultNameHazel,HAZEL,,pending,core_ui_label,english,MAIN_MENU,1,c_u8,src/strings.c,97,1,,no,pending_usage_to_window_mapping,pending,,ready_for_constraint_mapping
UI0101,global:gText_DefaultNameJaxson,gText_DefaultNameJaxson,JAXSON,,pending,core_ui_label,english,MAIN_MENU,1,c_u8,src/strings.c,72,1,,no,pending_usage_to_window_mapping,pending,,ready_for_constraint_mapping
UI0102,global:gText_DefaultNameJayla,gText_DefaultNameJayla,JAYLA,,pending,core_ui_label,english,MAIN_MENU,1,c_u8,src/strings.c,89,1,,no,pending_usage_to_window_mapping,pending,,ready_for_constraint_mapping
UI0103,global:gText_DefaultNameJohnny,gText_DefaultNameJohnny,JOHNNY,,pending,core_ui_label,english,MAIN_MENU,1,c_u8,src/strings.c,76,1,,no,pending_usage_to_window_mapping,pending,,ready_for_constraint_mapping
UI0104,global:gText_DefaultNameJude,gText_DefaultNameJude,JUDE,,pending,core_ui_label,english,MAIN_MENU,1,c_u8,src/strings.c,71,1,,no,pending_usage_to_window_mapping,pending,,ready_for_constraint_mapping
UI0105,global:gText_DefaultNameKenny,gText_DefaultNameKenny,KENNY,,pending,core_ui_label,english,MAIN_MENU,1,c_u8,src/strings.c,69,1,,no,pending_usage_to_window_mapping,pending,,ready_for_constraint_mapping
UI0106,global:gText_DefaultNameKimmy,gText_DefaultNameKimmy,KIMMY,,pending,core_ui_label,english,MAIN_MENU,1,c_u8,src/strings.c,86,1,,no,pending_usage_to_window_mapping,pending,,ready_for_constraint_mapping
UI0107,global:gText_DefaultNameLandon,gText_DefaultNameLandon,LANDON,,pending,core_ui_label,english,MAIN_MENU,1,c_u8,src/strings.c,82,1,,no,pending_usage_to_window_mapping,pending,,ready_for_constraint_mapping
UI0108,global:gText_DefaultNameLianna,gText_DefaultNameLianna,LIANNA,,pending,core_ui_label,english,MAIN_MENU,1,c_u8,src/strings.c,91,1,,no,pending_usage_to_window_mapping,pending,,ready_for_constraint_mapping
UI0109,global:gText_DefaultNameLillie,gText_DefaultNameLillie,LILLIE,,pending,core_ui_label,english,MAIN_MENU,1,c_u8,src/strings.c,102,1,,no,pending_usage_to_window_mapping,pending,,ready_for_constraint_mapping
UI0110,global:gText_DefaultNameLucy,gText_DefaultNameLucy,LUCY,,pending,core_ui_label,english,MAIN_MENU,1,c_u8,src/strings.c,104,1,,no,pending_usage_to_window_mapping,pending,,ready_for_constraint_mapping
UI0111,global:gText_DefaultNameMilton,gText_DefaultNameMilton,MILTON,,pending,core_ui_label,english,MAIN_MENU,1,c_u8,src/strings.c,67,1,,no,pending_usage_to_window_mapping,pending,,ready_for_constraint_mapping
UI0112,global:gText_DefaultNameMonica,gText_DefaultNameMonica,MONICA,,pending,core_ui_label,english,MAIN_MENU,1,c_u8,src/strings.c,93,1,,no,pending_usage_to_window_mapping,pending,,ready_for_constraint_mapping
UI0113,global:gText_DefaultNameNadine,gText_DefaultNameNadine,NADINE,,pending,core_ui_label,english,MAIN_MENU,1,c_u8,src/strings.c,98,1,,no,pending_usage_to_window_mapping,pending,,ready_for_constraint_mapping
UI0114,global:gText_DefaultNameNicola,gText_DefaultNameNicola,NICOLA,,pending,core_ui_label,english,MAIN_MENU,1,c_u8,src/strings.c,101,1,,no,pending_usage_to_window_mapping,pending,,ready_for_constraint_mapping
UI0115,global:gText_DefaultNameQuincy,gText_DefaultNameQuincy,QUINCY,,pending,core_ui_label,english,MAIN_MENU,1,c_u8,src/strings.c,85,1,,no,pending_usage_to_window_mapping,pending,,ready_for_constraint_mapping
UI0116,global:gText_DefaultNameReid,gText_DefaultNameReid,REID,,pending,core_ui_label,english,MAIN_MENU,1,c_u8,src/strings.c,70,1,,no,pending_usage_to_window_mapping,pending,,ready_for_constraint_mapping
UI0117,global:gText_DefaultNameRuthie,gText_DefaultNameRuthie,RUTHIE,,pending,core_ui_label,english,MAIN_MENU,1,c_u8,src/strings.c,96,1,,no,pending_usage_to_window_mapping,pending,,ready_for_constraint_mapping
UI0118,global:gText_DefaultNameSara,gText_DefaultNameSara,SARA,,pending,core_ui_label,english,MAIN_MENU,1,c_u8,src/strings.c,92,1,,no,pending_usage_to_window_mapping,pending,,ready_for_constraint_mapping
UI0119,global:gText_DefaultNameSeth,gText_DefaultNameSeth,SETH,,pending,core_ui_label,english,MAIN_MENU,1,c_u8,src/strings.c,78,1,,no,pending_usage_to_window_mapping,pending,,ready_for_constraint_mapping
UI0120,global:gText_DefaultNameStanley,gText_DefaultNameStanley,STANLEY,,pending,core_ui_label,english,MAIN_MENU,1,c_u8,src/strings.c,84,1,,no,pending_usage_to_window_mapping,pending,,ready_for_constraint_mapping
UI0121,global:gText_DefaultNameStu,gText_DefaultNameStu,STU,,pending,core_ui_label,english,MAIN_MENU,1,c_u8,src/strings.c,66,1,,no,pending_usage_to_window_mapping,pending,,ready_for_constraint_mapping
UI0122,global:gText_DefaultNameTanja,gText_DefaultNameTanja,TANJA,,pending,core_ui_label,english,MAIN_MENU,1,c_u8,src/strings.c,99,1,,no,pending_usage_to_window_mapping,pending,,ready_for_constraint_mapping
UI0123,global:gText_DefaultNameTerra,gText_DefaultNameTerra,TERRA,,pending,core_ui_label,english,MAIN_MENU,1,c_u8,src/strings.c,103,1,,no,pending_usage_to_window_mapping,pending,,ready_for_constraint_mapping
UI0124,global:gText_DefaultNameTerry,gText_DefaultNameTerry,TERRY,,pending,core_ui_label,english,MAIN_MENU,1,c_u8,src/strings.c,79,1,,no,pending_usage_to_window_mapping,pending,,ready_for_constraint_mapping
UI0125,global:gText_DefaultNameTeru,gText_DefaultNameTeru,TERU,,pending,core_ui_label,english,MAIN_MENU,1,c_u8,src/strings.c,75,1,,no,pending_usage_to_window_mapping,pending,,ready_for_constraint_mapping
UI0126,global:gText_DefaultNameTiara,gText_DefaultNameTiara,TIARA,,pending,core_ui_label,english,MAIN_MENU,1,c_u8,src/strings.c,87,1,,no,pending_usage_to_window_mapping,pending,,ready_for_constraint_mapping
UI0127,global:gText_DefaultNameTom,gText_DefaultNameTom,TOM,,pending,core_ui_label,english,MAIN_MENU,1,c_u8,src/strings.c,68,1,,no,pending_usage_to_window_mapping,pending,,ready_for_constraint_mapping
UI0128,global:gText_DefaultNameWalker,gText_DefaultNameWalker,WALKER,,pending,core_ui_label,english,MAIN_MENU,1,c_u8,src/strings.c,74,1,,no,pending_usage_to_window_mapping,pending,,ready_for_constraint_mapping
UI0129,global:gText_DefaultNameYasmin,gText_DefaultNameYasmin,YASMIN,,pending,core_ui_label,english,MAIN_MENU,1,c_u8,src/strings.c,100,1,,no,pending_usage_to_window_mapping,pending,,ready_for_constraint_mapping
UI0175,global:gText_DifferentSaveFile,gText_DifferentSaveFile,"WARNING!\pThere is a different game file that
is already saved.\pIf you save now, the other file's
adventure, including items and\lPOKéMON, will be entirely lost.\pAre you sure you want to save now
and overwrite the other save file?",,pending,system_message,english,START_SAVE,1,asm_string,data/text/save.inc,16,4,\l;\p,yes,pending_usage_to_window_mapping,pending,,ready_for_constraint_mapping
UI0201,global:gText_Floor1,gText_Floor1,Floor 1,ชั้น 1,translated_pending_qa,core_ui_label,english,START_SAVE,1,c_u8,src/strings.c,1575,1,,no,pass,pending,"Phase 5 Batch 1 pilot label. Source geometry, shaping, and width checked.",pilot_label_translated_pending_visual_qa
UI0202,global:gText_Floor2,gText_Floor2,Floor 2,ชั้น 2,translated_pending_qa,core_ui_label,english,START_SAVE,1,c_u8,src/strings.c,1576,1,,no,pass,pending,"Phase 5 Batch 1 pilot label. Source geometry, shaping, and width checked.",pilot_label_translated_pending_visual_qa
UI0203,global:gText_Floor3,gText_Floor3,Floor 3,ชั้น 3,translated_pending_qa,core_ui_label,english,START_SAVE,1,c_u8,src/strings.c,1577,1,,no,pass,pending,"Phase 5 Batch 1 pilot label. Source geometry, shaping, and width checked.",pilot_label_translated_pending_visual_qa
UI0204,global:gText_Floor4,gText_Floor4,Floor 4,ชั้น 4,translated_pending_qa,core_ui_label,english,START_SAVE,1,c_u8,src/strings.c,1578,1,,no,pass,pending,"Phase 5 Batch 1 pilot label. Source geometry, shaping, and width checked.",pilot_label_translated_pending_visual_qa
UI0205,global:gText_Floor5,gText_Floor5,Floor 5,ชั้น 5,translated_pending_qa,core_ui_label,english,START_SAVE,1,c_u8,src/strings.c,1579,1,,no,pass,pending,"Phase 5 Batch 1 pilot label. Source geometry, shaping, and width checked.",pilot_label_translated_pending_visual_qa
UI0206,global:gText_Floor6,gText_Floor6,Floor 6,ชั้น 6,translated_pending_qa,core_ui_label,english,START_SAVE,1,c_u8,src/strings.c,1580,1,,no,pass,pending,"Phase 5 Batch 1 pilot label. Source geometry, shaping, and width checked.",pilot_label_translated_pending_visual_qa
UI0207,global:gText_Floor7,gText_Floor7,Floor 7,ชั้น 7,translated_pending_qa,core_ui_label,english,START_SAVE,1,c_u8,src/strings.c,1581,1,,no,pass,pending,"Phase 5 Batch 1 pilot label. Source geometry, shaping, and width checked.",pilot_label_translated_pending_visual_qa
UI0210,global:gText_Frame,gText_Frame,FRAME,กรอบ,translated_pending_qa,core_ui_label,english,OPTION_MENU,1,c_u8,src/strings.c,1533,1,,no,pass,pending,"Phase 5 Batch 1 pilot label. Source geometry, shaping, and width checked.",pilot_label_translated_pending_visual_qa
UI0211,global:gText_FrameType,gText_FrameType,{COLOR GREEN}{SHADOW LIGHT_GREEN}TYPE,{COLOR GREEN}{SHADOW LIGHT_GREEN}แบบ,translated_pending_qa,core_ui_label,english,OPTION_MENU,1,c_u8,src/strings.c,1545,1,{COLOR GREEN};{SHADOW LIGHT_GREEN},yes,pass,pending,"Phase 5 Batch 1 pilot label. Source geometry, shaping, and width checked.",pilot_label_translated_pending_visual_qa
UI0258,global:gText_MainMenuContinue,gText_MainMenuContinue,CONTINUE,เล่นต่อ,translated_pending_qa,core_ui_label,english,MAIN_MENU,3,c_u8,src/strings.c,25,1,,no,pass,pending,"Phase 5 Batch 1 pilot label. Source geometry, shaping, and width checked.",pilot_label_translated_pending_visual_qa
UI0259,global:gText_MainMenuMysteryEvents,gText_MainMenuMysteryEvents,MYSTERY EVENTS,อีเวนต์ลึกลับ,translated_pending_qa,core_ui_label,english,MAIN_MENU,1,c_u8,src/strings.c,29,1,,no,pass,pending,"Phase 5 Batch 1 pilot label. Source geometry, shaping, and width checked.",pilot_label_translated_pending_visual_qa
UI0260,global:gText_MainMenuMysteryGift,gText_MainMenuMysteryGift,MYSTERY GIFT,ของขวัญลึกลับ,translated_pending_qa,core_ui_label,english,MAIN_MENU,1,c_u8,src/strings.c,27,1,,no,pass,pending,"Phase 5 Batch 1 pilot label. Source geometry, shaping, and width checked.",pilot_label_translated_pending_visual_qa
UI0261,global:gText_MainMenuMysteryGift2,gText_MainMenuMysteryGift2,MYSTERY GIFT,ของขวัญลึกลับ,translated_pending_qa,core_ui_label,english,MAIN_MENU,1,c_u8,src/strings.c,28,1,,no,pass,pending,"Phase 5 Batch 1 pilot label. Source geometry, shaping, and width checked.",pilot_label_translated_pending_visual_qa
UI0262,global:gText_MainMenuNewGame,gText_MainMenuNewGame,เริ่มเกมส์,เริ่มเกม,translated_pending_qa,core_ui_label,thai,MAIN_MENU,4,c_u8,src/strings.c,24,1,,no,pass,pending,"Phase 5 Batch 1 pilot label. Source geometry, shaping, and width checked.",pilot_label_translated_pending_visual_qa
UI0263,global:gText_MainMenuOption,gText_MainMenuOption,OPTION,ตั้งค่า,translated_pending_qa,core_ui_label,english,MAIN_MENU,4,c_u8,src/strings.c,26,1,,no,pass,pending,"Phase 5 Batch 1 pilot label. Source geometry, shaping, and width checked.",pilot_label_translated_pending_visual_qa
UI0266,global:gText_MenuBag,gText_MenuBag,BAG,กระเป๋า,translated_pending_qa,core_ui_label,english,START_SAVE,2,c_u8,src/strings.c,1565,1,,no,pass,pending,"Phase 5 Batch 1 pilot label. Source geometry, shaping, and width checked.",pilot_label_translated_pending_visual_qa
UI0267,global:gText_MenuExit,gText_MenuExit,EXIT,ออก,translated_pending_qa,core_ui_label,english,START_SAVE,1,c_u8,src/strings.c,1570,1,,no,pass,pending,"Phase 5 Batch 1 pilot label. Source geometry, shaping, and width checked.",pilot_label_translated_pending_visual_qa
UI0268,global:gText_MenuOption,gText_MenuOption,OPTION,ตั้งค่า,translated_pending_qa,core_ui_label,english,START_SAVE,1,c_u8,src/strings.c,1569,1,,no,pass,pending,"Phase 5 Batch 1 pilot label. Source geometry, shaping, and width checked.",pilot_label_translated_pending_visual_qa
UI0270,global:gText_MenuPokedex,gText_MenuPokedex,POKéDEX,โปเกเด็กซ์,translated_pending_qa,core_ui_label,english,START_SAVE,1,c_u8,src/strings.c,1563,1,,no,pass,pending,"Phase 5 Batch 1 pilot label. Source geometry, shaping, and width checked.",pilot_label_translated_pending_visual_qa
UI0271,global:gText_MenuPokemon,gText_MenuPokemon,POKéMON,โปเกมอน,translated_pending_qa,core_ui_label,english,START_SAVE,1,c_u8,src/strings.c,1564,1,,no,pass,pending,"Phase 5 Batch 1 pilot label. Source geometry, shaping, and width checked.",pilot_label_translated_pending_visual_qa
UI0272,global:gText_MenuPokenav,gText_MenuPokenav,POKéNAV,โปเกนาวี,translated_pending_qa,core_ui_label,english,START_SAVE,1,c_u8,src/strings.c,1566,1,,no,pass,pending,"Phase 5 Batch 1 pilot label. Source geometry, shaping, and width checked.",pilot_label_translated_pending_visual_qa
UI0273,global:gText_MenuRest,gText_MenuRest,REST,พัก,translated_pending_qa,core_ui_label,english,START_SAVE,1,c_u8,src/strings.c,1572,1,,no,pass,pending,"Phase 5 Batch 1 pilot label. Source geometry, shaping, and width checked.",pilot_label_translated_pending_visual_qa
UI0274,global:gText_MenuRetire,gText_MenuRetire,RETIRE,ถอนตัว,translated_pending_qa,core_ui_label,english,START_SAVE,2,c_u8,src/strings.c,1571,1,,no,pass,pending,"Phase 5 Batch 1 pilot label. Source geometry, shaping, and width checked.",pilot_label_translated_pending_visual_qa
UI0275,global:gText_MenuSave,gText_MenuSave,SAVE,บันทึก,translated_pending_qa,core_ui_label,english,START_SAVE,1,c_u8,src/strings.c,1568,1,,no,pass,pending,"Phase 5 Batch 1 pilot label. Source geometry, shaping, and width checked.",pilot_label_translated_pending_visual_qa
UI0283,global:gText_MoveOkBack,gText_MoveOkBack,{DPAD_NONE}MOVE  {A_BUTTON}OK  {B_BUTTON}BACK,{DPAD_NONE}เลื่อน  {A_BUTTON}ตกลง  {B_BUTTON}กลับ,translated_pending_qa,core_ui_label,english,MAIN_MENU,1,c_u8,src/strings.c,1646,1,{A_BUTTON};{B_BUTTON};{DPAD_NONE},yes,pass,pending,"Phase 5 Batch 1 pilot label. Source geometry, shaping, and width checked.",pilot_label_translated_pending_visual_qa
UI0297,global:gText_MysteryEventsCantUse,gText_MysteryEventsCantUse,"MYSTERY EVENTS can't be used while
the Wireless Adapter is attached.",,pending,core_ui_prompt,english,MAIN_MENU,1,c_u8,src/strings.c,32,2,,no,pending_usage_to_window_mapping,pending,,ready_for_constraint_mapping
UI0298,global:gText_MysteryGiftCantUse,gText_MysteryGiftCantUse,"MYSTERY GIFT can't be used while
the Wireless Adapter is attached.",,pending,core_ui_prompt,english,MAIN_MENU,1,c_u8,src/strings.c,31,2,,no,pending_usage_to_window_mapping,pending,,ready_for_constraint_mapping
UI0301,global:gText_NamingScreenKeyboard_ABCDEF,gText_NamingScreenKeyboard_ABCDEF,{CLEAR 11}A{CLEAR 6}B{CLEAR 6}C{CLEAR 26}D{CLEAR 6}E{CLEAR 6}F{CLEAR 6} {CLEAR 30}.,,pending,core_ui_prompt,english,MAIN_MENU,1,c_u8,src/text_input_strings.c,14,1,{CLEAR 11};{CLEAR 26};{CLEAR 30};{CLEAR 6},yes,pending_usage_to_window_mapping,pending,,ready_for_constraint_mapping
UI0302,global:gText_NamingScreenKeyboard_GHIJKL,gText_NamingScreenKeyboard_GHIJKL,"{CLEAR 11}G{CLEAR 6}H{CLEAR 6}I{CLEAR 26}J{CLEAR 6}K{CLEAR 6}L{CLEAR 6} {CLEAR 30},",,pending,core_ui_label,english,MAIN_MENU,1,c_u8,src/text_input_strings.c,15,1,{CLEAR 11};{CLEAR 26};{CLEAR 30};{CLEAR 6},yes,pending_usage_to_window_mapping,pending,,ready_for_constraint_mapping
UI0303,global:gText_NamingScreenKeyboard_MNOPQRS,gText_NamingScreenKeyboard_MNOPQRS,{CLEAR 11}M{CLEAR 6}N{CLEAR 6}O{CLEAR 26}P{CLEAR 6}Q{CLEAR 6}R{CLEAR 6}S{CLEAR 26}\x20,,pending,core_ui_label,english,MAIN_MENU,1,c_u8,src/text_input_strings.c,16,1,{CLEAR 11};{CLEAR 26};{CLEAR 6},yes,pending_usage_to_window_mapping,pending,,ready_for_constraint_mapping
