ui_id,symbol,source_text,target_text_th,profile_id,renderer,route_or_designator,font_id,hard_width_px,window_height_px,max_lines,target_line_count,line_widths_px,max_expanded_width_px,remaining_px,source_tokens,test_expansion,thai_run_count,shaped_command_bytes,source_file,source_line,semantic_note,final_revision_status,translation_review_status,source_injection_status,shaper_result,width_result,rom_build_status,rom_sha256,visual_qa_status,qa_note
UI0072,gText_ChoosePokemon,Choose a POKéMON.,เลือกโปเกมอน,PM_PROMPT_STD_DEFAULT_NORMAL_168x16,DisplayPartyMenuStdMessage,PARTY_MSG_CHOOSE_MON,FONT_NORMAL,168,16,1,1,65,65,103,,เลือกโปเกมอน,1,88,src/strings.c,432,ข้อความให้เลือกโปเกมอนหนึ่งตัว,approved_from_review_v1,approved,pass,pass,pass,pass,9781d48c2f86d132f4c61155c946674a15b1222c1bc4973c7b9b7ac3c36fc9b1,proof_passed,Automated source/token/shaper/width checks passed; final normal ROM build passed. User-confirmed runtime gallery passed 14/14 pages and 49/49 prompts. Full-message first-glyph clipping at x=0 was corrected by the Party Menu PrintMessage x=1 renderer origin; V5 pages 08-14 confirmed the fix.
UI0073,gText_ChoosePokemon2,Choose a POKéMON.,เลือกโปเกมอน,PM_PROMPT_STD_DEFAULT_NORMAL_168x16,DisplayPartyMenuStdMessage,PARTY_MSG_CHOOSE_MON_2,FONT_NORMAL,168,16,1,1,65,65,103,,เลือกโปเกมอน,1,88,src/strings.c,446,ข้อความให้เลือกโปเกมอนในเส้นทางเมนูอีกชุด,approved_from_review_v1,approved,pass,pass,pass,pass,9781d48c2f86d132f4c61155c946674a15b1222c1bc4973c7b9b7ac3c36fc9b1,proof_passed,Automated source/token/shaper/width checks passed; final normal ROM build passed. User-confirmed runtime gallery passed 14/14 pages and 49/49 prompts. Full-message first-glyph clipping at x=0 was corrected by the Party Menu PrintMessage x=1 renderer origin; V5 pages 08-14 confirmed the fix.
UI0074,gText_ChoosePokemonCancel,Choose POKéMON or CANCEL.,เลือกโปเกมอนหรือยกเลิก,PM_PROMPT_STD_DEFAULT_NORMAL_168x16,DisplayPartyMenuStdMessage,PARTY_MSG_CHOOSE_MON_OR_CANCEL,FONT_NORMAL,168,16,1,1,112,112,56,,เลือกโปเกมอนหรือยกเลิก,1,152,src/strings.c,453,เลือกโปเกมอนหรือออกจากขั้นตอน,approved_from_review_v1,approved,pass,pass,pass,pass,9781d48c2f86d132f4c61155c946674a15b1222c1bc4973c7b9b7ac3c36fc9b1,proof_passed,Automated source/token/shaper/width checks passed; final normal ROM build passed. User-confirmed runtime gallery passed 14/14 pages and 49/49 prompts. Full-message first-glyph clipping at x=0 was corrected by the Party Menu PrintMessage x=1 renderer origin; V5 pages 08-14 confirmed the fix.
UI0075,gText_ChoosePokemonConfirm,Choose POKéMON and confirm.,เลือกโปเกมอนและยืนยัน,PM_PROMPT_STD_DEFAULT_NORMAL_168x16,DisplayPartyMenuStdMessage,PARTY_MSG_CHOOSE_MON_AND_CONFIRM,FONT_NORMAL,168,16,1,1,111,111,57,,เลือกโปเกมอนและยืนยัน,1,144,src/strings.c,454,เลือกโปเกมอนแล้วดำเนินการยืนยัน,approved_from_review_v1,approved,pass,pass,pass,pass,9781d48c2f86d132f4c61155c946674a15b1222c1bc4973c7b9b7ac3c36fc9b1,proof_passed,Automated source/token/shaper/width checks passed; final normal ROM build passed. User-confirmed runtime gallery passed 14/14 pages and 49/49 prompts. Full-message first-glyph clipping at x=0 was corrected by the Party Menu PrintMessage x=1 renderer origin; V5 pages 08-14 confirmed the fix.
UI0087,gText_CurrentIsTooFast,The current is much too fast!,กระแสน้ำเชี่ยวเกินไป!,PM_PROMPT_STD_DEFAULT_NORMAL_168x16,DisplayPartyMenuStdMessage,PARTY_MSG_CURRENT_TOO_FAST,FONT_NORMAL,168,16,1,1,97,97,71,,กระแสน้ำเชี่ยวเกินไป!,1,120,src/strings.c,451,ใช้เมื่อกระแสน้ำขัดขวางการเคลื่อนที่,approved_from_review_v1,approved,pass,pass,pass,pass,9781d48c2f86d132f4c61155c946674a15b1222c1bc4973c7b9b7ac3c36fc9b1,proof_passed,Automated source/token/shaper/width checks passed; final normal ROM build passed. User-confirmed runtime gallery passed 14/14 pages and 49/49 prompts. Full-message first-glyph clipping at x=0 was corrected by the Party Menu PrintMessage x=1 renderer origin; V5 pages 08-14 confirmed the fix.
UI0176,gText_DoWhatWithItem,Do what with an item?,จะทำอะไรกับไอเทม?,PM_PROMPT_STD_ITEM_NORMAL_160x16,DisplayPartyMenuStdMessage,PARTY_MSG_DO_WHAT_WITH_ITEM,FONT_NORMAL,160,16,1,1,93,93,67,,จะทำอะไรกับไอเทม?,1,112,src/strings.c,444,หัวข้อเมนูจัดการไอเทมที่ถืออยู่,approved_from_review_v1,approved,pass,pass,pass,pass,9781d48c2f86d132f4c61155c946674a15b1222c1bc4973c7b9b7ac3c36fc9b1,proof_passed,Automated source/token/shaper/width checks passed; final normal ROM build passed. User-confirmed runtime gallery passed 14/14 pages and 49/49 prompts. Full-message first-glyph clipping at x=0 was corrected by the Party Menu PrintMessage x=1 renderer origin; V5 pages 08-14 confirmed the fix.
UI0177,gText_DoWhatWithMail,Do what with the MAIL?,จะทำอะไรกับจดหมาย?,PM_PROMPT_STD_MAIL_NORMAL_144x16,DisplayPartyMenuStdMessage,PARTY_MSG_DO_WHAT_WITH_MAIL,FONT_NORMAL,144,16,1,1,100,100,44,,จะทำอะไรกับจดหมาย?,1,120,src/strings.c,452,หัวข้อเมนูจัดการจดหมายที่ถืออยู่,approved_from_review_v1,approved,pass,pass,pass,pass,9781d48c2f86d132f4c61155c946674a15b1222c1bc4973c7b9b7ac3c36fc9b1,proof_passed,Automated source/token/shaper/width checks passed; final normal ROM build passed. User-confirmed runtime gallery passed 14/14 pages and 49/49 prompts. Full-message first-glyph clipping at x=0 was corrected by the Party Menu PrintMessage x=1 renderer origin; V5 pages 08-14 confirmed the fix.
UI0178,gText_DoWhatWithPokemon,Do what with this {PKMN}?,จะทำอะไรกับ{PKMN}?,PM_PROMPT_STD_MON_NORMAL_128x16,DisplayPartyMenuStdMessage,PARTY_MSG_DO_WHAT_WITH_MON,FONT_NORMAL,128,16,1,1,79,79,49,{PKMN},จะทำอะไรกับ{PKMN}?,1,72,src/strings.c,437,เก็บโทเคน {PKMN} ซึ่งเป็นสัญลักษณ์คำว่า Pokémon ของเกม,approved_from_review_v1,approved,pass,pass,pass,pass,9781d48c2f86d132f4c61155c946674a15b1222c1bc4973c7b9b7ac3c36fc9b1,proof_passed,Automated source/token/shaper/width checks passed; final normal ROM build passed. User-confirmed runtime gallery passed 14/14 pages and 49/49 prompts. Full-message first-glyph clipping at x=0 was corrected by the Party Menu PrintMessage x=1 renderer origin; V5 pages 08-14 confirmed the fix.
UI0182,gText_EggCantBeTradedNow,An EGG can't be traded now.,ตอนนี้แลกเปลี่ยนไข่ไม่ได้,PM_PROMPT_FULL_MESSAGE_NORMAL_224x32,DisplayPartyMenuMessage -> PrintMessage,DisplayPartyMenuMessage / indirect full-message route,FONT_NORMAL,223,32,2,1,117,117,106,,ตอนนี้แลกเปลี่ยนไข่ไม่ได้,1,144,src/strings.c,485,ข้อจำกัดการแลกเปลี่ยนไข่,approved_from_review_v1,approved,pass,pass,pass,pass,9781d48c2f86d132f4c61155c946674a15b1222c1bc4973c7b9b7ac3c36fc9b1,proof_passed,Automated source/token/shaper/width checks passed; final normal ROM build passed. User-confirmed runtime gallery passed 14/14 pages and 49/49 prompts. Full-message first-glyph clipping at x=0 was corrected by the Party Menu PrintMessage x=1 renderer origin; V5 pages 08-14 confirmed the fix.
UI0191,gText_EnjoyCycling,Let's enjoy cycling!,ปั่นจักรยานกันเถอะ!,PM_PROMPT_STD_DEFAULT_NORMAL_168x16,DisplayPartyMenuStdMessage,PARTY_MSG_ENJOY_CYCLING,FONT_NORMAL,168,16,1,1,89,89,79,,ปั่นจักรยานกันเถอะ!,1,112,src/strings.c,455,ข้อความเมื่ออยู่ในสถานะปั่นจักรยาน,approved_from_review_v1,approved,pass,pass,pass,pass,9781d48c2f86d132f4c61155c946674a15b1222c1bc4973c7b9b7ac3c36fc9b1,proof_passed,Automated source/token/shaper/width checks passed; final normal ROM build passed. User-confirmed runtime gallery passed 14/14 pages and 49/49 prompts. Full-message first-glyph clipping at x=0 was corrected by the Party Menu PrintMessage x=1 renderer origin; V5 pages 08-14 confirmed the fix.
UI0193,gText_EscapeFromHere,"Want to escape from here and return
to {STR_VAR_1}?","จะหนีจากที่นี่แล้วกลับ
ไปยัง {STR_VAR_1}?",PM_PROMPT_FULL_MESSAGE_NORMAL_224x32,DisplayPartyMenuMessage -> PrintMessage,DisplayPartyMenuMessage / indirect full-message route,FONT_NORMAL,223,32,2,2,95;140,140,83,{STR_VAR_1},"จะหนีจากที่นี่แล้วกลับ
ไปยัง WWWWWWWWWWWWWWWWWW?",2,152,src/strings.c,476,ใช้กับ DIG โดย STR_VAR_1 คือชื่อสถานที่ปลายทาง,approved_from_review_v1,approved,pass,pass,pass,pass,9781d48c2f86d132f4c61155c946674a15b1222c1bc4973c7b9b7ac3c36fc9b1,proof_passed,Automated source/token/shaper/width checks passed; final normal ROM build passed. User-confirmed runtime gallery passed 14/14 pages and 49/49 prompts. Full-message first-glyph clipping at x=0 was corrected by the Party Menu PrintMessage x=1 renderer origin; V5 pages 08-14 confirmed the fix.
UI0215,gText_GiveToWhichPokemon,Give to which POKéMON?,จะให้โปเกมอนตัวไหน?,PM_PROMPT_STD_DEFAULT_NORMAL_168x16,DisplayPartyMenuStdMessage,PARTY_MSG_GIVE_TO_WHICH_MON,FONT_NORMAL,168,16,1,1,107,107,61,,จะให้โปเกมอนตัวไหน?,1,128,src/strings.c,436,เลือกโปเกมอนที่จะรับไอเทม,approved_from_review_v1,approved,pass,pass,pass,pass,9781d48c2f86d132f4c61155c946674a15b1222c1bc4973c7b9b7ac3c36fc9b1,proof_passed,Automated source/token/shaper/width checks passed; final normal ROM build passed. User-confirmed runtime gallery passed 14/14 pages and 49/49 prompts. Full-message first-glyph clipping at x=0 was corrected by the Party Menu PrintMessage x=1 renderer origin; V5 pages 08-14 confirmed the fix.
UI0232,gText_InUseAlready_PM,This is in use already.,กำลังใช้อยู่แล้ว,PM_PROMPT_STD_DEFAULT_NORMAL_168x16,DisplayPartyMenuStdMessage,PARTY_MSG_ALREADY_IN_USE,FONT_NORMAL,168,16,1,1,63,63,105,,กำลังใช้อยู่แล้ว,1,80,src/strings.c,456,คำสั่งหรือไอเทมดังกล่าวกำลังถูกใช้งานอยู่,approved_from_review_v1,approved,pass,pass,pass,pass,9781d48c2f86d132f4c61155c946674a15b1222c1bc4973c7b9b7ac3c36fc9b1,proof_passed,Automated source/token/shaper/width checks passed; final normal ROM build passed. User-confirmed runtime gallery passed 14/14 pages and 49/49 prompts. Full-message first-glyph clipping at x=0 was corrected by the Party Menu PrintMessage x=1 renderer origin; V5 pages 08-14 confirmed the fix.
UI0252,gText_MailMessageWillBeLost,"If the MAIL is removed, the
message will be lost. Okay?","ถ้าเอาจดหมายออก
ข้อความจะหาย ตกลง?",PM_PROMPT_FULL_MESSAGE_NORMAL_224x32,DisplayPartyMenuMessage -> PrintMessage,DisplayPartyMenuMessage / indirect full-message route,FONT_NORMAL,223,32,2,2,79;96,96,127,,"ถ้าเอาจดหมายออก
ข้อความจะหาย ตกลง?",3,232,src/strings.c,393,เตือนว่าข้อความในจดหมายจะหายเมื่อเอาออก,approved_from_review_v1,approved,pass,pass,pass,pass,9781d48c2f86d132f4c61155c946674a15b1222c1bc4973c7b9b7ac3c36fc9b1,proof_passed,Automated source/token/shaper/width checks passed; final normal ROM build passed. User-confirmed runtime gallery passed 14/14 pages and 49/49 prompts. Full-message first-glyph clipping at x=0 was corrected by the Party Menu PrintMessage x=1 renderer origin; V5 pages 08-14 confirmed the fix.
UI0294,gText_MoveToWhere,Move to where?,ย้ายไปตรงไหน?,PM_PROMPT_STD_DEFAULT_NORMAL_168x16,DisplayPartyMenuStdMessage,PARTY_MSG_MOVE_TO_WHERE,FONT_NORMAL,168,16,1,1,72,72,96,,ย้ายไปตรงไหน?,1,88,src/strings.c,433,เลือกตำแหน่งปลายทางในทีม,approved_from_review_v1,approved,pass,pass,pass,pass,9781d48c2f86d132f4c61155c946674a15b1222c1bc4973c7b9b7ac3c36fc9b1,proof_passed,Automated source/token/shaper/width checks passed; final normal ROM build passed. User-confirmed runtime gallery passed 14/14 pages and 49/49 prompts. Full-message first-glyph clipping at x=0 was corrected by the Party Menu PrintMessage x=1 renderer origin; V5 pages 08-14 confirmed the fix.
UI0313,gText_NoIdenticalHoldItems,No identical hold items.,ห้ามถือไอเทมซ้ำกัน,PM_PROMPT_STD_DEFAULT_NORMAL_168x16,DisplayPartyMenuStdMessage,PARTY_MSG_NO_SAME_HOLD_ITEMS,FONT_NORMAL,168,16,1,1,85,85,83,,ห้ามถือไอเทมซ้ำกัน,1,104,src/strings.c,450,ข้อกำหนดว่าโปเกมอนในทีมต้องถือไอเทมต่างกัน,approved_from_review_v1,approved,pass,pass,pass,pass,9781d48c2f86d132f4c61155c946674a15b1222c1bc4973c7b9b7ac3c36fc9b1,proof_passed,Automated source/token/shaper/width checks passed; final normal ROM build passed. User-confirmed runtime gallery passed 14/14 pages and 49/49 prompts. Full-message first-glyph clipping at x=0 was corrected by the Party Menu PrintMessage x=1 renderer origin; V5 pages 08-14 confirmed the fix.
UI0320,gText_NoPokemonForBattle,No POKéMON for battle!,ไม่มีโปเกมอนสำหรับต่อสู้!,PM_PROMPT_STD_DEFAULT_NORMAL_168x16,DisplayPartyMenuStdMessage,PARTY_MSG_NO_MON_FOR_BATTLE,FONT_NORMAL,168,16,1,1,115,115,53,,ไม่มีโปเกมอนสำหรับต่อสู้!,1,136,src/strings.c,445,ไม่เหลือโปเกมอนที่ใช้เข้าสู่การต่อสู้ได้,approved_from_review_v1,approved,pass,pass,pass,pass,9781d48c2f86d132f4c61155c946674a15b1222c1bc4973c7b9b7ac3c36fc9b1,proof_passed,Automated source/token/shaper/width checks passed; final normal ROM build passed. User-confirmed runtime gallery passed 14/14 pages and 49/49 prompts. Full-message first-glyph clipping at x=0 was corrected by the Party Menu PrintMessage x=1 renderer origin; V5 pages 08-14 confirmed the fix.
UI0323,gText_NoUse,No use.,ใช้ไม่ได้,PM_PROMPT_DESC_NORMAL_64x16,DisplayPartyPokemonDescriptionText,sDescriptionStringTable,FONT_NORMAL,64,16,1,1,38,38,26,,ใช้ไม่ได้,1,48,src/strings.c,458,ไอเทมหรือ Evolution Stone ใช้กับโปเกมอนนี้ไม่ได้,approved_from_review_v1,approved,pass,pass,pass,pass,9781d48c2f86d132f4c61155c946674a15b1222c1bc4973c7b9b7ac3c36fc9b1,proof_passed,Automated source/token/shaper/width checks passed; final normal ROM build passed. User-confirmed runtime gallery passed 14/14 pages and 49/49 prompts. Full-message first-glyph clipping at x=0 was corrected by the Party Menu PrintMessage x=1 renderer origin; V5 pages 08-14 confirmed the fix.
UI0326,gText_NotAble2,NOT ABLE!,เรียนรู้ไม่ได้!,PM_PROMPT_DESC_NORMAL_64x16,DisplayPartyPokemonDescriptionText,sDescriptionStringTable,FONT_NORMAL,64,16,1,1,59,59,5,,เรียนรู้ไม่ได้!,1,72,src/strings.c,466,"สถานะว่าโปเกมอนไม่สามารถเรียนท่าจาก TM/HM, Move Tutor หรือ Move Relearner ได้",approved_from_review_v1,approved,pass,pass,pass,pass,9781d48c2f86d132f4c61155c946674a15b1222c1bc4973c7b9b7ac3c36fc9b1,proof_passed,Automated source/token/shaper/width checks passed; final normal ROM build passed. User-confirmed runtime gallery passed 14/14 pages and 49/49 prompts. Full-message first-glyph clipping at x=0 was corrected by the Party Menu PrintMessage x=1 renderer origin; V5 pages 08-14 confirmed the fix.
UI0327,gText_NotEnoughHp,Not enough HP…,HP ไม่เพียงพอ…,PM_PROMPT_STD_DEFAULT_NORMAL_168x16,DisplayPartyMenuStdMessage,PARTY_MSG_NOT_ENOUGH_HP,FONT_NORMAL,168,16,1,1,70,70,98,,HP ไม่เพียงพอ…,1,64,src/strings.c,447,HP ไม่พอสำหรับใช้ท่าหรือคำสั่งดังกล่าว,approved_from_review_v1,approved,pass,pass,pass,pass,9781d48c2f86d132f4c61155c946674a15b1222c1bc4973c7b9b7ac3c36fc9b1,proof_passed,Automated source/token/shaper/width checks passed; final normal ROM build passed. User-confirmed runtime gallery passed 14/14 pages and 49/49 prompts. Full-message first-glyph clipping at x=0 was corrected by the Party Menu PrintMessage x=1 renderer origin; V5 pages 08-14 confirmed the fix.
UI0328,gText_NotPkmnOtherTrainerWants,"That isn't the type of POKéMON
that the other TRAINER wants.","โปเกมอนนี้ไม่ตรงกับ
ที่เทรนเนอร์อีกฝ่ายต้องการ",PM_PROMPT_FULL_MESSAGE_NORMAL_224x32,DisplayPartyMenuMessage -> PrintMessage,DisplayPartyMenuMessage / indirect full-message route,FONT_NORMAL,223,32,2,2,93;114,114,109,,"โปเกมอนนี้ไม่ตรงกับ
ที่เทรนเนอร์อีกฝ่ายต้องการ",2,280,src/strings.c,493,โปเกมอนไม่ตรงเงื่อนไขที่คู่แลกเปลี่ยนระบุ,approved_from_review_v1,approved,pass,pass,pass,pass,9781d48c2f86d132f4c61155c946674a15b1222c1bc4973c7b9b7ac3c36fc9b1,proof_passed,Automated source/token/shaper/width checks passed; final normal ROM build passed. User-confirmed runtime gallery passed 14/14 pages and 49/49 prompts. Full-message first-glyph clipping at x=0 was corrected by the Party Menu PrintMessage x=1 renderer origin; V5 pages 08-14 confirmed the fix.
UI0329,gText_NothingToCut,There's nothing to CUT.,ไม่มีอะไรให้ใช้ CUT,PM_PROMPT_STD_DEFAULT_NORMAL_168x16,DisplayPartyMenuStdMessage,PARTY_MSG_NOTHING_TO_CUT,FONT_NORMAL,168,16,1,1,88,88,80,,ไม่มีอะไรให้ใช้ CUT,1,88,src/strings.c,438,คงชื่อท่า CUT เป็นภาษาอังกฤษตามนโยบายชื่อท่า,approved_from_review_v1,approved,pass,pass,pass,pass,9781d48c2f86d132f4c61155c946674a15b1222c1bc4973c7b9b7ac3c36fc9b1,proof_passed,Automated source/token/shaper/width checks passed; final normal ROM build passed. User-confirmed runtime gallery passed 14/14 pages and 49/49 prompts. Full-message first-glyph clipping at x=0 was corrected by the Party Menu PrintMessage x=1 renderer origin; V5 pages 08-14 confirmed the fix.
