symbol,source_line,source_text_en,target_text_th,old_definition,encoded_definition,definition_status,final_revision_status
gText_ChoosePokemon,432,Choose a POKéMON.,เลือกโปเกมอน,"const u8 gText_ChoosePokemon[] = _(""Choose a POKéMON."");","const u8 gText_ChoosePokemon[] = _(""{252}{25}{3}{0}{0}{244}{4}{1}{252}{25}{22}{1}{0}{244}{6}{1}{252}{25}{48}{0}{0}{244}{6}{1}{252}{25}{8}{0}{0}{244}{6}{1}{252}{25}{0}{0}{0}{244}{5}{1}{252}{25}{32}{0}{0}{244}{7}{1}{252}{25}{3}{0}{0}{244}{4}{1}{252}{25}{8}{0}{0}{244}{6}{1}{252}{25}{38}{0}{0}{244}{7}{1}{252}{25}{48}{0}{0}{244}{6}{1}{252}{25}{30}{0}{0}{244}{8}{1}"");",matched_and_replaced,approved_from_review_v1
gText_ChoosePokemon2,446,Choose a POKéMON.,เลือกโปเกมอน,"const u8 gText_ChoosePokemon2[] = _(""Choose a POKéMON."");","const u8 gText_ChoosePokemon2[] = _(""{252}{25}{3}{0}{0}{244}{4}{1}{252}{25}{22}{1}{0}{244}{6}{1}{252}{25}{48}{0}{0}{244}{6}{1}{252}{25}{8}{0}{0}{244}{6}{1}{252}{25}{0}{0}{0}{244}{5}{1}{252}{25}{32}{0}{0}{244}{7}{1}{252}{25}{3}{0}{0}{244}{4}{1}{252}{25}{8}{0}{0}{244}{6}{1}{252}{25}{38}{0}{0}{244}{7}{1}{252}{25}{48}{0}{0}{244}{6}{1}{252}{25}{30}{0}{0}{244}{8}{1}"");",matched_and_replaced,approved_from_review_v1
gText_ChoosePokemonCancel,453,Choose POKéMON or CANCEL.,เลือกโปเกมอนหรือยกเลิก,"const u8 gText_ChoosePokemonCancel[] = _(""Choose POKéMON or CANCEL."");","const u8 gText_ChoosePokemonCancel[] = _(""{252}{25}{3}{0}{0}{244}{4}{1}{252}{25}{22}{1}{0}{244}{6}{1}{252}{25}{48}{0}{0}{244}{6}{1}{252}{25}{8}{0}{0}{244}{6}{1}{252}{25}{0}{0}{0}{244}{5}{1}{252}{25}{32}{0}{0}{244}{7}{1}{252}{25}{3}{0}{0}{244}{4}{1}{252}{25}{8}{0}{0}{244}{6}{1}{252}{25}{38}{0}{0}{244}{7}{1}{252}{25}{48}{0}{0}{244}{6}{1}{252}{25}{30}{0}{0}{244}{8}{1}{252}{25}{46}{0}{0}{244}{7}{1}{252}{25}{21}{1}{0}{244}{6}{1}{252}{25}{48}{0}{0}{244}{6}{1}{252}{25}{39}{0}{0}{244}{6}{1}{252}{25}{8}{0}{0}{244}{6}{1}{252}{25}{3}{0}{0}{244}{4}{1}{252}{25}{79}{0}{0}{244}{6}{1}{252}{25}{8}{0}{0}{244}{6}{1}"");",matched_and_replaced,approved_from_review_v1
gText_ChoosePokemonConfirm,454,Choose POKéMON and confirm.,เลือกโปเกมอนและยืนยัน,"const u8 gText_ChoosePokemonConfirm[] = _(""Choose POKéMON and confirm."");","const u8 gText_ChoosePokemonConfirm[] = _(""{252}{25}{3}{0}{0}{244}{4}{1}{252}{25}{22}{1}{0}{244}{6}{1}{252}{25}{48}{0}{0}{244}{6}{1}{252}{25}{8}{0}{0}{244}{6}{1}{252}{25}{0}{0}{0}{244}{5}{1}{252}{25}{32}{0}{0}{244}{7}{1}{252}{25}{3}{0}{0}{244}{4}{1}{252}{25}{8}{0}{0}{244}{6}{1}{252}{25}{38}{0}{0}{244}{7}{1}{252}{25}{48}{0}{0}{244}{6}{1}{252}{25}{30}{0}{0}{244}{8}{1}{252}{25}{2}{0}{0}{244}{7}{1}{252}{25}{41}{0}{0}{244}{6}{1}{252}{25}{7}{0}{0}{244}{5}{1}{252}{25}{20}{1}{0}{244}{6}{1}{252}{25}{30}{0}{0}{244}{8}{1}{252}{25}{45}{2}{0}{244}{6}{1}{252}{25}{30}{0}{0}{244}{8}{1}"");",matched_and_replaced,approved_from_review_v1
gText_CurrentIsTooFast,451,The current is much too fast!,กระแสน้ำเชี่ยวเกินไป!,"const u8 gText_CurrentIsTooFast[] = _(""The current is much too fast!"");","const u8 gText_CurrentIsTooFast[] = _(""{252}{25}{8}{0}{0}{244}{6}{1}{252}{25}{40}{0}{0}{244}{5}{1}{252}{25}{7}{0}{0}{244}{5}{1}{252}{25}{2}{0}{0}{244}{7}{1}{252}{25}{45}{0}{0}{244}{6}{1}{252}{25}{97}{2}{0}{244}{11}{1}{252}{25}{3}{0}{0}{244}{4}{1}{252}{25}{149}{0}{0}{244}{6}{1}{252}{25}{39}{0}{0}{244}{6}{1}{252}{25}{42}{0}{0}{244}{6}{1}{252}{25}{3}{0}{0}{244}{4}{1}{252}{25}{50}{0}{0}{244}{6}{1}{252}{25}{30}{0}{0}{244}{8}{1}{252}{25}{5}{0}{0}{244}{6}{1}{252}{25}{32}{0}{0}{244}{7}{1}!"");",matched_and_replaced,approved_from_review_v1
gText_DoWhatWithItem,444,Do what with an item?,จะทำอะไรกับไอเทม?,"const u8 gText_DoWhatWithItem[] = _(""Do what with an item?"");","const u8 gText_DoWhatWithItem[] = _(""{252}{25}{13}{0}{0}{244}{6}{1}{252}{25}{7}{0}{0}{244}{5}{1}{252}{25}{117}{1}{0}{244}{11}{1}{252}{25}{48}{0}{0}{244}{6}{1}{252}{25}{7}{0}{0}{244}{5}{1}{252}{25}{5}{0}{0}{244}{6}{1}{252}{25}{40}{0}{0}{244}{5}{1}{252}{25}{24}{2}{0}{244}{6}{1}{252}{25}{31}{0}{0}{244}{7}{1}{252}{25}{5}{0}{0}{244}{6}{1}{252}{25}{48}{0}{0}{244}{6}{1}{252}{25}{3}{0}{0}{244}{4}{1}{252}{25}{28}{0}{0}{244}{7}{1}{252}{25}{38}{0}{0}{244}{7}{1}?"");",matched_and_replaced,approved_from_review_v1
gText_DoWhatWithMail,452,Do what with the MAIL?,จะทำอะไรกับจดหมาย?,"const u8 gText_DoWhatWithMail[] = _(""Do what with the MAIL?"");","const u8 gText_DoWhatWithMail[] = _(""{252}{25}{13}{0}{0}{244}{6}{1}{252}{25}{7}{0}{0}{244}{5}{1}{252}{25}{117}{1}{0}{244}{11}{1}{252}{25}{48}{0}{0}{244}{6}{1}{252}{25}{7}{0}{0}{244}{5}{1}{252}{25}{5}{0}{0}{244}{6}{1}{252}{25}{40}{0}{0}{244}{5}{1}{252}{25}{24}{2}{0}{244}{6}{1}{252}{25}{31}{0}{0}{244}{7}{1}{252}{25}{13}{0}{0}{244}{6}{1}{252}{25}{25}{0}{0}{244}{7}{1}{252}{25}{46}{0}{0}{244}{7}{1}{252}{25}{38}{0}{0}{244}{7}{1}{252}{25}{6}{0}{0}{244}{4}{1}{252}{25}{39}{0}{0}{244}{6}{1}?"");",matched_and_replaced,approved_from_review_v1
gText_DoWhatWithPokemon,437,Do what with this {PKMN}?,จะทำอะไรกับ{PKMN}?,"const u8 gText_DoWhatWithPokemon[] = _(""Do what with this {PKMN}?"");","const u8 gText_DoWhatWithPokemon[] = _(""{252}{25}{13}{0}{0}{244}{6}{1}{252}{25}{7}{0}{0}{244}{5}{1}{252}{25}{117}{1}{0}{244}{11}{1}{252}{25}{48}{0}{0}{244}{6}{1}{252}{25}{7}{0}{0}{244}{5}{1}{252}{25}{5}{0}{0}{244}{6}{1}{252}{25}{40}{0}{0}{244}{5}{1}{252}{25}{24}{2}{0}{244}{6}{1}{252}{25}{31}{0}{0}{244}{7}{1}{PKMN}?"");",matched_and_replaced,approved_from_review_v1
gText_EggCantBeTradedNow,485,An EGG can't be traded now.,ตอนนี้แลกเปลี่ยนไข่ไม่ได้,"const u8 gText_EggCantBeTradedNow[] = _(""An EGG can't be traded now."");","const u8 gText_EggCantBeTradedNow[] = _(""{252}{25}{26}{0}{0}{244}{7}{1}{252}{25}{48}{0}{0}{244}{6}{1}{252}{25}{30}{0}{0}{244}{8}{1}{252}{25}{178}{0}{0}{244}{8}{1}{252}{25}{2}{0}{0}{244}{7}{1}{252}{25}{41}{0}{0}{244}{6}{1}{252}{25}{8}{0}{0}{244}{6}{1}{252}{25}{3}{0}{0}{244}{4}{1}{252}{25}{32}{0}{0}{244}{7}{1}{252}{25}{165}{0}{0}{244}{6}{1}{252}{25}{39}{0}{0}{244}{6}{1}{252}{25}{30}{0}{0}{244}{8}{1}{252}{25}{5}{0}{0}{244}{6}{1}{252}{25}{56}{1}{0}{244}{6}{1}{252}{25}{5}{0}{0}{244}{6}{1}{252}{25}{76}{1}{0}{244}{7}{1}{252}{25}{5}{0}{0}{244}{6}{1}{252}{25}{92}{1}{0}{244}{7}{1}"");",matched_and_replaced,approved_from_review_v1
gText_EnjoyCycling,455,Let's enjoy cycling!,ปั่นจักรยานกันเถอะ!,"const u8 gText_EnjoyCycling[] = _(""Let's enjoy cycling!"");","const u8 gText_EnjoyCycling[] = _(""{252}{25}{67}{2}{0}{244}{7}{1}{252}{25}{30}{0}{0}{244}{8}{1}{252}{25}{28}{2}{0}{244}{6}{1}{252}{25}{8}{0}{0}{244}{6}{1}{252}{25}{40}{0}{0}{244}{5}{1}{252}{25}{39}{0}{0}{244}{6}{1}{252}{25}{6}{0}{0}{244}{4}{1}{252}{25}{30}{0}{0}{244}{8}{1}{252}{25}{24}{2}{0}{244}{6}{1}{252}{25}{30}{0}{0}{244}{8}{1}{252}{25}{3}{0}{0}{244}{4}{1}{252}{25}{27}{0}{0}{244}{6}{1}{252}{25}{48}{0}{0}{244}{6}{1}{252}{25}{7}{0}{0}{244}{5}{1}!"");",matched_and_replaced,approved_from_review_v1
gText_EscapeFromHere,476,"Want to escape from here and return
to {STR_VAR_1}?","จะหนีจากที่นี่แล้วกลับ
ไปยัง {STR_VAR_1}?","const u8 gText_EscapeFromHere[] = _(""Want to escape from here and return\nto {STR_VAR_1}?"");","const u8 gText_EscapeFromHere[] = _(""{252}{25}{13}{0}{0}{244}{6}{1}{252}{25}{7}{0}{0}{244}{5}{1}{252}{25}{46}{0}{0}{244}{7}{1}{252}{25}{127}{0}{0}{244}{8}{1}{252}{25}{13}{0}{0}{244}{6}{1}{252}{25}{6}{0}{0}{244}{4}{1}{252}{25}{8}{0}{0}{244}{6}{1}{252}{25}{154}{0}{0}{244}{7}{1}{252}{25}{155}{0}{0}{244}{8}{1}{252}{25}{2}{0}{0}{244}{7}{1}{252}{25}{106}{1}{0}{244}{6}{1}{252}{25}{42}{0}{0}{244}{6}{1}{252}{25}{8}{0}{0}{244}{6}{1}{252}{25}{47}{2}{0}{244}{6}{1}{252}{25}{31}{0}{0}{244}{7}{1}\n{252}{25}{5}{0}{0}{244}{6}{1}{252}{25}{32}{0}{0}{244}{7}{1}{252}{25}{45}{2}{0}{244}{6}{1}{252}{25}{12}{0}{0}{244}{4}{1} {STR_VAR_1}?"");",matched_and_replaced,approved_from_review_v1
gText_GiveToWhichPokemon,436,Give to which POKéMON?,จะให้โปเกมอนตัวไหน?,"const u8 gText_GiveToWhichPokemon[] = _(""Give to which POKéMON?"");","const u8 gText_GiveToWhichPokemon[] = _(""{252}{25}{13}{0}{0}{244}{6}{1}{252}{25}{7}{0}{0}{244}{5}{1}{252}{25}{4}{0}{0}{244}{6}{1}{252}{25}{109}{1}{0}{244}{7}{1}{252}{25}{0}{0}{0}{244}{5}{1}{252}{25}{32}{0}{0}{244}{7}{1}{252}{25}{3}{0}{0}{244}{4}{1}{252}{25}{8}{0}{0}{244}{6}{1}{252}{25}{38}{0}{0}{244}{7}{1}{252}{25}{48}{0}{0}{244}{6}{1}{252}{25}{30}{0}{0}{244}{8}{1}{252}{25}{33}{2}{0}{244}{7}{1}{252}{25}{42}{0}{0}{244}{6}{1}{252}{25}{5}{0}{0}{244}{6}{1}{252}{25}{46}{0}{0}{244}{7}{1}{252}{25}{30}{0}{0}{244}{8}{1}?"");",matched_and_replaced,approved_from_review_v1
gText_InUseAlready_PM,456,This is in use already.,กำลังใช้อยู่แล้ว,"const u8 gText_InUseAlready_PM[] = _(""This is in use already."");","const u8 gText_InUseAlready_PM[] = _(""{252}{25}{111}{1}{0}{244}{10}{1}{252}{25}{47}{2}{0}{244}{6}{1}{252}{25}{12}{0}{0}{244}{4}{1}{252}{25}{4}{0}{0}{244}{6}{1}{252}{25}{90}{1}{0}{244}{6}{1}{252}{25}{48}{0}{0}{244}{6}{1}{252}{25}{248}{1}{0}{244}{6}{1}{252}{25}{2}{0}{0}{244}{7}{1}{252}{25}{106}{1}{0}{244}{6}{1}{252}{25}{42}{0}{0}{244}{6}{1}"");",matched_and_replaced,approved_from_review_v1
gText_MailMessageWillBeLost,393,"If the MAIL is removed, the
message will be lost. Okay?","ถ้าเอาจดหมายออก
ข้อความจะหาย ตกลง?","const u8 gText_MailMessageWillBeLost[] = _(""If the MAIL is removed, the\nmessage will be lost. Okay?"");","const u8 gText_MailMessageWillBeLost[] = _(""{252}{25}{94}{1}{0}{244}{6}{1}{252}{25}{6}{0}{0}{244}{4}{1}{252}{25}{3}{0}{0}{244}{4}{1}{252}{25}{48}{0}{0}{244}{6}{1}{252}{25}{6}{0}{0}{244}{4}{1}{252}{25}{13}{0}{0}{244}{6}{1}{252}{25}{25}{0}{0}{244}{7}{1}{252}{25}{46}{0}{0}{244}{7}{1}{252}{25}{38}{0}{0}{244}{7}{1}{252}{25}{6}{0}{0}{244}{4}{1}{252}{25}{39}{0}{0}{244}{6}{1}{252}{25}{48}{0}{0}{244}{6}{1}{252}{25}{48}{0}{0}{244}{6}{1}{252}{25}{8}{0}{0}{244}{6}{1}\n{252}{25}{85}{1}{0}{244}{6}{1}{252}{25}{48}{0}{0}{244}{6}{1}{252}{25}{10}{0}{0}{244}{7}{1}{252}{25}{42}{0}{0}{244}{6}{1}{252}{25}{6}{0}{0}{244}{4}{1}{252}{25}{38}{0}{0}{244}{7}{1}{252}{25}{13}{0}{0}{244}{6}{1}{252}{25}{7}{0}{0}{244}{5}{1}{252}{25}{46}{0}{0}{244}{7}{1}{252}{25}{6}{0}{0}{244}{4}{1}{252}{25}{39}{0}{0}{244}{6}{1} {252}{25}{26}{0}{0}{244}{7}{1}{252}{25}{8}{0}{0}{244}{6}{1}{252}{25}{41}{0}{0}{244}{6}{1}{252}{25}{12}{0}{0}{244}{4}{1}?"");",matched_and_replaced,approved_from_review_v1
gText_MoveToWhere,433,Move to where?,ย้ายไปตรงไหน?,"const u8 gText_MoveToWhere[] = _(""Move to where?"");","const u8 gText_MoveToWhere[] = _(""{252}{25}{104}{1}{0}{244}{6}{1}{252}{25}{6}{0}{0}{244}{4}{1}{252}{25}{39}{0}{0}{244}{6}{1}{252}{25}{5}{0}{0}{244}{6}{1}{252}{25}{32}{0}{0}{244}{7}{1}{252}{25}{26}{0}{0}{244}{7}{1}{252}{25}{40}{0}{0}{244}{5}{1}{252}{25}{12}{0}{0}{244}{4}{1}{252}{25}{5}{0}{0}{244}{6}{1}{252}{25}{46}{0}{0}{244}{7}{1}{252}{25}{30}{0}{0}{244}{8}{1}?"");",matched_and_replaced,approved_from_review_v1
gText_NoIdenticalHoldItems,450,No identical hold items.,ห้ามถือไอเทมซ้ำกัน,"const u8 gText_NoIdenticalHoldItems[] = _(""No identical hold items."");","const u8 gText_NoIdenticalHoldItems[] = _(""{252}{25}{109}{1}{0}{244}{7}{1}{252}{25}{6}{0}{0}{244}{4}{1}{252}{25}{38}{0}{0}{244}{7}{1}{252}{25}{10}{1}{0}{244}{6}{1}{252}{25}{48}{0}{0}{244}{6}{1}{252}{25}{5}{0}{0}{244}{6}{1}{252}{25}{48}{0}{0}{244}{6}{1}{252}{25}{3}{0}{0}{244}{4}{1}{252}{25}{28}{0}{0}{244}{7}{1}{252}{25}{38}{0}{0}{244}{7}{1}{252}{25}{139}{1}{0}{244}{11}{1}{252}{25}{24}{2}{0}{244}{6}{1}{252}{25}{30}{0}{0}{244}{8}{1}"");",matched_and_replaced,approved_from_review_v1
gText_NoPokemonForBattle,445,No POKéMON for battle!,ไม่มีโปเกมอนสำหรับต่อสู้!,"const u8 gText_NoPokemonForBattle[] = _(""No POKéMON for battle!"");","const u8 gText_NoPokemonForBattle[] = _(""{252}{25}{5}{0}{0}{244}{6}{1}{252}{25}{76}{1}{0}{244}{7}{1}{252}{25}{134}{0}{0}{244}{7}{1}{252}{25}{0}{0}{0}{244}{5}{1}{252}{25}{32}{0}{0}{244}{7}{1}{252}{25}{3}{0}{0}{244}{4}{1}{252}{25}{8}{0}{0}{244}{6}{1}{252}{25}{38}{0}{0}{244}{7}{1}{252}{25}{48}{0}{0}{244}{6}{1}{252}{25}{30}{0}{0}{244}{8}{1}{252}{25}{101}{2}{0}{244}{10}{1}{252}{25}{46}{0}{0}{244}{7}{1}{252}{25}{46}{2}{0}{244}{5}{1}{252}{25}{31}{0}{0}{244}{7}{1}{252}{25}{66}{1}{0}{244}{7}{1}{252}{25}{48}{0}{0}{244}{6}{1}{252}{25}{142}{2}{0}{244}{6}{1}!"");",matched_and_replaced,approved_from_review_v1
gText_NoUse,458,No use.,ใช้ไม่ได้,"const u8 gText_NoUse[] = _(""No use."");","const u8 gText_NoUse[] = _(""{252}{25}{4}{0}{0}{244}{6}{1}{252}{25}{90}{1}{0}{244}{6}{1}{252}{25}{5}{0}{0}{244}{6}{1}{252}{25}{76}{1}{0}{244}{7}{1}{252}{25}{5}{0}{0}{244}{6}{1}{252}{25}{92}{1}{0}{244}{7}{1}"");",matched_and_replaced,approved_from_review_v1
gText_NotAble2,466,NOT ABLE!,เรียนรู้ไม่ได้!,"const u8 gText_NotAble2[] = _(""NOT ABLE!"");","const u8 gText_NotAble2[] = _(""{252}{25}{3}{0}{0}{244}{4}{1}{252}{25}{136}{0}{0}{244}{6}{1}{252}{25}{39}{0}{0}{244}{6}{1}{252}{25}{30}{0}{0}{244}{8}{1}{252}{25}{144}{2}{0}{244}{5}{1}{252}{25}{5}{0}{0}{244}{6}{1}{252}{25}{76}{1}{0}{244}{7}{1}{252}{25}{5}{0}{0}{244}{6}{1}{252}{25}{92}{1}{0}{244}{7}{1}!"");",matched_and_replaced,approved_from_review_v1
gText_NotEnoughHp,447,Not enough HP…,HP ไม่เพียงพอ…,"const u8 gText_NotEnoughHp[] = _(""Not enough HP…"");","const u8 gText_NotEnoughHp[] = _(""HP {252}{25}{5}{0}{0}{244}{6}{1}{252}{25}{76}{1}{0}{244}{7}{1}{252}{25}{3}{0}{0}{244}{4}{1}{252}{25}{132}{0}{0}{244}{8}{1}{252}{25}{39}{0}{0}{244}{6}{1}{252}{25}{12}{0}{0}{244}{4}{1}{252}{25}{35}{0}{0}{244}{8}{1}{252}{25}{48}{0}{0}{244}{6}{1}…"");",matched_and_replaced,approved_from_review_v1
