page,page_title,slot,row_code,symbol,target_text_th,profile_id,effective_width_px,window_height_px,evidence_round,rendering_result,visual_qa_status,evidence_note
3,B2B 03/14 S06-S10,3,S08,gText_CurrentIsTooFast,กระแสน้ำเชี่ยวเกินไป!,PM_PROMPT_STD_DEFAULT_NORMAL_168x16,168,16,V3 pages 01-07,pass,proof_passed,"User-confirmed screenshot, V3 pages 01-07, page 3/14 row S08. Thai text, vowels, tone marks, punctuation, line breaks, and dynamic test values rendered completely; no clipping, overflow, broken glyphs, or overlap."
3,B2B 03/14 S06-S10,4,S09,gText_EnjoyCycling,ปั่นจักรยานกันเถอะ!,PM_PROMPT_STD_DEFAULT_NORMAL_168x16,168,16,V3 pages 01-07,pass,proof_passed,"User-confirmed screenshot, V3 pages 01-07, page 3/14 row S09. Thai text, vowels, tone marks, punctuation, line breaks, and dynamic test values rendered completely; no clipping, overflow, broken glyphs, or overlap."
3,B2B 03/14 S06-S10,5,S10,gText_GiveToWhichPokemon,จะให้โปเกมอนตัวไหน?,PM_PROMPT_STD_DEFAULT_NORMAL_168x16,168,16,V3 pages 01-07,pass,proof_passed,"User-confirmed screenshot, V3 pages 01-07, page 3/14 row S10. Thai text, vowels, tone marks, punctuation, line breaks, and dynamic test values rendered completely; no clipping, overflow, broken glyphs, or overlap."
4,B2B 04/14 S11-S15,1,S11,gText_InUseAlready_PM,กำลังใช้อยู่แล้ว,PM_PROMPT_STD_DEFAULT_NORMAL_168x16,168,16,V3 pages 01-07,pass,proof_passed,"User-confirmed screenshot, V3 pages 01-07, page 4/14 row S11. Thai text, vowels, tone marks, punctuation, line breaks, and dynamic test values rendered completely; no clipping, overflow, broken glyphs, or overlap."
4,B2B 04/14 S11-S15,2,S12,gText_MoveToWhere,ย้ายไปตรงไหน?,PM_PROMPT_STD_DEFAULT_NORMAL_168x16,168,16,V3 pages 01-07,pass,proof_passed,"User-confirmed screenshot, V3 pages 01-07, page 4/14 row S12. Thai text, vowels, tone marks, punctuation, line breaks, and dynamic test values rendered completely; no clipping, overflow, broken glyphs, or overlap."
4,B2B 04/14 S11-S15,3,S13,gText_NoIdenticalHoldItems,ห้ามถือไอเทมซ้ำกัน,PM_PROMPT_STD_DEFAULT_NORMAL_168x16,168,16,V3 pages 01-07,pass,proof_passed,"User-confirmed screenshot, V3 pages 01-07, page 4/14 row S13. Thai text, vowels, tone marks, punctuation, line breaks, and dynamic test values rendered completely; no clipping, overflow, broken glyphs, or overlap."
4,B2B 04/14 S11-S15,4,S14,gText_NoPokemonForBattle,ไม่มีโปเกมอนสำหรับต่อสู้!,PM_PROMPT_STD_DEFAULT_NORMAL_168x16,168,16,V3 pages 01-07,pass,proof_passed,"User-confirmed screenshot, V3 pages 01-07, page 4/14 row S14. Thai text, vowels, tone marks, punctuation, line breaks, and dynamic test values rendered completely; no clipping, overflow, broken glyphs, or overlap."
4,B2B 04/14 S11-S15,5,S15,gText_NotEnoughHp,HP ไม่เพียงพอ…,PM_PROMPT_STD_DEFAULT_NORMAL_168x16,168,16,V3 pages 01-07,pass,proof_passed,"User-confirmed screenshot, V3 pages 01-07, page 4/14 row S15. Thai text, vowels, tone marks, punctuation, line breaks, and dynamic test values rendered completely; no clipping, overflow, broken glyphs, or overlap."
5,B2B 05/14 S16-S20,1,S16,gText_NothingToCut,ไม่มีอะไรให้ใช้ CUT,PM_PROMPT_STD_DEFAULT_NORMAL_168x16,168,16,V3 pages 01-07,pass,proof_passed,"User-confirmed screenshot, V3 pages 01-07, page 5/14 row S16. Thai text, vowels, tone marks, punctuation, line breaks, and dynamic test values rendered completely; no clipping, overflow, broken glyphs, or overlap."
5,B2B 05/14 S16-S20,2,S17,gText_PokemonAreNeeded,ต้องมีโปเกมอน {STR_VAR_1} ตัว,PM_PROMPT_STD_DEFAULT_NORMAL_168x16,168,16,V3 pages 01-07,pass,proof_passed,"User-confirmed screenshot, V3 pages 01-07, page 5/14 row S17. Thai text, vowels, tone marks, punctuation, line breaks, and dynamic test values rendered completely; no clipping, overflow, broken glyphs, or overlap."
5,B2B 05/14 S16-S20,3,S18,gText_PokemonCantBeSame,เลือกโปเกมอนซ้ำกันไม่ได้,PM_PROMPT_STD_DEFAULT_NORMAL_168x16,168,16,V3 pages 01-07,pass,proof_passed,"User-confirmed screenshot, V3 pages 01-07, page 5/14 row S18. Thai text, vowels, tone marks, punctuation, line breaks, and dynamic test values rendered completely; no clipping, overflow, broken glyphs, or overlap."
5,B2B 05/14 S16-S20,4,S19,gText_TeachWhichPokemon,จะสอนท่าให้โปเกมอนตัวไหน?,PM_PROMPT_STD_DEFAULT_NORMAL_168x16,168,16,V3 pages 01-07,pass,proof_passed,"User-confirmed screenshot, V3 pages 01-07, page 5/14 row S19. Thai text, vowels, tone marks, punctuation, line breaks, and dynamic test values rendered completely; no clipping, overflow, broken glyphs, or overlap."
5,B2B 05/14 S16-S20,5,S20,gText_UseOnWhichPokemon,จะใช้กับโปเกมอนตัวไหน?,PM_PROMPT_STD_DEFAULT_NORMAL_168x16,168,16,V3 pages 01-07,pass,proof_passed,"User-confirmed screenshot, V3 pages 01-07, page 5/14 row S20. Thai text, vowels, tone marks, punctuation, line breaks, and dynamic test values rendered completely; no clipping, overflow, broken glyphs, or overlap."
6,B2B 06/14 X01-X05,1,X01,gText_DoWhatWithPokemon,จะทำอะไรกับ{PKMN}?,PM_PROMPT_STD_MON_NORMAL_128x16,128,16,V3 pages 01-07,pass,proof_passed,"User-confirmed screenshot, V3 pages 01-07, page 6/14 row X01. Thai text, vowels, tone marks, punctuation, line breaks, and dynamic test values rendered completely; no clipping, overflow, broken glyphs, or overlap."
6,B2B 06/14 X01-X05,2,X02,gText_DoWhatWithItem,จะทำอะไรกับไอเทม?,PM_PROMPT_STD_ITEM_NORMAL_160x16,160,16,V3 pages 01-07,pass,proof_passed,"User-confirmed screenshot, V3 pages 01-07, page 6/14 row X02. Thai text, vowels, tone marks, punctuation, line breaks, and dynamic test values rendered completely; no clipping, overflow, broken glyphs, or overlap."
6,B2B 06/14 X01-X05,3,X03,gText_DoWhatWithMail,จะทำอะไรกับจดหมาย?,PM_PROMPT_STD_MAIL_NORMAL_144x16,144,16,V3 pages 01-07,pass,proof_passed,"User-confirmed screenshot, V3 pages 01-07, page 6/14 row X03. Thai text, vowels, tone marks, punctuation, line breaks, and dynamic test values rendered completely; no clipping, overflow, broken glyphs, or overlap."
6,B2B 06/14 X01-X05,4,X04,gText_BoostPP,เพิ่ม PP ให้ท่าไหน?,PM_PROMPT_STD_MOVE_NORMAL_128x16,128,16,V3 pages 01-07,pass,proof_passed,"User-confirmed screenshot, V3 pages 01-07, page 6/14 row X04. Thai text, vowels, tone marks, punctuation, line breaks, and dynamic test values rendered completely; no clipping, overflow, broken glyphs, or overlap."
6,B2B 06/14 X01-X05,5,X05,gText_RestoreWhichMove,ฟื้น PP ให้ท่าไหน?,PM_PROMPT_STD_MOVE_NORMAL_128x16,128,16,V3 pages 01-07,pass,proof_passed,"User-confirmed screenshot, V3 pages 01-07, page 6/14 row X05. Thai text, vowels, tone marks, punctuation, line breaks, and dynamic test values rendered completely; no clipping, overflow, broken glyphs, or overlap."
7,B2B 07/14 H01,1,H01,gText_AlreadyHoldingOne,"{STR_VAR_1} ถือ
{STR_VAR_2} อยู่แล้ว",PM_PROMPT_STD_HOLDING_NORMAL_160x32,160,32,V3 pages 01-07,pass,proof_passed,"User-confirmed screenshot, V3 pages 01-07, page 7/14 row H01. Thai text, vowels, tone marks, punctuation, line breaks, and dynamic test values rendered completely; no clipping, overflow, broken glyphs, or overlap."
8,B2B 08/14 F01-F03,1,F01,gText_CancelBattle,ยกเลิกการต่อสู้?,PM_PROMPT_FULL_MESSAGE_NORMAL_224x32,223,32,V5 pages 08-14,pass,proof_passed,"User-confirmed screenshot, V5 pages 08-14, page 8/14 row F01. Thai text, vowels, tone marks, punctuation, line breaks, and dynamic test values rendered completely; no clipping, overflow, broken glyphs, or overlap. Full-message profile used the final x=1 origin candidate and the first glyph displayed completely."
8,B2B 08/14 F01-F03,2,F02,gText_CancelChallenge,ยกเลิกการท้าทาย?,PM_PROMPT_FULL_MESSAGE_NORMAL_224x32,223,32,V5 pages 08-14,pass,proof_passed,"User-confirmed screenshot, V5 pages 08-14, page 8/14 row F02. Thai text, vowels, tone marks, punctuation, line breaks, and dynamic test values rendered completely; no clipping, overflow, broken glyphs, or overlap. Full-message profile used the final x=1 origin candidate and the first glyph displayed completely."
8,B2B 08/14 F01-F03,3,F03,gText_CancelParticipation,ยกเลิกการเข้าร่วม?,PM_PROMPT_FULL_MESSAGE_NORMAL_224x32,223,32,V5 pages 08-14,pass,proof_passed,"User-confirmed screenshot, V5 pages 08-14, page 8/14 row F03. Thai text, vowels, tone marks, punctuation, line breaks, and dynamic test values rendered completely; no clipping, overflow, broken glyphs, or overlap. Full-message profile used the final x=1 origin candidate and the first glyph displayed completely."
9,B2B 09/14 F04-F06,1,F04,gText_CantTradeWithTrainer,"ตอนนี้แลกเปลี่ยนกับ
เทรนเนอร์คนนั้นไม่ได้",PM_PROMPT_FULL_MESSAGE_NORMAL_224x32,223,32,V5 pages 08-14,pass,proof_passed,"User-confirmed screenshot, V5 pages 08-14, page 9/14 row F04. Thai text, vowels, tone marks, punctuation, line breaks, and dynamic test values rendered completely; no clipping, overflow, broken glyphs, or overlap. Full-message profile used the final x=1 origin candidate and the first glyph displayed completely."
9,B2B 09/14 F04-F06,2,F05,gText_EggCantBeTradedNow,ตอนนี้แลกเปลี่ยนไข่ไม่ได้,PM_PROMPT_FULL_MESSAGE_NORMAL_224x32,223,32,V5 pages 08-14,pass,proof_passed,"User-confirmed screenshot, V5 pages 08-14, page 9/14 row F05. Thai text, vowels, tone marks, punctuation, line breaks, and dynamic test values rendered completely; no clipping, overflow, broken glyphs, or overlap. Full-message profile used the final x=1 origin candidate and the first glyph displayed completely."
9,B2B 09/14 F04-F06,3,F06,gText_EscapeFromHere,"จะหนีจากที่นี่แล้วกลับ
ไปยัง {STR_VAR_1}?",PM_PROMPT_FULL_MESSAGE_NORMAL_224x32,223,32,V5 pages 08-14,pass,proof_passed,"User-confirmed screenshot, V5 pages 08-14, page 9/14 row F06. Thai text, vowels, tone marks, punctuation, line breaks, and dynamic test values rendered completely; no clipping, overflow, broken glyphs, or overlap. Full-message profile used the final x=1 origin candidate and the first glyph displayed completely."
10,B2B 10/14 F07-F09,1,F07,gText_MailMessageWillBeLost,"ถ้าเอาจดหมายออก
ข้อความจะหาย ตกลง?",PM_PROMPT_FULL_MESSAGE_NORMAL_224x32,223,32,V5 pages 08-14,pass,proof_passed,"User-confirmed screenshot, V5 pages 08-14, page 10/14 row F07. Thai text, vowels, tone marks, punctuation, line breaks, and dynamic test values rendered completely; no clipping, overflow, broken glyphs, or overlap. Full-message profile used the final x=1 origin candidate and the first glyph displayed completely."
10,B2B 10/14 F07-F09,2,F08,gText_NotPkmnOtherTrainerWants,"โปเกมอนนี้ไม่ตรงกับ
ที่เทรนเนอร์อีกฝ่ายต้องการ",PM_PROMPT_FULL_MESSAGE_NORMAL_224x32,223,32,V5 pages 08-14,pass,proof_passed,"User-confirmed screenshot, V5 pages 08-14, page 10/14 row F08. Thai text, vowels, tone marks, punctuation, line breaks, and dynamic test values rendered completely; no clipping, overflow, broken glyphs, or overlap. Full-message profile used the final x=1 origin candidate and the first glyph displayed completely."
10,B2B 10/14 F07-F09,3,F09,gText_OnlyPkmnForBattle,"นี่คือโปเกมอนตัวเดียว
ที่ใช้ต่อสู้ได้",PM_PROMPT_FULL_MESSAGE_NORMAL_224x32,223,32,V5 pages 08-14,pass,proof_passed,"User-confirmed screenshot, V5 pages 08-14, page 10/14 row F09. Thai text, vowels, tone marks, punctuation, line breaks, and dynamic test values rendered completely; no clipping, overflow, broken glyphs, or overlap. Full-message profile used the final x=1 origin candidate and the first glyph displayed completely."
11,B2B 11/14 F10-F12,1,F10,gText_OtherTrainerCantAcceptPkmn,"ตอนนี้เทรนเนอร์อีกฝ่าย
รับโปเกมอนนี้ไม่ได้",PM_PROMPT_FULL_MESSAGE_NORMAL_224x32,223,32,V5 pages 08-14,pass,proof_passed,"User-confirmed screenshot, V5 pages 08-14, page 11/14 row F10. Thai text, vowels, tone marks, punctuation, line breaks, and dynamic test values rendered completely; no clipping, overflow, broken glyphs, or overlap. Full-message profile used the final x=1 origin candidate and the first glyph displayed completely."
11,B2B 11/14 F10-F12,2,F11,gText_OtherTrainersPkmnCantBeTraded,"ตอนนี้โปเกมอนของอีกฝ่าย
แลกเปลี่ยนไม่ได้",PM_PROMPT_FULL_MESSAGE_NORMAL_224x32,223,32,V5 pages 08-14,pass,proof_passed,"User-confirmed screenshot, V5 pages 08-14, page 11/14 row F11. Thai text, vowels, tone marks, punctuation, line breaks, and dynamic test values rendered completely; no clipping, overflow, broken glyphs, or overlap. Full-message profile used the final x=1 origin candidate and the first glyph displayed completely."
11,B2B 11/14 F10-F12,3,F12,gText_PkmnCantBeTradedNow,"ตอนนี้โปเกมอนนี้
แลกเปลี่ยนไม่ได้",PM_PROMPT_FULL_MESSAGE_NORMAL_224x32,223,32,V5 pages 08-14,pass,proof_passed,"User-confirmed screenshot, V5 pages 08-14, page 11/14 row F12. Thai text, vowels, tone marks, punctuation, line breaks, and dynamic test values rendered completely; no clipping, overflow, broken glyphs, or overlap. Full-message profile used the final x=1 origin candidate and the first glyph displayed completely."
12,B2B 12/14 F13-F15,1,F13,gText_PkmnElevatedToLvVar2,"เลเวลของ {STR_VAR_1} เพิ่มเป็น
Lv. {STR_VAR_2}!",PM_PROMPT_FULL_MESSAGE_NORMAL_224x32,223,32,V5 pages 08-14,pass,proof_passed,"User-confirmed screenshot, V5 pages 08-14, page 12/14 row F13. Thai text, vowels, tone marks, punctuation, line breaks, and dynamic test values rendered completely; no clipping, overflow, broken glyphs, or overlap. Full-message profile used the final x=1 origin candidate and the first glyph displayed completely."
12,B2B 12/14 F13-F15,2,F14,gText_PkmnLearnedMove3,"{STR_VAR_1} เรียนรู้
{STR_VAR_2}!",PM_PROMPT_FULL_MESSAGE_NORMAL_224x32,223,32,V5 pages 08-14,pass,proof_passed,"User-confirmed screenshot, V5 pages 08-14, page 12/14 row F14. Thai text, vowels, tone marks, punctuation, line breaks, and dynamic test values rendered completely; no clipping, overflow, broken glyphs, or overlap. Full-message profile used the final x=1 origin candidate and the first glyph displayed completely."
12,B2B 12/14 F13-F15,3,F15,gText_ReturnToHealingSpot,"จะกลับไปยังจุดฟื้นพลัง
ล่าสุดใน {STR_VAR_1}?",PM_PROMPT_FULL_MESSAGE_NORMAL_224x32,223,32,V5 pages 08-14,pass,proof_passed,"User-confirmed screenshot, V5 pages 08-14, page 12/14 row F15. Thai text, vowels, tone marks, punctuation, line breaks, and dynamic test values rendered completely; no clipping, overflow, broken glyphs, or overlap. Full-message profile used the final x=1 origin candidate and the first glyph displayed completely."
13,B2B 13/14 F16-F18,1,F16,gText_ReturnToWaitingRoom,กลับไปห้องรอ?,PM_PROMPT_FULL_MESSAGE_NORMAL_224x32,223,32,V5 pages 08-14,pass,proof_passed,"User-confirmed screenshot, V5 pages 08-14, page 13/14 row F16. Thai text, vowels, tone marks, punctuation, line breaks, and dynamic test values rendered completely; no clipping, overflow, broken glyphs, or overlap. Full-message profile used the final x=1 origin candidate and the first glyph displayed completely."
13,B2B 13/14 F16-F18,2,F17,gText_SendMailToPC,"ส่งจดหมายที่เอาออก
ไปยัง PC?",PM_PROMPT_FULL_MESSAGE_NORMAL_224x32,223,32,V5 pages 08-14,pass,proof_passed,"User-confirmed screenshot, V5 pages 08-14, page 13/14 row F17. Thai text, vowels, tone marks, punctuation, line breaks, and dynamic test values rendered completely; no clipping, overflow, broken glyphs, or overlap. Full-message profile used the final x=1 origin candidate and the first glyph displayed completely."
13,B2B 13/14 F16-F18,3,F18,gText_StopLearningMove2,"หยุดสอนท่า
{STR_VAR_2}?",PM_PROMPT_FULL_MESSAGE_NORMAL_224x32,223,32,V5 pages 08-14,pass,proof_passed,"User-confirmed screenshot, V5 pages 08-14, page 13/14 row F18. Thai text, vowels, tone marks, punctuation, line breaks, and dynamic test values rendered completely; no clipping, overflow, broken glyphs, or overlap. Full-message profile used the final x=1 origin candidate and the first glyph displayed completely."
14,B2B 14/14 F19-F20,1,F19,gText_ThatIsntAnEgg,ตัวนั้นไม่ใช่ไข่,PM_PROMPT_FULL_MESSAGE_NORMAL_224x32,223,32,V5 pages 08-14,pass,proof_passed,"User-confirmed screenshot, V5 pages 08-14, page 14/14 row F19. Thai text, vowels, tone marks, punctuation, line breaks, and dynamic test values rendered completely; no clipping, overflow, broken glyphs, or overlap. Full-message profile used the final x=1 origin candidate and the first glyph displayed completely."
14,B2B 14/14 F19-F20,2,F20,gText_ThrowAwayItem,"จะทิ้ง
{STR_VAR_1}?",PM_PROMPT_FULL_MESSAGE_NORMAL_224x32,223,32,V5 pages 08-14,pass,proof_passed,"User-confirmed screenshot, V5 pages 08-14, page 14/14 row F20. Thai text, vowels, tone marks, punctuation, line breaks, and dynamic test values rendered completely; no clipping, overflow, broken glyphs, or overlap. Full-message profile used the final x=1 origin candidate and the first glyph displayed completely."
