term_en,term_th,category,status,match_mode,excluded_phrases,raw_occurrence_count,occurrence_count,example_refs,notes
restores,ฟื้นฟู,recovery,locked,ignore_case,,34,34,MOVE_MORNING_SUN | MOVE_SYNTHESIS | MOVE_MOONLIGHT,Covers restore and inflected forms; 38 semantic occurrences were audited.
recovers,ฟื้นฟู,recovery,locked,ignore_case,,4,4,MOVE_RECOVER | MOVE_SOFT_BOILED | MOVE_MILK_DRINK,Covers recover and inflected forms; 5 semantic occurrences were audited.
prevents,ป้องกัน,battle_effect,locked,ignore_case,,9,9,MOVE_MEAN_LOOK | MOVE_SAFEGUARD | MOVE_UPROAR,Approved project terminology.
turn,เทิร์น,battle_time,locked,ignore_case,,34,34,MOVE_RAZOR_WIND | MOVE_FLY | MOVE_HYPER_BEAM,Approved project terminology.
weather,สภาพอากาศ,weather,locked,ignore_case,,4,4,MOVE_MORNING_SUN | MOVE_SYNTHESIS | MOVE_MOONLIGHT,Approved project terminology.
rain,ฝน,weather,locked,ignore_case,,0,0,,Approved weather terminology; not present as a standalone word in the current corpus.
sunlight,แดดจ้า,weather,locked,ignore_case,,2,2,MOVE_DOOM_DESIRE | sTM22Desc,Approved project terminology.
sandstorm,พายุทราย,weather,locked,ignore_case,,2,2,MOVE_SANDSTORM | sTM37Desc,Approved project terminology.
hail,ลูกเห็บ,weather,locked,ignore_case,,0,0,,Approved weather terminology; not present as a standalone word in the current corpus.
HP,HP,abbreviation,locked,exact_case,,52,52,MOVE_SONIC_BOOM | MOVE_LEECH_SEED | MOVE_DRAGON_RAGE,Keep the standard abbreviation.
PP,PP,abbreviation,locked,exact_case,,10,10,MOVE_STRUGGLE | MOVE_SPITE | MOVE_GRUDGE,Keep the standard abbreviation.
EXP,EXP,abbreviation,locked,exact_case,,2,2,sExpShareDesc | sLuckyEggDesc,Keep the standard abbreviation.
TM,TM,abbreviation,locked,exact_case,,0,0,,Keep the standard abbreviation.
HM,HM,abbreviation,locked,exact_case,,0,0,,Keep the standard abbreviation.
ATTACK,พลังโจมตี,stat,locked,exact_case,,24,24,MOVE_SWORDS_DANCE | MOVE_GROWL | MOVE_AURORA_BEAM,Uppercase stat label only; lowercase attack is a normal noun.
DEFENSE,พลังป้องกัน,stat,locked,exact_case,,24,24,MOVE_TAIL_WHIP | MOVE_LEER | MOVE_ACID,Uppercase stat label only.
SPEED,ความเร็ว,stat,locked,exact_case,,17,17,MOVE_BUBBLE_BEAM | MOVE_STRING_SHOT | MOVE_AGILITY,Uppercase stat label only; lowercase speed may be ordinary prose.
SP. ATK,พลังโจมตีพิเศษ,stat,locked,exact_case,,18,18,MOVE_GROWTH | MOVE_LIGHT_SCREEN | MOVE_FLATTER,Uppercase abbreviated stat label only.
SP. DEF,พลังป้องกันพิเศษ,stat,locked,exact_case,,17,17,MOVE_PSYCHIC | MOVE_AMNESIA | MOVE_CRUNCH,Uppercase abbreviated stat label only.
