id,category,subcategory,story_order,map_name,location_name,speaker,source_file,source_line,source_label,english_raw,english_preview,thai,translation_status,control_codes,placeholders,duplicate_group,notes
dlg_3da2eb5376cffa7f,interaction,,,AbandonedShip_HiddenFloorCorridors,AbandonedShip HiddenFloorCorridors,,data/maps/AbandonedShip_HiddenFloorCorridors/scripts.inc,133,AbandonedShip_HiddenFloorCorridors_Text_Rm1DoorIsLocked,The door is locked.\p“RM. 1” is painted on the door.$,"The door is locked.
[PAGE]
“RM. 1” is painted on the door.",,untranslated,\p,,,
dlg_18d6d9c375d6e943,interaction,,,AbandonedShip_HiddenFloorCorridors,AbandonedShip HiddenFloorCorridors,,data/maps/AbandonedShip_HiddenFloorCorridors/scripts.inc,137,AbandonedShip_HiddenFloorCorridors_Text_Rm2DoorIsLocked,The door is locked.\p“RM. 2” is painted on the door.$,"The door is locked.
[PAGE]
“RM. 2” is painted on the door.",,untranslated,\p,,,
dlg_38172f7228664d1b,interaction,,,AbandonedShip_HiddenFloorCorridors,AbandonedShip HiddenFloorCorridors,,data/maps/AbandonedShip_HiddenFloorCorridors/scripts.inc,141,AbandonedShip_HiddenFloorCorridors_Text_Rm4DoorIsLocked,The door is locked.\p“RM. 4” is painted on the door.$,"The door is locked.
[PAGE]
“RM. 4” is painted on the door.",,untranslated,\p,,,
dlg_9266e59cd2b77fe9,interaction,,,AbandonedShip_HiddenFloorCorridors,AbandonedShip HiddenFloorCorridors,,data/maps/AbandonedShip_HiddenFloorCorridors/scripts.inc,145,AbandonedShip_HiddenFloorCorridors_Text_Rm6DoorIsLocked,The door is locked.\p“RM. 6” is painted on the door.$,"The door is locked.
[PAGE]
“RM. 6” is painted on the door.",,untranslated,\p,,,
dlg_8e898a4c395290d9,optional_npc,,,AbandonedShip_HiddenFloorCorridors,AbandonedShip HiddenFloorCorridors,,data/maps/AbandonedShip_HiddenFloorCorridors/scripts.inc,149,AbandonedShip_HiddenFloorCorridors_Text_InsertedKey,"{PLAYER} inserted and turned the\nKEY.\pThe inserted KEY stuck fast,\nbut the door opened.$","{PLAYER} inserted and turned the
KEY.
[PAGE]
The inserted KEY stuck fast,
but the door opened.",,untranslated,{PLAYER} | \n | \p | \n,{PLAYER},,Main-story status is not proven by static source evidence.
dlg_8ed3a2e688e73ab6,optional_npc,,,AbandonedShip_HiddenFloorRooms,AbandonedShip HiddenFloorRooms,,data/maps/AbandonedShip_HiddenFloorRooms/scripts.inc,113,AbandonedShip_HiddenFloorRooms_Text_BrightShinyTrash,It's bright and shiny!\nBut it's just trash…$,"It's bright and shiny!
But it's just trash…",,untranslated,\n,,,Main-story status is not proven by static source evidence.
dlg_8f3fcb142bfec824,optional_npc,,,AbandonedShip_Rooms2_1F,AbandonedShip Rooms2 1F,,data/maps/AbandonedShip_Rooms2_1F/scripts.inc,51,AbandonedShip_Rooms2_1F_Text_DanIntro,"DAN: While searching for treasures,\nwe discovered a TRAINER!$","DAN: While searching for treasures,
we discovered a TRAINER!",,untranslated,\n,,,Main-story status is not proven by static source evidence.
dlg_47baa1f9fd551f14,optional_npc,,,AbandonedShip_Rooms2_1F,AbandonedShip Rooms2 1F,,data/maps/AbandonedShip_Rooms2_1F/scripts.inc,55,AbandonedShip_Rooms2_1F_Text_DanDefeat,DAN: We couldn't win even though\nwe worked together…$,"DAN: We couldn't win even though
we worked together…",,untranslated,\n,,,Main-story status is not proven by static source evidence.
dlg_c1871e9f35c6414e,optional_npc,,,AbandonedShip_Rooms2_1F,AbandonedShip Rooms2 1F,,data/maps/AbandonedShip_Rooms2_1F/scripts.inc,63,AbandonedShip_Rooms2_1F_Text_DanNotEnoughMons,DAN: You don't even have two POKéMON.\nYou can't expect to beat us like that.$,"DAN: You don't even have two POKéMON.
You can't expect to beat us like that.",,untranslated,\n,,dup_00174,Main-story status is not proven by static source evidence.
dlg_537adf7b736cbbba,optional_npc,,,AbandonedShip_Rooms2_1F,AbandonedShip Rooms2 1F,,data/maps/AbandonedShip_Rooms2_1F/scripts.inc,67,AbandonedShip_Rooms2_1F_Text_KiraIntro,KIRA: Oh?\nWe were searching for treasures.\lBut we discovered a TRAINER instead!$,"KIRA: Oh?
We were searching for treasures.
But we discovered a TRAINER instead!",,untranslated,\n | \l,,,Main-story status is not proven by static source evidence.
dlg_594248cb85414570,optional_npc,,,AbandonedShip_Rooms2_1F,AbandonedShip Rooms2 1F,,data/maps/AbandonedShip_Rooms2_1F/scripts.inc,72,AbandonedShip_Rooms2_1F_Text_KiraDefeat,"KIRA: Ooh, so strong!$","KIRA: Ooh, so strong!",,untranslated,,,,Main-story status is not proven by static source evidence.
dlg_81740b1699a4aa85,optional_npc,,,AbandonedShip_Rooms2_1F,AbandonedShip Rooms2 1F,,data/maps/AbandonedShip_Rooms2_1F/scripts.inc,80,AbandonedShip_Rooms2_1F_Text_KiraNotEnoughMons,"KIRA: Oh, you don't have two POKéMON?\nWe'll have to battle some other time!$","KIRA: Oh, you don't have two POKéMON?
We'll have to battle some other time!",,untranslated,\n,,dup_00410,Main-story status is not proven by static source evidence.
dlg_fe8a08d6879c5675,optional_npc,,,AbandonedShip_Rooms2_1F,AbandonedShip Rooms2 1F,,data/maps/AbandonedShip_Rooms2_1F/scripts.inc,84,AbandonedShip_Rooms2_1F_Text_KiraRegister,"KIRA: Oh, you make me so angry!\nI'm going to register you for that!$","KIRA: Oh, you make me so angry!
I'm going to register you for that!",,untranslated,\n,,,Main-story status is not proven by static source evidence.
dlg_b09c142a3755fbc8,optional_npc,,,AbandonedShip_Rooms2_1F,AbandonedShip Rooms2 1F,,data/maps/AbandonedShip_Rooms2_1F/scripts.inc,88,AbandonedShip_Rooms2_1F_Text_DanRematchIntro,"DAN: We've been searching for\ntreasures all this time.\pOur POKéMON have grown stronger, too.\nLet us show you, okay?$","DAN: We've been searching for
treasures all this time.
[PAGE]
Our POKéMON have grown stronger, too.
Let us show you, okay?",,untranslated,\n | \p | \n,,,Main-story status is not proven by static source evidence.
dlg_269500c32eb3ae4e,optional_npc,,,AbandonedShip_Rooms2_1F,AbandonedShip Rooms2 1F,,data/maps/AbandonedShip_Rooms2_1F/scripts.inc,94,AbandonedShip_Rooms2_1F_Text_DanRematchDefeat,"DAN: You're strong, as usual!$","DAN: You're strong, as usual!",,untranslated,,,,Main-story status is not proven by static source evidence.
dlg_7c9a2c0be944c640,optional_npc,,,AbandonedShip_Rooms2_1F,AbandonedShip Rooms2 1F,,data/maps/AbandonedShip_Rooms2_1F/scripts.inc,97,AbandonedShip_Rooms2_1F_Text_DanPostRematch,"DAN: We can't find any treasures,\nwe lose at POKéMON…\pI want to go home… But if I say that,\nshe gets all angry with me…$","DAN: We can't find any treasures,
we lose at POKéMON…
[PAGE]
I want to go home… But if I say that,
she gets all angry with me…",,untranslated,\n | \p | \n,,,Main-story status is not proven by static source evidence.
dlg_7968704f8335ad9a,optional_npc,,,AbandonedShip_Rooms2_1F,AbandonedShip Rooms2 1F,,data/maps/AbandonedShip_Rooms2_1F/scripts.inc,103,AbandonedShip_Rooms2_1F_Text_DanRematchNotEnoughMons,DAN: You don't even have two POKéMON.\nYou can't expect to beat us like that.$,"DAN: You don't even have two POKéMON.
You can't expect to beat us like that.",,untranslated,\n,,dup_00174,Main-story status is not proven by static source evidence.
dlg_7745b11723cb4ae9,optional_npc,,,AbandonedShip_Rooms2_1F,AbandonedShip Rooms2 1F,,data/maps/AbandonedShip_Rooms2_1F/scripts.inc,107,AbandonedShip_Rooms2_1F_Text_KiraRematchIntro,"KIRA: Oh? We meet again!\pJust like us, you still haven't given up\nsearching for treasures, have you?\pWant to make it so the loser has\nto give up searching?$","KIRA: Oh? We meet again!
[PAGE]
Just like us, you still haven't given up
searching for treasures, have you?
[PAGE]
Want to make it so the loser has
to give up searching?",,untranslated,\p | \n | \p | \n,,,Main-story status is not proven by static source evidence.
dlg_e46cc5ed8730c061,optional_npc,,,AbandonedShip_Rooms2_1F,AbandonedShip Rooms2 1F,,data/maps/AbandonedShip_Rooms2_1F/scripts.inc,114,AbandonedShip_Rooms2_1F_Text_KiraRematchDefeat,"KIRA: Oh, we lost again…$","KIRA: Oh, we lost again…",,untranslated,,,,Main-story status is not proven by static source evidence.
dlg_d5bdca676a481eae,optional_npc,,,AbandonedShip_Rooms2_1F,AbandonedShip Rooms2 1F,,data/maps/AbandonedShip_Rooms2_1F/scripts.inc,117,AbandonedShip_Rooms2_1F_Text_KiraPostRematch,KIRA: We're not leaving until we raise\nour POKéMON some more and we find\lthe treasures here!$,"KIRA: We're not leaving until we raise
our POKéMON some more and we find
the treasures here!",,untranslated,\n | \l,,,Main-story status is not proven by static source evidence.
dlg_ced71f94ef372f16,optional_npc,,,AbandonedShip_Rooms2_1F,AbandonedShip Rooms2 1F,,data/maps/AbandonedShip_Rooms2_1F/scripts.inc,122,AbandonedShip_Rooms2_1F_Text_KiraRematchNotEnoughMons,"KIRA: Oh, you don't have two POKéMON?\nWe'll have to battle some other time!$","KIRA: Oh, you don't have two POKéMON?
We'll have to battle some other time!",,untranslated,\n,,dup_00410,Main-story status is not proven by static source evidence.
dlg_2c861ed380ea0bd4,optional_npc,,,AbandonedShip_Rooms2_1F,AbandonedShip Rooms2 1F,,data/maps/AbandonedShip_Rooms2_1F/scripts.inc,126,AbandonedShip_Rooms2_1F_Text_JaniIntro,"I'm not good at swimming,\nbut I am good at battles!$","I'm not good at swimming,
but I am good at battles!",,untranslated,\n,,,Main-story status is not proven by static source evidence.
dlg_f089ab298e82e128,optional_npc,,,AbandonedShip_Rooms2_1F,AbandonedShip Rooms2 1F,,data/maps/AbandonedShip_Rooms2_1F/scripts.inc,130,AbandonedShip_Rooms2_1F_Text_JaniDefeat,Oops.\nThat didn't go very well.$,"Oops.
That didn't go very well.",,untranslated,\n,,,Main-story status is not proven by static source evidence.
dlg_e7f0527a7b46c672,optional_npc,,,AbandonedShip_Rooms2_1F,AbandonedShip Rooms2 1F,,data/maps/AbandonedShip_Rooms2_1F/scripts.inc,138,AbandonedShip_Rooms2_1F_Text_GarrisonIntro,Strength and compassion…\nThose are a TRAINER's treasures!$,"Strength and compassion…
Those are a TRAINER's treasures!",,untranslated,\n,,,Main-story status is not proven by static source evidence.
dlg_a3b672ecd625d424,optional_npc,,,AbandonedShip_Rooms2_1F,AbandonedShip Rooms2 1F,,data/maps/AbandonedShip_Rooms2_1F/scripts.inc,142,AbandonedShip_Rooms2_1F_Text_GarrisonDefeat,"Ah, there is something about you\nthat sparkles.$","Ah, there is something about you
that sparkles.",,untranslated,\n,,,Main-story status is not proven by static source evidence.
dlg_66b74bfc6c3b67e6,optional_npc,,,AbandonedShip_Rooms2_B1F,AbandonedShip Rooms2 B1F,,data/maps/AbandonedShip_Rooms2_B1F/scripts.inc,7,AbandonedShip_Rooms2_B1F_Text_PerfectPlaceToGoExploring,This is a perfect place to go exploring!\nIt's exciting here!\pI bet there're amazing treasures on\nboard.$,"This is a perfect place to go exploring!
It's exciting here!
[PAGE]
I bet there're amazing treasures on
board.",,untranslated,\n | \p | \n,,,Main-story status is not proven by static source evidence.
dlg_08bc567172aed752,optional_npc,,,AbandonedShip_Rooms_1F,AbandonedShip Rooms 1F,,data/maps/AbandonedShip_Rooms_1F/scripts.inc,33,AbandonedShip_Rooms_1F_Text_TakingALookAround,"Ships of this sort are rare, so I'm\ntaking a look around.\pHmhm…\nThere appear to be other cabins…$","Ships of this sort are rare, so I'm
taking a look around.
[PAGE]
Hmhm…
There appear to be other cabins…",,untranslated,\n | \p | \n,,,Main-story status is not proven by static source evidence.
dlg_4915ecb6130de841,optional_npc,,,AbandonedShip_Rooms_1F,AbandonedShip Rooms 1F,,data/maps/AbandonedShip_Rooms_1F/scripts.inc,39,AbandonedShip_Rooms_1F_Text_ThaliaIntro,What on earth would compel you to\ncome here? You must be curious!$,"What on earth would compel you to
come here? You must be curious!",,untranslated,\n,,,Main-story status is not proven by static source evidence.
dlg_6ed8f652b7995c5f,optional_npc,,,AbandonedShip_Rooms_1F,AbandonedShip Rooms 1F,,data/maps/AbandonedShip_Rooms_1F/scripts.inc,43,AbandonedShip_Rooms_1F_Text_ThaliaDefeat,"Not just curious, but also strong…$","Not just curious, but also strong…",,untranslated,,,,Main-story status is not proven by static source evidence.
dlg_5fe2d99d17879ded,optional_npc,,,AbandonedShip_Rooms_1F,AbandonedShip Rooms 1F,,data/maps/AbandonedShip_Rooms_1F/scripts.inc,51,AbandonedShip_Rooms_1F_Text_ThaliaRegister,You're such a tough TRAINER!\nLet me register you as a memento!$,"You're such a tough TRAINER!
Let me register you as a memento!",,untranslated,\n,,,Main-story status is not proven by static source evidence.
dlg_659c84a61760d313,optional_npc,,,AbandonedShip_Rooms_1F,AbandonedShip Rooms 1F,,data/maps/AbandonedShip_Rooms_1F/scripts.inc,55,AbandonedShip_Rooms_1F_Text_ThaliaRematchIntro,What on earth would compel you to\ncome back? You must really be curious!$,"What on earth would compel you to
come back? You must really be curious!",,untranslated,\n,,,Main-story status is not proven by static source evidence.
dlg_e13e006f4f1dfb64,optional_npc,,,AbandonedShip_Rooms_1F,AbandonedShip Rooms 1F,,data/maps/AbandonedShip_Rooms_1F/scripts.inc,59,AbandonedShip_Rooms_1F_Text_ThaliaRematchDefeat,Aren't you too strong?$,Aren't you too strong?,,untranslated,,,,Main-story status is not proven by static source evidence.
dlg_a4f0c72fbb4acf39,optional_npc,,,AbandonedShip_Rooms_1F,AbandonedShip Rooms 1F,,data/maps/AbandonedShip_Rooms_1F/scripts.inc,62,AbandonedShip_Rooms_1F_Text_ThaliaPostRematch,I'm sure that man's up to something!\nHe just acts so suspiciously!$,"I'm sure that man's up to something!
He just acts so suspiciously!",,untranslated,\n,,,Main-story status is not proven by static source evidence.
dlg_a590875fdae99ab5,optional_npc,,,AbandonedShip_Rooms_1F,AbandonedShip Rooms 1F,,data/maps/AbandonedShip_Rooms_1F/scripts.inc,66,AbandonedShip_Rooms_1F_Text_DemetriusIntro,Waaah!\nI've been found! …Huh?$,"Waaah!
I've been found! …Huh?",,untranslated,\n,,,Main-story status is not proven by static source evidence.
dlg_86908594878e991d,optional_npc,,,AbandonedShip_Rooms_1F,AbandonedShip Rooms 1F,,data/maps/AbandonedShip_Rooms_1F/scripts.inc,70,AbandonedShip_Rooms_1F_Text_DemetriusDefeat,"Oh, you're not my mom.$","Oh, you're not my mom.",,untranslated,,,,Main-story status is not proven by static source evidence.
dlg_3cf5c3b7994ad259,optional_npc,,,AbandonedShip_Rooms_B1F,AbandonedShip Rooms B1F,,data/maps/AbandonedShip_Rooms_B1F/scripts.inc,12,AbandonedShip_Rooms_B1F_Text_GettingQueasy,"Urrrrppp…\pI'm getting queasy just being aboard\nthis ship…\pIt's not even moving, but…$","Urrrrppp…
[PAGE]
I'm getting queasy just being aboard
this ship…
[PAGE]
It's not even moving, but…",,untranslated,\p | \n | \p,,,Main-story status is not proven by static source evidence.
dlg_45078e0714311319,optional_npc,,,AquaHideout_1F,AquaHideout 1F,,data/maps/AquaHideout_1F/scripts.inc,52,AquaHideout_1F_Text_OurBossIsSnatchingSomething,What? What? What do you want with \nTEAM AQUA?\pOur BOSS isn't here! He's gone off to\nsnatch something important!\p… …\nWhere did he go?\pWahaha! Do you really think I'd tell\nyou something that crucial?$,"What? What? What do you want with 
TEAM AQUA?
[PAGE]
Our BOSS isn't here! He's gone off to
snatch something important!
[PAGE]
… …
Where did he go?
[PAGE]
Wahaha! Do you really think I'd tell
you something that crucial?",,untranslated,\n | \p | \n | \p | \n | \p | \n,,,Main-story status is not proven by static source evidence.
dlg_0c5afc938fc14ee3,optional_npc,,,AquaHideout_1F,AquaHideout 1F,,data/maps/AquaHideout_1F/scripts.inc,62,AquaHideout_1F_Text_WhereMightMagmaHideoutBe,What? What?\nAre you a TEAM MAGMA grunt?\pI hear that TEAM MAGMA is trying to\nawaken an awesome POKéMON at their\lHIDEOUT.\pBut where might their HIDEOUT be?$,"What? What?
Are you a TEAM MAGMA grunt?
[PAGE]
I hear that TEAM MAGMA is trying to
awaken an awesome POKéMON at their
HIDEOUT.
[PAGE]
But where might their HIDEOUT be?",,untranslated,\n | \p | \n | \l | \p,,,Main-story status is not proven by static source evidence.
dlg_98fb7c5acb6b5fb5,optional_npc,,,AquaHideout_1F,AquaHideout 1F,,data/maps/AquaHideout_1F/scripts.inc,70,AquaHideout_1F_Text_BossWentToJackASubmarine,What? What? What do you want with \nTEAM AQUA?\pOur BOSS isn't here!\nHe's gone off to jack a submarine!\p… …\nWhere did he go?\pWahaha! Do you really think I'd tell\nyou something that crucial?$,"What? What? What do you want with 
TEAM AQUA?
[PAGE]
Our BOSS isn't here!
He's gone off to jack a submarine!
[PAGE]
… …
Where did he go?
[PAGE]
Wahaha! Do you really think I'd tell
you something that crucial?",,untranslated,\n | \p | \n | \p | \n | \p | \n,,,Main-story status is not proven by static source evidence.
dlg_4b9663e2a9e15008,optional_npc,,,AquaHideout_1F,AquaHideout 1F,,data/maps/AquaHideout_1F/scripts.inc,80,AquaHideout_1F_Text_BossIsOnRoute122,What? What? What do you want with \nTEAM AQUA?\pOur BOSS isn't here! He's on his way to\nMT. PYRE on ROUTE 122!\p… …\nWhy did he go?\pWahaha! Do you really think I'd tell\nyou something that crucial?$,"What? What? What do you want with 
TEAM AQUA?
[PAGE]
Our BOSS isn't here! He's on his way to
MT. PYRE on ROUTE 122!
[PAGE]
… …
Why did he go?
[PAGE]
Wahaha! Do you really think I'd tell
you something that crucial?",,untranslated,\n | \p | \n | \p | \n | \p | \n,,,Main-story status is not proven by static source evidence.
dlg_97680cf25af4d7d3,optional_npc,,,AquaHideout_1F,AquaHideout 1F,,data/maps/AquaHideout_1F/scripts.inc,97,AquaHideout_1F_Text_BossIsInSlateportCity,What? What? What do you want with\nTEAM AQUA?\pOur BOSS isn't here!\nHe's on his way to SLATEPORT CITY!\p… …\nWhy did he go?\pWahaha! Do you really think I'd tell\nyou something that crucial?$,"What? What? What do you want with
TEAM AQUA?
[PAGE]
Our BOSS isn't here!
He's on his way to SLATEPORT CITY!
[PAGE]
… …
Why did he go?
[PAGE]
Wahaha! Do you really think I'd tell
you something that crucial?",,untranslated,\n | \p | \n | \p | \n | \p | \n,,,Main-story status is not proven by static source evidence.
dlg_25a1618a15bbd72f,optional_npc,,,AquaHideout_1F,AquaHideout 1F,,data/maps/AquaHideout_1F/scripts.inc,107,AquaHideout_1F_Text_Grunt1Intro,Ayiyiyi!\nSuspicious character spotted!$,"Ayiyiyi!
Suspicious character spotted!",,untranslated,\n,,,Main-story status is not proven by static source evidence.
dlg_e194e811b0d4eeea,optional_npc,,,AquaHideout_1F,AquaHideout 1F,,data/maps/AquaHideout_1F/scripts.inc,111,AquaHideout_1F_Text_Grunt1Defeat,Grrrrr…\nI lost it!$,"Grrrrr…
I lost it!",,untranslated,\n,,,Main-story status is not proven by static source evidence.
dlg_49c84ec0c3116a52,optional_npc,,,AquaHideout_B1F,AquaHideout B1F,,data/maps/AquaHideout_B1F/scripts.inc,108,AquaHideout_B1F_Text_Grunt2Intro,"If you want to know the secret about\nour HIDEOUT, you have me to beat!$","If you want to know the secret about
our HIDEOUT, you have me to beat!",,untranslated,\n,,,Main-story status is not proven by static source evidence.
dlg_31e9dee1b7016124,optional_npc,,,AquaHideout_B1F,AquaHideout B1F,,data/maps/AquaHideout_B1F/scripts.inc,112,AquaHideout_B1F_Text_Grunt2Defeat,I can't win at all…$,I can't win at all…,,untranslated,,,,Main-story status is not proven by static source evidence.
dlg_fce82119985b1223,optional_npc,,,AquaHideout_B1F,AquaHideout B1F,,data/maps/AquaHideout_B1F/scripts.inc,122,AquaHideout_B1F_Text_Grunt3Intro,Fuel supply loaded A-OK!\nIn-cruise snacks loaded A-OK!\pNothing left to do but KO a pesky\nmeddler!$,"Fuel supply loaded A-OK!
In-cruise snacks loaded A-OK!
[PAGE]
Nothing left to do but KO a pesky
meddler!",,untranslated,\n | \p | \n,,,Main-story status is not proven by static source evidence.
dlg_d2dedaf9f1ed939d,optional_npc,,,AquaHideout_B1F,AquaHideout B1F,,data/maps/AquaHideout_B1F/scripts.inc,128,AquaHideout_B1F_Text_Grunt3Defeat,I took a serious licking!$,I took a serious licking!,,untranslated,,,,Main-story status is not proven by static source evidence.
dlg_2d3abc43a276f774,optional_npc,,,AquaHideout_B1F,AquaHideout B1F,,data/maps/AquaHideout_B1F/scripts.inc,136,AquaHideout_B1F_Text_Grunt5Intro,Yawn… Keeping watch over the\nHIDEOUT bores me. I'll take you on.$,"Yawn… Keeping watch over the
HIDEOUT bores me. I'll take you on.",,untranslated,\n,,,Main-story status is not proven by static source evidence.
dlg_1e63d2b6d3fc5288,optional_npc,,,AquaHideout_B1F,AquaHideout B1F,,data/maps/AquaHideout_B1F/scripts.inc,140,AquaHideout_B1F_Text_Grunt5Defeat,"Yawn…\nOh, I lost…$","Yawn…
Oh, I lost…",,untranslated,\n,,,Main-story status is not proven by static source evidence.
dlg_96e87b57a37d9594,optional_npc,,,AquaHideout_B1F,AquaHideout B1F,,data/maps/AquaHideout_B1F/scripts.inc,148,AquaHideout_B1F_Text_Grunt7Intro,Hey!\nYou there!\pWhich do you think is cooler?\nTEAM AQUA's uniform or TEAM MAGMA's?$,"Hey!
You there!
[PAGE]
Which do you think is cooler?
TEAM AQUA's uniform or TEAM MAGMA's?",,untranslated,\n | \p | \n,,,Main-story status is not proven by static source evidence.
dlg_3b6cdc71168c65fb,optional_npc,,,AquaHideout_B1F,AquaHideout B1F,,data/maps/AquaHideout_B1F/scripts.inc,154,AquaHideout_B1F_Text_Grunt7Defeat,I lost in a cool way…$,I lost in a cool way…,,untranslated,,,,Main-story status is not proven by static source evidence.
dlg_92b1b3578bd9ac2d,optional_npc,,,AquaHideout_B2F,AquaHideout B2F,,data/maps/AquaHideout_B2F/scripts.inc,88,AquaHideout_B2F_Text_MattIntro,"Hehehe…\pGot here already, did you?\nWe underestimated you!\pBut this is it!\pI'm a cut above the GRUNTS you've seen\nso far.\pI'm not stalling for time.\nI'm going to pulverize you!$","Hehehe…
[PAGE]
Got here already, did you?
We underestimated you!
[PAGE]
But this is it!
[PAGE]
I'm a cut above the GRUNTS you've seen
so far.
[PAGE]
I'm not stalling for time.
I'm going to pulverize you!",,untranslated,\p | \n | \p | \p | \n | \p | \n,,,Main-story status is not proven by static source evidence.
dlg_22af4b0de25e7c4d,optional_npc,,,AquaHideout_B2F,AquaHideout B2F,,data/maps/AquaHideout_B2F/scripts.inc,98,AquaHideout_B2F_Text_MattDefeat,"Hehehe…\nSo, I lost, too…$","Hehehe…
So, I lost, too…",,untranslated,\n,,,Main-story status is not proven by static source evidence.
