description_symbol,source_text,target_text_th,status,usage_count,line_count,max_width_font_normal_px,max_width_font_narrow_px,hard_limit_px,width_result,glyph_result,control_code_result,number_result,abbreviation_result,risk_score,risk_reasons,source_file,source_line
sPremierBallDesc,"A rare BALL made
in commemoration
of some event.","บอลหายากที่สร้าง
เพื่อเป็นที่ระลึก
ในโอกาสพิเศษ",translated_pending_qa,1,3,72,72,120,pass,pass,pass,pass,pass,1,three_lines,src/data/text/item_descriptions.h,60
sPotionDesc,"Restores the HP of
a POKéMON by
20 points.","ฟื้นฟู HP ให้โปเกมอน
ได้ 20 หน่วย",proof_passed,1,2,98,96,120,pass,pass,pass,pass,pass,8,mixed_thai_latin_or_number;numeric;abbreviation;proper_name_or_location,src/data/text/item_descriptions.h,66
sAntidoteDesc,"Heals a poisoned
POKéMON.",รักษาพิษให้โปเกมอน,translated_pending_qa,1,1,95,95,120,pass,pass,pass,pass,pass,3,proper_name_or_location,src/data/text/item_descriptions.h,71
sBurnHealDesc,"Heals POKéMON
of a burn.","รักษาอาการไหม้
ให้โปเกมอน",translated_pending_qa,1,2,68,68,120,pass,pass,pass,pass,pass,3,proper_name_or_location,src/data/text/item_descriptions.h,75
sIceHealDesc,"Defrosts a frozen
POKéMON.","ละลายน้ำแข็ง
ให้โปเกมอน",translated_pending_qa,1,2,56,56,120,pass,pass,pass,pass,pass,3,proper_name_or_location,src/data/text/item_descriptions.h,79
sAwakeningDesc,"Awakens a sleeping
POKéMON.","ปลุกโปเกมอน
ที่กำลังหลับ",translated_pending_qa,1,2,62,62,120,pass,pass,pass,pass,pass,3,proper_name_or_location,src/data/text/item_descriptions.h,83
sParalyzeHealDesc,"Heals a paralyzed
POKéMON.","รักษาอัมพาต
ให้โปเกมอน",translated_pending_qa,1,2,56,56,120,pass,pass,pass,pass,pass,3,proper_name_or_location,src/data/text/item_descriptions.h,87
sFullRestoreDesc,"Fully restores the
HP and status of a
POKéMON.","ฟื้นฟู HP เต็มและ
รักษาสถานะผิดปกติ
ของโปเกมอน",translated_pending_qa,1,3,85,85,120,pass,pass,pass,pass,pass,8,mixed_thai_latin_or_number;abbreviation;proper_name_or_location;three_lines,src/data/text/item_descriptions.h,91
sMaxPotionDesc,"Fully restores the
HP of a POKéMON.","ฟื้นฟู HP ของโปเกมอน
จนเต็ม",translated_pending_qa,1,2,101,99,120,pass,pass,pass,pass,pass,7,mixed_thai_latin_or_number;abbreviation;proper_name_or_location,src/data/text/item_descriptions.h,96
sHyperPotionDesc,"Restores the HP of
a POKéMON by
200 points.","ฟื้นฟู HP ของโปเกมอน
200 หน่วย",translated_pending_qa,1,2,101,99,120,pass,pass,pass,pass,pass,8,mixed_thai_latin_or_number;numeric;abbreviation;proper_name_or_location,src/data/text/item_descriptions.h,100
sSuperPotionDesc,"Restores the HP of
a POKéMON by
50 points.","ฟื้นฟู HP ของโปเกมอน
50 หน่วย",translated_pending_qa,1,2,101,99,120,pass,pass,pass,pass,pass,8,mixed_thai_latin_or_number;numeric;abbreviation;proper_name_or_location,src/data/text/item_descriptions.h,105
sFullHealDesc,"Heals all the
status problems of
one POKéMON.","รักษาสถานะผิดปกติ
ทั้งหมดของโปเกมอน",translated_pending_qa,1,2,92,92,120,pass,pass,pass,pass,pass,3,proper_name_or_location,src/data/text/item_descriptions.h,110
sReviveDesc,"Revives a fainted
POKéMON with half
its HP.","ชุบชีวิตโปเกมอน
ที่หมดสภาพพร้อม
ฟื้นฟู HP ครึ่งหนึ่ง",translated_pending_qa,1,3,79,79,120,pass,pass,pass,pass,pass,8,mixed_thai_latin_or_number;abbreviation;proper_name_or_location;three_lines,src/data/text/item_descriptions.h,115
sMaxReviveDesc,"Revives a fainted
POKéMON with all
its HP.","ชุบชีวิตโปเกมอน
ที่หมดสภาพพร้อม
ฟื้นฟู HP เต็ม",translated_pending_qa,1,3,79,79,120,pass,pass,pass,pass,pass,8,mixed_thai_latin_or_number;abbreviation;proper_name_or_location;three_lines,src/data/text/item_descriptions.h,120
sFreshWaterDesc,"A mineral water
that restores HP
by 50 points.","น้ำแร่ที่ฟื้นฟู HP
50 หน่วย",translated_pending_qa,1,2,69,67,120,pass,pass,pass,pass,pass,5,mixed_thai_latin_or_number;numeric;abbreviation,src/data/text/item_descriptions.h,125
sSodaPopDesc,"A fizzy soda drink
that restores HP
by 60 points.","น้ำอัดลมซ่าที่
ฟื้นฟู HP 60 หน่วย",translated_pending_qa,1,2,84,80,120,pass,pass,pass,pass,pass,5,mixed_thai_latin_or_number;numeric;abbreviation,src/data/text/item_descriptions.h,130
sLemonadeDesc,"A very sweet drink
that restores HP
by 80 points.","เครื่องดื่มรสหวาน
ฟื้นฟู HP 80 หน่วย",translated_pending_qa,1,2,84,80,120,pass,pass,pass,pass,pass,5,mixed_thai_latin_or_number;numeric;abbreviation,src/data/text/item_descriptions.h,135
sMoomooMilkDesc,"A nutritious milk
that restores HP
by 100 points.","นมเปี่ยมคุณค่า
ฟื้นฟู HP 100 หน่วย",translated_pending_qa,1,2,90,85,120,pass,pass,pass,pass,pass,5,mixed_thai_latin_or_number;numeric;abbreviation,src/data/text/item_descriptions.h,140
sEnergyPowderDesc,"A bitter powder
that restores HP
by 50 points.","ผงรสขมที่
ฟื้นฟู HP 50 หน่วย",translated_pending_qa,1,2,84,80,120,pass,pass,pass,pass,pass,5,mixed_thai_latin_or_number;numeric;abbreviation,src/data/text/item_descriptions.h,145
sEnergyRootDesc,"A bitter root
that restores HP
by 200 points.","รากรสขมที่
ฟื้นฟู HP 200 หน่วย",translated_pending_qa,1,2,90,85,120,pass,pass,pass,pass,pass,5,mixed_thai_latin_or_number;numeric;abbreviation,src/data/text/item_descriptions.h,150
sHealPowderDesc,"A bitter powder
that heals all
status problems.","ผงรสขมที่รักษา
สถานะผิดปกติทั้งหมด",translated_pending_qa,1,2,95,95,120,pass,pass,pass,pass,pass,0,,src/data/text/item_descriptions.h,155
sRevivalHerbDesc,"A very bitter herb
that revives a
fainted POKéMON.","สมุนไพรรสขมจัด
ชุบชีวิตโปเกมอน
ที่หมดสภาพ",translated_pending_qa,1,3,77,77,120,pass,pass,pass,pass,pass,4,proper_name_or_location;three_lines,src/data/text/item_descriptions.h,160
sEtherDesc,"Restores the PP
of a selected move
by 10.","ฟื้นฟู PP ของท่า
ที่เลือก 10 หน่วย",translated_pending_qa,1,2,74,72,120,pass,pass,pass,pass,pass,5,mixed_thai_latin_or_number;numeric;abbreviation,src/data/text/item_descriptions.h,165
sMaxEtherDesc,"Fully restores the
PP of a selected
move.","ฟื้นฟู PP ของท่า
ที่เลือกจนเต็ม",translated_pending_qa,1,2,69,67,120,pass,pass,pass,pass,pass,4,mixed_thai_latin_or_number;abbreviation,src/data/text/item_descriptions.h,170
sElixirDesc,"Restores the PP
of all moves by 10.","ฟื้นฟู PP ทุกท่า
ท่าละ 10 หน่วย",translated_pending_qa,1,2,67,65,120,pass,pass,pass,pass,pass,5,mixed_thai_latin_or_number;numeric;abbreviation,src/data/text/item_descriptions.h,175
sMaxElixirDesc,"Fully restores the
PP of a POKéMON's
moves.","ฟื้นฟู PP ทุกท่า
ของโปเกมอนจนเต็ม",translated_pending_qa,1,2,91,91,120,pass,pass,pass,pass,pass,7,mixed_thai_latin_or_number;abbreviation;proper_name_or_location,src/data/text/item_descriptions.h,179
sLavaCookieDesc,"A local specialty
that heals all
status problems.","ของขึ้นชื่อท้องถิ่น
รักษาสถานะผิดปกติ
ทั้งหมด",translated_pending_qa,1,3,85,85,120,pass,pass,pass,pass,pass,1,three_lines,src/data/text/item_descriptions.h,184
sBlueFluteDesc,"A glass flute that
awakens sleeping
POKéMON.","ขลุ่ยแก้วที่ปลุก
โปเกมอนที่กำลังหลับ",translated_pending_qa,1,2,90,90,120,pass,pass,pass,pass,pass,3,proper_name_or_location,src/data/text/item_descriptions.h,189
sYellowFluteDesc,"A glass flute that
snaps POKéMON
out of confusion.","ขลุ่ยแก้วที่รักษา
อาการสับสนของโปเกมอน",translated_pending_qa,1,2,111,111,120,pass,pass,pass,pass,pass,8,wide_line;proper_name_or_location,src/data/text/item_descriptions.h,194
sRedFluteDesc,"A glass flute that
snaps POKéMON
out of attraction.","ขลุ่ยแก้วที่แก้
อาการหลงเสน่ห์
ของโปเกมอน",translated_pending_qa,1,3,67,67,120,pass,pass,pass,pass,pass,4,proper_name_or_location;three_lines,src/data/text/item_descriptions.h,199
sBlackFluteDesc,"A glass flute that
keeps away wild
POKéMON.","ขลุ่ยแก้วที่ช่วย
ไล่โปเกมอนป่า",translated_pending_qa,1,2,66,66,120,pass,pass,pass,pass,pass,3,proper_name_or_location,src/data/text/item_descriptions.h,204
sWhiteFluteDesc,"A glass flute that
lures wild POKéMON.","ขลุ่ยแก้วที่ช่วย
ล่อโปเกมอนป่า",translated_pending_qa,1,2,66,66,120,pass,pass,pass,pass,pass,3,proper_name_or_location,src/data/text/item_descriptions.h,209
sBerryJuiceDesc,"A 100% pure juice
that restores HP
by 20 points.","น้ำผลไม้บริสุทธิ์
100% ฟื้นฟู HP
20 หน่วย",translated_pending_qa,1,3,70,70,120,pass,pass,pass,pass,pass,6,mixed_thai_latin_or_number;numeric;abbreviation;three_lines,src/data/text/item_descriptions.h,213
sSacredAshDesc,"Fully revives and
restores all
fainted POKéMON.","ชุบชีวิตและฟื้นฟู
โปเกมอนที่หมดสภาพ
ทุกตัวจนเต็ม",translated_pending_qa,1,3,96,96,120,pass,pass,pass,pass,pass,4,proper_name_or_location;three_lines,src/data/text/item_descriptions.h,218
sShoalSaltDesc,"Salt obtained from
deep inside the
SHOAL CAVE.","เกลือที่เก็บได้จาก
ส่วนลึกของถ้ำโชล",translated_pending_qa,1,2,75,75,120,pass,pass,pass,pass,pass,4,proper_name_or_location;three_lines,src/data/text/item_descriptions.h,224
sShoalShellDesc,"A seashell found
deep inside the
SHOAL CAVE.","เปลือกหอยที่พบได้
ในส่วนลึกของถ้ำโชล",translated_pending_qa,1,2,88,88,120,pass,pass,pass,pass,pass,4,proper_name_or_location;three_lines,src/data/text/item_descriptions.h,229
sRedShardDesc,"A shard from an
ancient item. Can
be sold cheaply.","เศษวัตถุโบราณ
ขายได้ในราคาถูก",translated_pending_qa,1,2,75,75,120,pass,pass,pass,pass,pass,0,,src/data/text/item_descriptions.h,234
sBlueShardDesc,"A shard from an
ancient item. Can
be sold cheaply.","เศษวัตถุโบราณ
ขายได้ในราคาถูก",translated_pending_qa,1,2,75,75,120,pass,pass,pass,pass,pass,0,,src/data/text/item_descriptions.h,239
sYellowShardDesc,"A shard from an
ancient item. Can
be sold cheaply.","เศษวัตถุโบราณ
ขายได้ในราคาถูก",translated_pending_qa,1,2,75,75,120,pass,pass,pass,pass,pass,0,,src/data/text/item_descriptions.h,244
sGreenShardDesc,"A shard from an
ancient item. Can
be sold cheaply.","เศษวัตถุโบราณ
ขายได้ในราคาถูก",translated_pending_qa,1,2,75,75,120,pass,pass,pass,pass,pass,0,,src/data/text/item_descriptions.h,249
sHPUpDesc,"Raises the base HP
of one POKéMON.","เพิ่มค่าพื้นฐาน HP
ของโปเกมอนหนึ่งตัว",translated_pending_qa,1,2,91,91,120,pass,pass,pass,pass,pass,7,mixed_thai_latin_or_number;abbreviation;proper_name_or_location,src/data/text/item_descriptions.h,255
sProteinDesc,"Raises the base
ATTACK stat of one
POKéMON.","เพิ่มค่าพื้นฐาน
พลังโจมตีของโปเกมอน",translated_pending_qa,1,2,102,102,120,pass,pass,pass,pass,pass,3,proper_name_or_location,src/data/text/item_descriptions.h,259
sIronDesc,"Raises the base
DEFENSE stat of
one POKéMON.","เพิ่มค่าพื้นฐาน
พลังป้องกันของโปเกมอน",translated_pending_qa,1,2,108,108,120,pass,pass,pass,pass,pass,7,wide_line;proper_name_or_location,src/data/text/item_descriptions.h,264
sCarbosDesc,"Raises the base
SPEED stat of one
POKéMON.","เพิ่มค่าพื้นฐาน
ความเร็วของโปเกมอน",translated_pending_qa,1,2,99,99,120,pass,pass,pass,pass,pass,3,proper_name_or_location,src/data/text/item_descriptions.h,269
sCalciumDesc,"Raises the base
SP. ATK stat of one
POKéMON.","เพิ่มค่าพื้นฐาน
พลังโจมตีพิเศษ
ของโปเกมอน",translated_pending_qa,1,3,70,70,120,pass,pass,pass,pass,pass,4,proper_name_or_location;three_lines,src/data/text/item_descriptions.h,274
sRareCandyDesc,"Raises the level
of a POKéMON by
one.","เพิ่มเลเวลโปเกมอน
ขึ้นหนึ่งเลเวล",translated_pending_qa,1,2,88,88,120,pass,pass,pass,pass,pass,3,proper_name_or_location,src/data/text/item_descriptions.h,279
sPPUpDesc,"Raises the maximum
PP of a selected
move.","เพิ่มค่า PP สูงสุด
ของท่าที่เลือก",translated_pending_qa,1,2,71,69,120,pass,pass,pass,pass,pass,4,mixed_thai_latin_or_number;abbreviation,src/data/text/item_descriptions.h,284
sZincDesc,"Raises the base
SP. DEF stat of one
POKéMON.","เพิ่มค่าพื้นฐาน
พลังป้องกันพิเศษ
ของโปเกมอน",translated_pending_qa,1,3,76,76,120,pass,pass,pass,pass,pass,4,proper_name_or_location;three_lines,src/data/text/item_descriptions.h,289
sPPMaxDesc,"Raises the PP of a
move to its maximum
points.","เพิ่มค่า PP ของท่า
จนถึงค่าสูงสุด",translated_pending_qa,1,2,75,73,120,pass,pass,pass,pass,pass,4,mixed_thai_latin_or_number;abbreviation,src/data/text/item_descriptions.h,294
sGuardSpecDesc,"Prevents stat
reduction when
used in battle.","ป้องกันค่าสถานะลด
เมื่อใช้ในการต่อสู้",translated_pending_qa,1,2,84,84,120,pass,pass,pass,pass,pass,0,,src/data/text/item_descriptions.h,300
sDireHitDesc,"Raises the
critical-hit ratio
during one battle.","เพิ่มโอกาสโจมตี
คริติคอลระหว่าง
การต่อสู้หนึ่งครั้ง",translated_pending_qa,1,3,71,71,120,pass,pass,pass,pass,pass,1,three_lines,src/data/text/item_descriptions.h,305
sXAttackDesc,"Raises the stat
ATTACK during one
battle.","เพิ่มพลังโจมตี
ระหว่างการต่อสู้
หนึ่งครั้ง",translated_pending_qa,1,3,65,65,120,pass,pass,pass,pass,pass,1,three_lines,src/data/text/item_descriptions.h,310
sXDefendDesc,"Raises the stat
DEFENSE during one
battle.","เพิ่มพลังป้องกัน
ระหว่างการต่อสู้
หนึ่งครั้ง",translated_pending_qa,1,3,68,68,120,pass,pass,pass,pass,pass,1,three_lines,src/data/text/item_descriptions.h,315
sXSpeedDesc,"Raises the stat
SPEED during one
battle.","เพิ่มความเร็ว
ระหว่างการต่อสู้
หนึ่งครั้ง",translated_pending_qa,1,3,65,65,120,pass,pass,pass,pass,pass,1,three_lines,src/data/text/item_descriptions.h,320
sXAccuracyDesc,"Raises accuracy
of attack moves
during one battle.","เพิ่มความแม่นยำ
ของท่าโจมตีระหว่าง
การต่อสู้หนึ่งครั้ง",translated_pending_qa,1,3,83,83,120,pass,pass,pass,pass,pass,1,three_lines,src/data/text/item_descriptions.h,325
sXSpecialDesc,"Raises the stat
SP. ATK during one
battle.","เพิ่มพลังโจมตีพิเศษ
ระหว่างการต่อสู้
หนึ่งครั้ง",translated_pending_qa,1,3,89,89,120,pass,pass,pass,pass,pass,1,three_lines,src/data/text/item_descriptions.h,330
sPokeDollDesc,"Use to flee from
any battle with
a wild POKéMON.","ใช้หนีจากการต่อสู้
กับโปเกมอนป่า
ได้ทุกครั้ง",translated_pending_qa,1,3,77,77,120,pass,pass,pass,pass,pass,4,proper_name_or_location;three_lines,src/data/text/item_descriptions.h,335
sFluffyTailDesc,"Use to flee from
any battle with
a wild POKéMON.","ใช้หนีจากการต่อสู้
กับโปเกมอนป่า
ได้ทุกครั้ง",translated_pending_qa,1,3,77,77,120,pass,pass,pass,pass,pass,4,proper_name_or_location;three_lines,src/data/text/item_descriptions.h,340
sSuperRepelDesc,"Repels weak wild
POKéMON for 200
steps.","ไล่โปเกมอนป่า
ที่อ่อนแอได้
นาน 200 ก้าว",translated_pending_qa,1,3,66,66,120,pass,pass,pass,pass,pass,7,mixed_thai_latin_or_number;numeric;proper_name_or_location;three_lines,src/data/text/item_descriptions.h,346
sMaxRepelDesc,"Repels weak wild
POKéMON for 250
steps.","ไล่โปเกมอนป่า
ที่อ่อนแอได้
นาน 250 ก้าว",translated_pending_qa,1,3,66,66,120,pass,pass,pass,pass,pass,7,mixed_thai_latin_or_number;numeric;proper_name_or_location;three_lines,src/data/text/item_descriptions.h,351
sEscapeRopeDesc,"Use to escape
instantly from a
cave or a dungeon.","ใช้หนีออกจากถ้ำ
หรือดันเจียนทันที",translated_pending_qa,1,2,80,80,120,pass,pass,pass,pass,pass,0,,src/data/text/item_descriptions.h,356
sRepelDesc,"Repels weak wild
POKéMON for 100
steps.","ไล่โปเกมอนป่า
ที่อ่อนแอได้
นาน 100 ก้าว",translated_pending_qa,1,3,66,66,120,pass,pass,pass,pass,pass,7,mixed_thai_latin_or_number;numeric;proper_name_or_location;three_lines,src/data/text/item_descriptions.h,361
sSunStoneDesc,"Makes certain
species of POKéMON
evolve.","ทำให้โปเกมอน
บางสายพันธุ์วิวัฒนาการ",translated_pending_qa,1,2,101,101,120,pass,pass,pass,pass,pass,3,proper_name_or_location,src/data/text/item_descriptions.h,367
sMoonStoneDesc,"Makes certain
species of POKéMON
evolve.","ทำให้โปเกมอน
บางสายพันธุ์วิวัฒนาการ",translated_pending_qa,1,2,101,101,120,pass,pass,pass,pass,pass,3,proper_name_or_location,src/data/text/item_descriptions.h,372
sFireStoneDesc,"Makes certain
species of POKéMON
evolve.","ทำให้โปเกมอน
บางสายพันธุ์วิวัฒนาการ",translated_pending_qa,1,2,101,101,120,pass,pass,pass,pass,pass,3,proper_name_or_location,src/data/text/item_descriptions.h,377
sThunderStoneDesc,"Makes certain
species of POKéMON
evolve.","ทำให้โปเกมอน
บางสายพันธุ์วิวัฒนาการ",translated_pending_qa,1,2,101,101,120,pass,pass,pass,pass,pass,3,proper_name_or_location,src/data/text/item_descriptions.h,382
sWaterStoneDesc,"Makes certain
species of POKéMON
evolve.","ทำให้โปเกมอน
บางสายพันธุ์วิวัฒนาการ",translated_pending_qa,1,2,101,101,120,pass,pass,pass,pass,pass,3,proper_name_or_location,src/data/text/item_descriptions.h,387
sLeafStoneDesc,"Makes certain
species of POKéMON
evolve.","ทำให้โปเกมอน
บางสายพันธุ์วิวัฒนาการ",translated_pending_qa,1,2,101,101,120,pass,pass,pass,pass,pass,3,proper_name_or_location,src/data/text/item_descriptions.h,392
sTinyMushroomDesc,"A plain mushroom
that would sell
at a cheap price.","เห็ดธรรมดาที่
ขายได้ในราคาถูก",translated_pending_qa,1,2,75,75,120,pass,pass,pass,pass,pass,0,,src/data/text/item_descriptions.h,398
sBigMushroomDesc,"A rare mushroom
that would sell at a
high price.","เห็ดหายากที่
ขายได้ในราคาสูง",translated_pending_qa,1,2,73,73,120,pass,pass,pass,pass,pass,0,,src/data/text/item_descriptions.h,403
sPearlDesc,"A pretty pearl
that would sell at a
cheap price.","ไข่มุกสวยงามที่
ขายได้ในราคาถูก",translated_pending_qa,1,2,75,75,120,pass,pass,pass,pass,pass,0,,src/data/text/item_descriptions.h,408
sBigPearlDesc,"A lovely large pearl
that would sell at a
high price.","ไข่มุกเม็ดใหญ่
แสนงดงามที่ขายได้
ในราคาสูง",translated_pending_qa,1,3,83,83,120,pass,pass,pass,pass,pass,1,three_lines,src/data/text/item_descriptions.h,413
sStardustDesc,"Beautiful red sand.
Can be sold at a
high price.","ทรายสีแดงงดงาม
ขายได้ในราคาสูง",translated_pending_qa,1,2,73,73,120,pass,pass,pass,pass,pass,0,,src/data/text/item_descriptions.h,418
sStarPieceDesc,"A red gem shard.
It would sell for a
very high price.","เศษอัญมณีสีแดง
ขายได้ในราคา
สูงมาก",translated_pending_qa,1,3,74,74,120,pass,pass,pass,pass,pass,1,three_lines,src/data/text/item_descriptions.h,423
sNuggetDesc,"A nugget of pure
gold. Can be sold at
a high price.","ก้อนทองคำบริสุทธิ์
ขายได้ในราคาสูง",translated_pending_qa,1,2,82,82,120,pass,pass,pass,pass,pass,0,,src/data/text/item_descriptions.h,428
sHeartScaleDesc,"A lovely scale.
It is coveted by
collectors.","เกล็ดแสนงดงาม
เป็นที่ต้องการ
ของนักสะสม",translated_pending_qa,1,3,70,70,120,pass,pass,pass,pass,pass,1,three_lines,src/data/text/item_descriptions.h,433
sOrangeMailDesc,"A ZIGZAGOON-print
MAIL to be held by
a POKéMON.","จดหมายลายจิกุซากุมะ
สำหรับให้โปเกมอนถือ",translated_pending_qa,1,2,97,97,120,pass,pass,pass,pass,pass,8,species_name_reference;proper_name_or_location,src/data/text/item_descriptions.h,439
sHarborMailDesc,"A WINGULL-print
MAIL to be held by
a POKéMON.","จดหมายลายคาโมเมะ
สำหรับให้โปเกมอนถือ",translated_pending_qa,1,2,97,97,120,pass,pass,pass,pass,pass,8,species_name_reference;proper_name_or_location,src/data/text/item_descriptions.h,444
sGlitterMailDesc,"A PIKACHU-print
MAIL to be held by
a POKéMON.","จดหมายลายพิคาชู
สำหรับให้โปเกมอนถือ",translated_pending_qa,1,2,97,97,120,pass,pass,pass,pass,pass,8,species_name_reference;proper_name_or_location,src/data/text/item_descriptions.h,449
sMechMailDesc,"A MAGNEMITE-print
MAIL to be held by
a POKéMON.","จดหมายลายคอยล์
สำหรับให้โปเกมอนถือ",translated_pending_qa,1,2,97,97,120,pass,pass,pass,pass,pass,8,species_name_reference;proper_name_or_location,src/data/text/item_descriptions.h,454
sWoodMailDesc,"A SLAKOTH-print
MAIL to be held by
a POKéMON.","จดหมายลายนามาเคโร
สำหรับให้โปเกมอนถือ",translated_pending_qa,1,2,97,97,120,pass,pass,pass,pass,pass,8,species_name_reference;proper_name_or_location,src/data/text/item_descriptions.h,459
sWaveMailDesc,"A WAILMER-print
MAIL to be held by
a POKéMON.","จดหมายลายโฮเอลโกะ
สำหรับให้โปเกมอนถือ",translated_pending_qa,1,2,97,97,120,pass,pass,pass,pass,pass,8,species_name_reference;proper_name_or_location,src/data/text/item_descriptions.h,464
sBeadMailDesc,"MAIL featuring a
sketch of the
holding POKéMON.","จดหมายที่มีภาพร่าง
ของโปเกมอนที่ถือ",translated_pending_qa,1,2,83,83,120,pass,pass,pass,pass,pass,3,proper_name_or_location,src/data/text/item_descriptions.h,469
sShadowMailDesc,"A DUSKULL-print
MAIL to be held by
a POKéMON.","จดหมายลายโยมาวารุ
สำหรับให้โปเกมอนถือ",translated_pending_qa,1,2,97,97,120,pass,pass,pass,pass,pass,8,species_name_reference;proper_name_or_location,src/data/text/item_descriptions.h,474
sTropicMailDesc,"A BELLOSSOM-print
MAIL to be held by
a POKéMON.","จดหมายลายคิเรฮานะ
สำหรับให้โปเกมอนถือ",translated_pending_qa,1,2,97,97,120,pass,pass,pass,pass,pass,8,species_name_reference;proper_name_or_location,src/data/text/item_descriptions.h,479
sDreamMailDesc,"MAIL featuring a
sketch of the
holding POKéMON.","จดหมายที่มีภาพร่าง
ของโปเกมอนที่ถือ",translated_pending_qa,1,2,83,83,120,pass,pass,pass,pass,pass,3,proper_name_or_location,src/data/text/item_descriptions.h,484
sFabMailDesc,"A gorgeous-print
MAIL to be held
by a POKéMON.","จดหมายลายหรูหรา
สำหรับให้โปเกมอนถือ",translated_pending_qa,1,2,97,97,120,pass,pass,pass,pass,pass,3,proper_name_or_location,src/data/text/item_descriptions.h,489
sRetroMailDesc,"MAIL featuring the
drawings of three
POKéMON.","จดหมายที่มีภาพวาด
โปเกมอนสามตัว",translated_pending_qa,1,2,87,87,120,pass,pass,pass,pass,pass,3,proper_name_or_location,src/data/text/item_descriptions.h,494
sCheriBerryDesc,"A hold item that
heals paralysis
in battle.","ไอเทมถือที่รักษา
อัมพาตในการต่อสู้",translated_pending_qa,1,2,80,80,120,pass,pass,pass,pass,pass,0,,src/data/text/item_descriptions.h,500
sChestoBerryDesc,"A hold item that
awakens POKéMON
in battle.","ไอเทมถือที่ปลุก
โปเกมอนในการต่อสู้",translated_pending_qa,1,2,91,91,120,pass,pass,pass,pass,pass,3,proper_name_or_location,src/data/text/item_descriptions.h,505
sPechaBerryDesc,"A hold item that
heals poisoning
in battle.","ไอเทมถือที่รักษา
พิษในการต่อสู้",translated_pending_qa,1,2,72,72,120,pass,pass,pass,pass,pass,0,,src/data/text/item_descriptions.h,510
