ui_id,symbol,source_text,target_text_th,ui_areas,constraint_profiles,hard_width_px,measured_thai_advance_px,remaining_px,shaped_cluster_count,shaped_command_bytes,source_file,source_line,semantic_note,translation_review_status,source_injection_status,shaper_result,width_result,rom_build_status,rom_sha256,visual_qa_status,cross_screen_qa_required,qa_note
UI0447,gText_Second_PM,SECOND,ตัวที่สอง,PARTY_MENU,PM_DESC_NORMAL_64,64,36,28,6,48,src/strings.c,461,โปเกมอนลำดับที่สองที่เลือก,approved,pass,pass,pass,pass,8cadd3344b72fc456fed82fe431957780fb4e43c0a4338aaa9636f11110b6f61,pending,no,Automated checks passed. Runtime visual QA is required before proof_passed.
UI0455,gText_SendOut,SEND OUT,ส่งลงสนาม,PARTY_MENU,PM_ACTION_NORMAL_CURSOR,72,45,27,8,64,src/strings.c,368,ส่งโปเกมอนที่เลือกลงสนามต่อสู้,approved,pass,pass,pass,pass,8cadd3344b72fc456fed82fe431957780fb4e43c0a4338aaa9636f11110b6f61,pending,no,Automated checks passed. Runtime visual QA is required before proof_passed.
UI0456,gText_Shift,SHIFT,สลับตัว,PARTY_MENU,PM_ACTION_NORMAL_CURSOR,72,32,40,5,40,src/strings.c,367,สลับโปเกมอนในสนามกับโปเกมอนที่เลือก,approved,pass,pass,pass,pass,8cadd3344b72fc456fed82fe431957780fb4e43c0a4338aaa9636f11110b6f61,pending,no,Automated checks passed. Runtime visual QA is required before proof_passed.
UI0473,gText_Store,STORE,ฝาก,PARTY_MENU,PM_ACTION_NORMAL_CURSOR,72,16,56,3,24,src/strings.c,202,ฝากโปเกมอนในบริบท Day Care,approved,pass,pass,pass,pass,8cadd3344b72fc456fed82fe431957780fb4e43c0a4338aaa9636f11110b6f61,pending,no,Automated checks passed. Runtime visual QA is required before proof_passed.
UI0475,gText_Summary5,SUMMARY,ข้อมูล,PARTY_MENU,PM_ACTION_NORMAL_CURSOR,72,25,47,4,32,src/strings.c,370,เปิดหน้าข้อมูลรายละเอียดของโปเกมอน,approved,pass,pass,pass,pass,8cadd3344b72fc456fed82fe431957780fb4e43c0a4338aaa9636f11110b6f61,pending,no,Automated checks passed. Runtime visual QA is required before proof_passed.
UI0477,gText_Switch2,SWITCH,สลับ,PARTY_MENU,PM_ACTION_NORMAL_CURSOR,72,19,53,3,24,src/strings.c,369,สลับตำแหน่งโปเกมอนภายในทีม,approved,pass,pass,pass,pass,8cadd3344b72fc456fed82fe431957780fb4e43c0a4338aaa9636f11110b6f61,pending,no,Automated checks passed. Runtime visual QA is required before proof_passed.
UI0481,gText_Take,TAKE,รับคืน,PARTY_MENU,PM_ACTION_NORMAL_CURSOR,72,27,45,4,32,src/strings.c,201,รับไอเทมที่โปเกมอนถืออยู่กลับคืน,approved,pass,pass,pass,pass,8cadd3344b72fc456fed82fe431957780fb4e43c0a4338aaa9636f11110b6f61,pending,no,Automated checks passed. Runtime visual QA is required before proof_passed.
UI0482,gText_Take2,TAKE,รับคืน,PARTY_MENU,PM_ACTION_NORMAL_CURSOR,72,27,45,4,32,src/strings.c,374,รับจดหมายที่โปเกมอนถืออยู่กลับคืน,approved,pass,pass,pass,pass,8cadd3344b72fc456fed82fe431957780fb4e43c0a4338aaa9636f11110b6f61,pending,no,Automated checks passed. Runtime visual QA is required before proof_passed.
UI0495,gText_Third_PM,THIRD,ตัวที่สาม,PARTY_MENU,PM_DESC_NORMAL_64,64,37,27,6,48,src/strings.c,462,โปเกมอนลำดับที่สามที่เลือก,approved,pass,pass,pass,pass,8cadd3344b72fc456fed82fe431957780fb4e43c0a4338aaa9636f11110b6f61,pending,no,Automated checks passed. Runtime visual QA is required before proof_passed.
UI0505,gText_Trade4,TRADE,แลกเปลี่ยน,PARTY_MENU,PM_ACTION_NORMAL_CURSOR,72,50,22,8,64,src/strings.c,376,เลือกโปเกมอนสำหรับการแลกเปลี่ยน,approved,pass,pass,pass,pass,8cadd3344b72fc456fed82fe431957780fb4e43c0a4338aaa9636f11110b6f61,pending,no,Automated checks passed. Runtime visual QA is required before proof_passed.
