scope_group,scope_subgroup,policy,required_total,done,pending,excluded_or_na,status,canonical_tracker,note
Pokédex Core Content,Category + Description,TRANSLATE_REQUIRED,774,774,0,0,DONE,Phase F Wave 12,Pokédex core complete: 387 category names + 387 descriptions translated and runtime validated. Species-name runtime coverage remains OPTIONAL/DEFERRED.
Pokédex Rating,Professor Birch Pokédex evaluation,TRANSLATE_REQUIRED,23,23,0,0,DONE,Phase F Wave 13,"Pokédex Rating complete; 23/23 translated, precomposed, built, and runtime validated."
Shared UI/System Strings,src/strings.c,TRANSLATE_REQUIRED,28,28,0,0,DONE,Phase F Wave 14,"src/strings.c shared UI/system complete; 28/28 translated, precomposed, built, and runtime validated."
Birch Lab Menu/UI,National Pokédex upgrade message,TRANSLATE_REQUIRED,1,1,0,2,DONE,Phase F Wave 16,Birch Lab Wave 16 complete: 1 National Pokédex message translated and runtime validated; 2 existing FC19 Thai rows preserved as covered.
Devon Corp 2F Menu/Dialogue,Pokenav dialogue,TRANSLATE_REQUIRED,3,3,0,0,DONE,Phase F Wave 17,"Devon Corp 2F complete; 3/3 translated, injected, precomposed and built. Runtime QA optional/waived for standard dialogue with no observed failure."
Mauville Man,Pokédex reader dialogue,TRANSLATE_REQUIRED,3,3,0,0,DONE,Phase F Wave 18,"Mauville Man complete; 3/3 translated, injected, precomposed and built. Runtime QA optional/waived for standard dialogue."
Rival House 2F Menu/Dialogue,Rival Pokédex dialogue,TRANSLATE_REQUIRED,2,2,0,0,DONE,Phase F Wave 19,"Rival House 2F Wave 19 complete: 2/2 translated, injected, precomposed and built. Runtime QA optional/waived for standard dialogue with no observed failure."
Route 104 Rival Dialogue,Rival Pokédex dialogue,TRANSLATE_REQUIRED,2,2,0,0,DONE,Phase F Wave 20,"Route 104 Rival Dialogue Wave 20 complete: 2/2 translated, injected, precomposed and built. Runtime QA optional/waived for standard dialogue with no observed failure."
Route 105 Dad PokéNav,Dad PokéNav call and registration,TRANSLATE_REQUIRED,2,2,0,0,DONE,Phase F Wave 21,"Route 105 Dad PokéNav Wave 21 complete: 2/2 translated, injected, precomposed and built. Runtime QA optional/waived for source-string dialogue with no observed failure."
Bulk-safe Menu Dialogue,Pokédex / PokéNav player-facing text,TRANSLATE_REQUIRED,7,7,0,,DONE,Phase F Wave 22,"Phase F Wave 22 bulk-safe Menu dialogue: 7/7 translated and closed. Source-line sync PASS; Injection Dry-run PASS; Injection Apply PASS; 36/36 physical strings preserved; Source Precompose PASS; Production Build PASS (EWRAM 250468 B / 95.55%, IWRAM 31468 B / 96.03%, ROM 15303838 B / 45.61%). Runtime OPTIONAL / WAIVED. Canonical WALLY name: มิตสึรุ."
Special/UI Menu Text,Match Call / Cycling / PokéNav / Trick House,TRANSLATE_REQUIRED,4,4,0,0,DONE,Phase F Wave 23,"Wave 23 Special/UI 4/4 closed. Source-line Sync PASS; Dry-run PASS; Apply PASS; 16/16 physical strings preserved; Source Precompose PASS; Production Build PASS (EWRAM 250468 B / 95.55%, IWRAM 31468 B / 96.03%, ROM 15305110 B / 45.61%). Runtime OPTIONAL / WAIVED."
Final Structured C UI Text,Credits / Trade,TRANSLATE_REQUIRED,3,3,0,0,DONE,Phase F Wave 24,"Wave 24 final Structured C UI 3/3 closed. Source Apply PASS; Source Precompose PASS; Production Build PASS (EWRAM 250468 B / 95.55%, IWRAM 31468 B / 96.03%, ROM 15305246 B / 45.61%). Runtime OPTIONAL / WAIVED."
